n,m,beta_min,beta_max,space_type,beta_schedule_type,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
30,227,1e-09,1e-09,linear,custom,49716.0,False,,1848,,6.026
30,227,1e-09,1e-08,linear,custom,49716.0,False,,1848,,6.008
30,227,1e-09,1e-07,linear,custom,49716.0,False,,1848,,6.073
30,227,1e-09,1e-06,linear,custom,49456.0,False,,1848,,6.106
30,227,1e-09,1e-05,linear,custom,49267.0,False,,1848,,5.965
30,227,1e-09,0.0001,linear,custom,46019.0,False,,1848,,6.027
30,227,1e-09,0.001,linear,custom,29960.0,False,,1848,,6.092
30,227,1e-09,0.01,linear,custom,8947.0,False,,1848,,6.081
30,227,1e-09,0.1,linear,custom,3474.0,False,,1848,,6.092
30,227,1e-09,1.0,linear,custom,2642.0,False,,1848,,6.446
30,227,1e-09,10.0,linear,custom,2266.0,False,,1848,,13.194
30,227,1e-08,1e-08,linear,custom,49716.0,False,,1848,,5.978
30,227,1e-08,1e-07,linear,custom,49716.0,False,,1848,,6.14
30,227,1e-08,1e-06,linear,custom,49456.0,False,,1848,,6.157
30,227,1e-08,1e-05,linear,custom,49267.0,False,,1848,,6.224
30,227,1e-08,0.0001,linear,custom,46019.0,False,,1848,,6.062
30,227,1e-08,0.001,linear,custom,29960.0,False,,1848,,6.028
30,227,1e-08,0.01,linear,custom,8947.0,False,,1848,,6.085
30,227,1e-08,0.1,linear,custom,3474.0,False,,1848,,6.161
30,227,1e-08,1.0,linear,custom,2642.0,False,,1848,,6.573
30,227,1e-08,10.0,linear,custom,2266.0,False,,1848,,13.113
30,227,1e-07,1e-07,linear,custom,49716.0,False,,1848,,6.024
30,227,1e-07,1e-06,linear,custom,49456.0,False,,1848,,6.079
30,227,1e-07,1e-05,linear,custom,49267.0,False,,1848,,6.023
30,227,1e-07,0.0001,linear,custom,46019.0,False,,1848,,6.072
30,227,1e-07,0.001,linear,custom,29960.0,False,,1848,,6.094
30,227,1e-07,0.01,linear,custom,8947.0,False,,1848,,6.176
30,227,1e-07,0.1,linear,custom,3474.0,False,,1848,,6.096
30,227,1e-07,1.0,linear,custom,2627.0,False,,1848,,6.518
30,227,1e-07,10.0,linear,custom,2266.0,False,,1848,,13.373
30,227,1e-06,1e-06,linear,custom,49567.0,False,,1848,,6.165
30,227,1e-06,1e-05,linear,custom,49267.0,False,,1848,,6.107
30,227,1e-06,0.0001,linear,custom,46019.0,False,,1848,,6.235
30,227,1e-06,0.001,linear,custom,29869.0,False,,1848,,6.192
30,227,1e-06,0.01,linear,custom,8947.0,False,,1848,,6.125
30,227,1e-06,0.1,linear,custom,3448.0,False,,1848,,6.196
30,227,1e-06,1.0,linear,custom,2635.0,False,,1848,,6.601
30,227,1e-06,10.0,linear,custom,2302.0,False,,1848,,13.431
30,227,1e-05,1e-05,linear,custom,49485.0,False,,1848,,6.003
30,227,1e-05,0.0001,linear,custom,46789.0,False,,1848,,6.048
30,227,1e-05,0.001,linear,custom,29869.0,False,,1848,,6.17
30,227,1e-05,0.01,linear,custom,8644.0,False,,1848,,6.049
30,227,1e-05,0.1,linear,custom,3567.0,False,,1848,,6.108
30,227,1e-05,1.0,linear,custom,2626.0,False,,1848,,6.623
30,227,1e-05,10.0,linear,custom,2205.0,False,,1848,,13.534
30,227,0.0001,0.0001,linear,custom,44638.0,False,,1848,,6.107
30,227,0.0001,0.001,linear,custom,29598.0,False,,1848,,6.099
30,227,0.0001,0.01,linear,custom,8369.0,False,,1848,,6.064
30,227,0.0001,0.1,linear,custom,3476.0,False,,1848,,6.079
30,227,0.0001,1.0,linear,custom,2640.0,False,,1848,,6.557
30,227,0.0001,10.0,linear,custom,2282.0,False,,1848,,13.093
30,227,0.001,0.001,linear,custom,31886.0,False,,1848,,6.192
30,227,0.001,0.01,linear,custom,8589.0,False,,1848,,6.187
30,227,0.001,0.1,linear,custom,3473.0,False,,1848,,6.304
30,227,0.001,1.0,linear,custom,2620.0,False,,1848,,6.636
30,227,0.001,10.0,linear,custom,2219.0,False,,1848,,13.173
30,227,0.01,0.01,linear,custom,8356.0,False,,1848,,6.154
30,227,0.01,0.1,linear,custom,3607.0,False,,1848,,6.066
