n,m,beta,bqm_is_normalized,space_type,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s,seed
25,146,1e-09,True,linear,27.532687651333678,False,,,,5.361,123
25,146,1e-08,True,linear,27.532687651333678,False,,,,5.364,123
25,146,1e-07,True,linear,27.86077481840386,False,,,,5.375,999
25,146,1e-06,True,linear,27.86077481840386,False,,,,5.777,999
25,146,1e-05,True,linear,27.86077481840386,False,,,,13.047,999
25,146,0.0001,True,linear,25.558111380147178,False,,,,12.951,123
25,146,0.001,True,linear,26.778450363198118,False,,,,12.287,999
25,146,0.01,True,linear,28.292978208234388,False,,,,12.89,789
25,146,0.1,True,linear,27.503631961261032,False,,,,13.632,42
25,146,1.0,True,linear,20.571428571430463,False,,,,14.642,42
25,146,1e-09,True,geometric,27.532687651333678,False,,,,13.138,123
25,146,1e-08,True,geometric,27.532687651333678,False,,,,13.398,123
25,146,1e-07,True,geometric,27.86077481840386,False,,,,13.847,999
25,146,1e-06,True,geometric,27.86077481840386,False,,,,13.495,999
25,146,1e-05,True,geometric,27.86077481840386,False,,,,14.038,999
25,146,0.0001,True,geometric,25.558111380147178,False,,,,13.293,123
25,146,0.001,True,geometric,26.778450363198118,False,,,,13.725,999
25,146,0.01,True,geometric,28.292978208234388,False,,,,14.169,789
25,146,0.1,True,geometric,27.503631961261032,False,,,,13.962,42
25,146,1.0,True,geometric,20.571428571430463,False,,,,14.709,42
25,146,1e-09,False,linear,22742.0,False,,,,12.682,123
25,146,1e-08,False,linear,22742.0,False,,,,13.21,123
25,146,1e-07,False,linear,23013.0,False,,,,13.022,999
25,146,1e-06,False,linear,23013.0,False,,,,13.302,999
25,146,1e-05,False,linear,23013.0,False,,,,12.958,999
25,146,0.0001,False,linear,20567.0,False,,,,13.055,123
25,146,0.001,False,linear,15948.0,False,,,,12.849,42
25,146,0.01,False,linear,4967.0,False,,,,13.173,456
25,146,0.1,False,linear,1848.0,False,,,,13.69,42
25,146,1.0,False,linear,1096.0,False,,,,13.497,42
25,146,1e-09,False,geometric,22742.0,False,,,,13.075,123
25,146,1e-08,False,geometric,22742.0,False,,,,12.979,123
25,146,1e-07,False,geometric,23013.0,False,,,,13.46,999
25,146,1e-06,False,geometric,23013.0,False,,,,13.087,999
25,146,1e-05,False,geometric,23013.0,False,,,,12.954,999
25,146,0.0001,False,geometric,20567.0,False,,,,13.144,123
25,146,0.001,False,geometric,15948.0,False,,,,13.123,42
25,146,0.01,False,geometric,4967.0,False,,,,12.768,456
25,146,0.1,False,geometric,1848.0,False,,,,14.142,42
25,146,1.0,False,geometric,1096.0,False,,,,14.484,42
