n,m,graph_id,schedule,num_sweeps,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
40,399,0,builtin_linear,100,42605.0,False,,,,1.429
40,399,0,custom_linear,100,45503.0,False,,,,1.426
40,399,0,builtin_linear,500,29473.0,False,,,,7.05
40,399,0,custom_linear,500,27991.0,False,,,,6.946
40,399,0,builtin_linear,1000,25151.0,False,,,,14.028
40,399,0,custom_linear,1000,26482.0,False,,,,13.892
40,399,0,builtin_linear,2000,21462.0,False,,,,27.642
40,399,0,custom_linear,2000,21394.0,False,,,,27.731
40,399,0,builtin_linear,3000,19276.0,False,,,,41.685
40,399,0,custom_linear,3000,17076.0,False,,,,41.537
