n,m,graph_id,schedule,num_sweeps,energy,feasible,minla_cost,optimal_cost,spectral_cost,sa_cost,local_search_cost,best_baseline_cost,relative_gap,time_s
5,5,0,custom_linear,1000,6.0,True,6.0,6,6,8,6,6,0.0,0.093
5,5,1,custom_linear,1000,6.0,True,6.0,6,6,7,6,6,0.0,0.082
5,4,2,custom_linear,1000,4.0,True,4.0,4,9,4,4,4,0.0,0.084
5,7,3,custom_linear,1000,10.0,True,10.0,10,13,11,10,10,0.0,0.079
5,5,4,custom_linear,1000,7.0,True,7.0,7,11,7,7,7,0.0,0.081
5,8,5,custom_linear,1000,14.0,True,14.0,14,15,15,14,14,0.0,0.081
5,4,6,custom_linear,1000,5.0,True,5.0,5,5,6,5,5,0.0,0.08
5,6,7,custom_linear,1000,10.0,True,10.0,10,11,11,10,10,0.0,0.08
5,6,8,custom_linear,1000,9.0,True,9.0,9,9,9,9,9,0.0,0.082
5,6,9,custom_linear,1000,9.0,True,9.0,9,10,9,9,9,0.0,0.079
5,5,10,custom_linear,1000,7.0,True,7.0,7,10,7,7,7,0.0,0.081
5,6,11,custom_linear,1000,8.0,True,8.0,8,11,8,8,8,0.0,0.079
5,7,12,custom_linear,1000,12.0,True,12.0,12,13,12,12,12,0.0,0.082
5,5,13,custom_linear,1000,8.0,True,8.0,8,12,8,8,8,0.0,0.081
5,7,14,custom_linear,1000,11.0,True,11.0,11,11,14,11,11,0.0,0.082
5,8,15,custom_linear,1000,13.0,True,13.0,13,13,15,13,13,0.0,0.079
5,6,16,custom_linear,1000,8.0,True,8.0,8,12,8,8,8,0.0,0.081
5,7,17,custom_linear,1000,12.0,True,12.0,12,16,12,12,12,0.0,0.08
5,9,18,custom_linear,1000,16.0,True,16.0,16,16,16,16,16,0.0,0.081
5,10,19,custom_linear,1000,20.0,True,20.0,20,20,20,20,20,0.0,0.081
5,4,20,custom_linear,1000,6.0,True,6.0,6,10,7,6,6,0.0,0.08
10,26,0,custom_linear,1000,68.0,True,68.0,67,99,85,67,67,0.014925373134328358,0.475
10,27,1,custom_linear,1000,80.0,True,80.0,75,101,81,75,75,0.06666666666666667,0.519
10,14,2,custom_linear,1000,23.0,True,23.0,22,55,28,29,28,0.045454545454545456,0.475
10,20,3,custom_linear,1000,45.0,True,45.0,45,71,54,50,50,0.0,0.49
10,19,4,custom_linear,1000,45.0,True,45.0,44,78,54,50,50,0.022727272727272728,0.488
10,23,5,custom_linear,1000,58.0,True,58.0,56,98,70,58,58,0.03571428571428571,0.505
10,23,6,custom_linear,1000,57.0,True,57.0,53,78,61,57,57,0.07547169811320754,0.472
10,21,7,custom_linear,1000,54.0,True,54.0,51,77,66,53,53,0.058823529411764705,0.487
10,22,8,custom_linear,1000,49.0,True,49.0,47,84,56,58,56,0.0425531914893617,0.473
