graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,is_feasible
k4,4,6,exact,12,12,10.0,10,True
k4,4,6,lucas,4,4,10.0,10,True
g01,4,4,exact,10,10,5.0,5,True
g01,4,4,lucas,4,4,5.0,5,True
s4,4,3,exact,9,9,4.0,4,True
s4,4,3,lucas,4,4,4.0,4,True
c4,4,4,exact,10,10,6.0,6,True
c4,4,4,lucas,3,3,6.0,6,True
p4,4,3,exact,9,9,3.0,3,True
p4,4,3,lucas,3,3,3.0,3,True
g02,4,5,exact,11,11,7.0,7,True
g02,4,5,lucas,4,4,7.0,7,True
p3,3,2,exact,5,5,2.0,2,True
p3,3,2,lucas,3,3,2.0,2,True
c3,3,3,exact,6,6,4.0,4,True
c3,3,3,lucas,3,3,4.0,4,True
