Graph,|V|,|E|,Density,QUBO Variables,Optimal MinLA,# Optimal Permutations,ExactSolver MinLA,ExactSolver # Feasible,ExactSolver # Optimal Found,ExactSolver All Found,PIA MinLA,PIA # Feasible,PIA Optimal
n3_graph_n3_0,3,2,0.6667,9,2,2,2,1,1,False,2,10,True
n3_graph_n3_1,3,3,1.0,9,4,6,4,1,1,False,4,10,True
n4_graph_n4_0,4,3,0.5,16,4,12,4,1,1,False,4,10,True
n4_graph_n4_1,4,3,0.5,16,3,2,3,1,1,False,3,10,True
n4_graph_n4_2,4,4,0.6667,16,5,4,5,1,1,False,5,10,True
n4_graph_n4_3,4,4,0.6667,16,6,16,6,1,1,False,6,10,True
n4_graph_n4_4,4,5,0.8333,16,7,4,7,1,1,False,7,10,True
n4_graph_n4_5,4,6,1.0,16,10,24,10,1,1,False,10,10,True
n5_graph_n5_0,5,4,0.4,25,6,24,6,1,1,False,6,10,True
n5_graph_n5_1,5,4,0.4,25,5,8,5,1,1,False,5,10,True
n5_graph_n5_10,5,6,0.6,25,8,4,8,1,1,False,8,10,True
n5_graph_n5_11,5,6,0.6,25,9,8,9,1,1,False,9,10,True
n5_graph_n5_12,5,6,0.6,25,10,12,10,1,1,False,10,10,True
n5_graph_n5_13,5,7,0.7,25,12,36,12,1,1,False,12,10,True
n5_graph_n5_14,5,7,0.7,25,11,12,11,1,1,False,11,10,True
n5_graph_n5_15,5,7,0.7,25,10,2,10,1,1,False,10,10,True
n5_graph_n5_16,5,7,0.7,25,12,24,12,1,1,False,12,10,True
n5_graph_n5_17,5,8,0.8,25,13,8,13,1,1,False,13,10,True
n5_graph_n5_18,5,8,0.8,25,14,16,14,1,1,False,14,10,True
n5_graph_n5_19,5,9,0.9,25,16,12,16,1,1,False,16,10,True
n5_graph_n5_2,5,4,0.4,25,4,2,4,1,1,False,4,10,True
n5_graph_n5_20,5,10,1.0,25,20,120,20,1,1,False,20,10,True
n5_graph_n5_3,5,5,0.5,25,7,8,7,1,1,False,7,10,True
n5_graph_n5_4,5,5,0.5,25,6,2,6,1,1,False,6,10,True
n5_graph_n5_5,5,5,0.5,25,6,4,6,1,1,False,6,10,True
n5_graph_n5_6,5,5,0.5,25,7,8,7,1,1,False,7,10,True
n5_graph_n5_7,5,5,0.5,25,8,40,8,1,1,False,8,10,True
n5_graph_n5_8,5,6,0.6,25,9,8,9,1,1,False,9,10,True
n5_graph_n5_9,5,6,0.6,25,8,8,8,1,1,False,8,10,True
