n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
5,5,0,6.0,True,6.0,6,1.0,0.0,0.1,PathIntegralAnnealingSampler
5,5,1,6.0,True,6.0,6,1.0,0.0,0.096,PathIntegralAnnealingSampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.094,PathIntegralAnnealingSampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.101,PathIntegralAnnealingSampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.097,PathIntegralAnnealingSampler
5,8,5,14.0,True,14.0,14,1.0,0.0,0.095,PathIntegralAnnealingSampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.092,PathIntegralAnnealingSampler
5,6,7,10.0,True,10.0,10,1.0,0.0,0.092,PathIntegralAnnealingSampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.092,PathIntegralAnnealingSampler
5,6,9,9.0,True,9.0,9,1.0,0.0,0.095,PathIntegralAnnealingSampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.096,PathIntegralAnnealingSampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.098,PathIntegralAnnealingSampler
5,7,12,12.0,True,12.0,12,1.0,0.0,0.093,PathIntegralAnnealingSampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.092,PathIntegralAnnealingSampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.094,PathIntegralAnnealingSampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.089,PathIntegralAnnealingSampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.093,PathIntegralAnnealingSampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.095,PathIntegralAnnealingSampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.099,PathIntegralAnnealingSampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.095,PathIntegralAnnealingSampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.107,PathIntegralAnnealingSampler
10,26,0,67.0,True,67.0,67,1.0,0.0,0.547,PathIntegralAnnealingSampler
10,27,1,75.0,True,75.0,75,1.0,0.0,0.552,PathIntegralAnnealingSampler
10,14,2,23.0,True,23.0,22,1.0454545454545454,0.045454545454545456,0.55,PathIntegralAnnealingSampler
10,20,3,46.0,True,46.0,45,1.0222222222222221,0.022222222222222223,0.538,PathIntegralAnnealingSampler
10,19,4,46.0,True,46.0,44,1.0454545454545454,0.045454545454545456,0.553,PathIntegralAnnealingSampler
10,23,5,56.0,True,56.0,56,1.0,0.0,0.549,PathIntegralAnnealingSampler
10,23,6,54.0,True,54.0,53,1.0188679245283019,0.018867924528301886,0.542,PathIntegralAnnealingSampler
10,21,7,56.0,True,56.0,51,1.0980392156862746,0.09803921568627451,0.54,PathIntegralAnnealingSampler
10,22,8,47.0,True,47.0,47,1.0,0.0,0.556,PathIntegralAnnealingSampler
10,25,9,60.0,True,60.0,60,1.0,0.0,0.554,PathIntegralAnnealingSampler
10,21,10,54.0,True,54.0,52,1.0384615384615385,0.038461538461538464,0.55,PathIntegralAnnealingSampler
10,21,11,51.0,True,51.0,51,1.0,0.0,0.551,PathIntegralAnnealingSampler
10,19,12,47.0,True,47.0,46,1.0217391304347827,0.021739130434782608,0.56,PathIntegralAnnealingSampler
10,28,13,76.0,True,76.0,76,1.0,0.0,0.546,PathIntegralAnnealingSampler
10,22,14,53.0,True,53.0,52,1.0192307692307692,0.019230769230769232,0.559,PathIntegralAnnealingSampler
10,25,15,72.0,True,72.0,70,1.0285714285714285,0.02857142857142857,0.584,PathIntegralAnnealingSampler
10,23,16,59.0,True,59.0,59,1.0,0.0,0.597,PathIntegralAnnealingSampler
10,25,17,64.0,True,64.0,63,1.0158730158730158,0.015873015873015872,0.607,PathIntegralAnnealingSampler
10,20,18,45.0,True,45.0,43,1.0465116279069768,0.046511627906976744,0.558,PathIntegralAnnealingSampler
10,23,19,55.0,True,55.0,54,1.0185185185185186,0.018518518518518517,0.574,PathIntegralAnnealingSampler
10,17,20,38.0,True,38.0,37,1.027027027027027,0.02702702702702703,0.569,PathIntegralAnnealingSampler
10,24,21,62.0,True,62.0,61,1.0163934426229508,0.01639344262295082,0.559,PathIntegralAnnealingSampler
10,23,22,57.0,True,57.0,57,1.0,0.0,0.563,PathIntegralAnnealingSampler
10,25,23,67.0,True,67.0,67,1.0,0.0,0.559,PathIntegralAnnealingSampler
10,24,24,57.0,True,57.0,57,1.0,0.0,0.658,PathIntegralAnnealingSampler
10,18,25,41.0,True,41.0,39,1.0512820512820513,0.05128205128205128,0.639,PathIntegralAnnealingSampler
10,21,26,44.0,True,44.0,43,1.0232558139534884,0.023255813953488372,0.892,PathIntegralAnnealingSampler
10,22,27,52.0,True,52.0,50,1.04,0.04,1.171,PathIntegralAnnealingSampler
10,21,28,48.0,True,48.0,48,1.0,0.0,1.154,PathIntegralAnnealingSampler
10,19,29,45.0,True,45.0,45,1.0,0.0,1.189,PathIntegralAnnealingSampler
10,27,30,74.0,True,74.0,74,1.0,0.0,1.172,PathIntegralAnnealingSampler
10,18,31,35.0,True,35.0,35,1.0,0.0,1.174,PathIntegralAnnealingSampler
10,20,32,48.0,True,48.0,46,1.0434782608695652,0.043478260869565216,1.166,PathIntegralAnnealingSampler
10,25,33,67.0,True,67.0,65,1.0307692307692307,0.03076923076923077,1.15,PathIntegralAnnealingSampler
10,21,34,55.0,True,55.0,53,1.0377358490566038,0.03773584905660377,1.165,PathIntegralAnnealingSampler
10,22,35,50.0,True,50.0,50,1.0,0.0,1.172,PathIntegralAnnealingSampler
10,21,36,53.0,True,53.0,50,1.06,0.06,1.144,PathIntegralAnnealingSampler
10,26,37,70.0,True,70.0,68,1.0294117647058822,0.029411764705882353,1.123,PathIntegralAnnealingSampler
10,21,38,52.0,True,52.0,50,1.04,0.04,1.158,PathIntegralAnnealingSampler
10,18,39,42.0,True,42.0,42,1.0,0.0,1.156,PathIntegralAnnealingSampler
