dataset,vertices,edges,method,local_search_cost
ENZYMES8,88,133,flip2,1411
ENZYMES8,88,133,flip3,1497
ENZYMES8,88,133,flipEdge,2748
bn-mouse_visual-cortex_1,29,44,flip2,176
bn-mouse_visual-cortex_1,29,44,flip3,184
bn-mouse_visual-cortex_1,29,44,flipEdge,310
ca-sandi_auths,86,124,flip2,1117
ca-sandi_auths,86,124,flip3,1081
ca-sandi_auths,86,124,flipEdge,2601
johnson8-4-4,70,1855,flip2,41879
johnson8-4-4,70,1855,flip3,41873
johnson8-4-4,70,1855,flipEdge,41971
random_n100_d50,100,2475,flip2,74263
random_n100_d50,100,2475,flip3,75151
random_n100_d50,100,2475,flipEdge,74360
random_n10_d50,10,22,flip2,60
random_n10_d50,10,22,flip3,48
random_n10_d50,10,22,flipEdge,53
random_n25_d50,25,150,flip2,977
random_n25_d50,25,150,flip3,1001
random_n25_d50,25,150,flipEdge,971
random_n50_d50,50,612,flip2,8618
random_n50_d50,50,612,flip3,8734
random_n50_d50,50,612,flipEdge,8653
random_n75_d50,75,1387,flip2,30443
random_n75_d50,75,1387,flip3,31092
random_n75_d50,75,1387,flipEdge,30107
rt-retweet,96,117,flip2,1474
rt-retweet,96,117,flip3,1483
rt-retweet,96,117,flipEdge,2383
soc-dolphins,62,159,flip2,1063
soc-dolphins,62,159,flip3,1600
soc-dolphins,62,159,flipEdge,2272
