dataset,vertices,edges,method,penalty,feasible,cost,energy,time_ms,num_reads
ENZYMES8,88,133,neal,10256,False,,1911713.0,53035.66002845764,100
bn-mouse_visual-cortex_1,29,44,neal,1000,False,,8409.0,2544.5311069488525,100
ca-sandi_auths,86,124,neal,9360,False,,1641606.0,49417.404890060425,100
johnson8-4-4,70,1855,neal,54515,False,,6204042.0,40645.426988601685,100
random_n100_d50,100,2475,neal,131405,False,,33854672.0,110524.79100227356,100
random_n10_d50,10,22,neal,122,True,65,65.0,210.26110649108887,100
random_n25_d50,25,150,neal,2016,False,,5329.0,1958.7979316711426,100
random_n50_d50,50,612,neal,16320,False,,793665.0,12595.057010650635,100
random_n75_d50,75,1387,neal,55318,False,,7392321.0,43407.52100944519,100
rt-retweet,96,117,neal,10037,False,,2372322.0,70813.8689994812,100
soc-dolphins,62,159,neal,7965,False,,688251.0,19885.9760761261,100
