config_id,graph_index,n,m,num_reads,num_sweeps,beta_min,beta_max,gamma,trotter,sparse,reinitialize_state,schedule_name,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s,status,error
1,0,30,227,10,1000,0.0001,1.0,0.5,4,True,True,linear,3251.0,False,,1848,,0.9174,OK,
2,0,30,227,10,1000,0.0001,1.0,0.5,4,True,True,concave,2861.0,False,,1848,,0.9157,OK,
3,0,30,227,10,1000,0.0001,1.0,0.5,4,True,True,convex,3667.0,False,,1848,,0.9484,OK,
4,0,30,227,10,1000,0.0001,1.0,0.5,8,True,True,linear,3684.0,False,,1848,,1.0701,OK,
5,0,30,227,10,1000,0.0001,1.0,0.5,8,True,True,concave,3286.0,False,,1848,,1.0621,OK,
6,0,30,227,10,1000,0.0001,1.0,0.5,8,True,True,convex,4353.0,False,,1848,,1.0343,OK,
7,0,30,227,10,1000,0.0001,1.0,1.0,4,True,True,linear,2826.0,False,,1848,,0.9295,OK,
8,0,30,227,10,1000,0.0001,1.0,1.0,4,True,True,concave,2551.0,False,,1848,,0.9356,OK,
9,0,30,227,10,1000,0.0001,1.0,1.0,4,True,True,convex,3251.0,False,,1848,,0.9543,OK,
10,0,30,227,10,1000,0.0001,1.0,1.0,8,True,True,linear,3150.0,False,,1848,,1.0833,OK,
11,0,30,227,10,1000,0.0001,1.0,1.0,8,True,True,concave,2635.0,False,,1848,,1.1182,OK,
12,0,30,227,10,1000,0.0001,1.0,1.0,8,True,True,convex,3652.0,False,,1848,,1.108,OK,
13,0,30,227,10,1000,0.0001,1.0,2.0,4,True,True,linear,2356.0,False,,1848,,0.9788,OK,
14,0,30,227,10,1000,0.0001,1.0,2.0,4,True,True,concave,2041.0,False,,1848,,0.9871,OK,
15,0,30,227,10,1000,0.0001,1.0,2.0,4,True,True,convex,2677.0,False,,1848,,0.9314,OK,
16,0,30,227,10,1000,0.0001,1.0,2.0,8,True,True,linear,2526.0,False,,1848,,1.118,OK,
17,0,30,227,10,1000,0.0001,1.0,2.0,8,True,True,concave,2333.0,False,,1848,,1.1931,OK,
18,0,30,227,10,1000,0.0001,1.0,2.0,8,True,True,convex,3006.0,False,,1848,,1.0427,OK,
19,0,30,227,10,1000,0.0001,5.0,0.5,4,True,True,linear,2441.0,False,,1848,,0.9183,OK,
20,0,30,227,10,1000,0.0001,5.0,0.5,4,True,True,concave,2155.0,False,,1848,,0.9893,OK,
21,0,30,227,10,1000,0.0001,5.0,0.5,4,True,True,convex,2954.0,False,,1848,,0.9018,OK,
22,0,30,227,10,1000,0.0001,5.0,0.5,8,True,True,linear,2683.0,False,,1848,,1.0969,OK,
23,0,30,227,10,1000,0.0001,5.0,0.5,8,True,True,concave,2202.0,False,,1848,,1.1071,OK,
24,0,30,227,10,1000,0.0001,5.0,0.5,8,True,True,convex,3191.0,False,,1848,,1.0949,OK,
25,0,30,227,10,1000,0.0001,5.0,1.0,4,True,True,linear,2024.0,False,,1848,,0.9995,OK,
26,0,30,227,10,1000,0.0001,5.0,1.0,4,True,True,concave,1927.0,False,,1848,,1.021,OK,
27,0,30,227,10,1000,0.0001,5.0,1.0,4,True,True,convex,2464.0,False,,1848,,0.9356,OK,
28,0,30,227,10,1000,0.0001,5.0,1.0,8,True,True,linear,2383.0,False,,1848,,1.1121,OK,
29,0,30,227,10,1000,0.0001,5.0,1.0,8,True,True,concave,2044.0,False,,1848,,1.2096,OK,
30,0,30,227,10,1000,0.0001,5.0,1.0,8,True,True,convex,2787.0,False,,1848,,1.0968,OK,
31,0,30,227,10,1000,0.0001,5.0,2.0,4,True,True,linear,1890.0,False,,1848,,1.0527,OK,
