n,m,graph_id,solver,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps
10,21,0,PathIntegralAnnealingSampler,True,5,51.8,37.0,1.4,1.222,5,10,500
10,25,1,PathIntegralAnnealingSampler,True,5,68.6,50.000000000000014,1.3719999999999994,1.237,5,10,500
10,19,2,PathIntegralAnnealingSampler,True,5,49.4,32.0,1.54375,1.206,5,10,500
10,27,3,PathIntegralAnnealingSampler,True,5,78.2,60.58877549200334,1.290668104198954,1.214,5,10,500
10,23,4,PathIntegralAnnealingSampler,True,5,60.6,43.0,1.4093023255813955,1.203,5,10,500
10,20,5,PathIntegralAnnealingSampler,True,5,39.6,34.0,1.1647058823529413,1.212,5,10,500
10,22,6,PathIntegralAnnealingSampler,True,5,54.4,40.0,1.3599999999999999,1.218,5,10,500
10,20,7,PathIntegralAnnealingSampler,True,5,42.4,35.0,1.2114285714285713,1.214,5,10,500
10,23,8,PathIntegralAnnealingSampler,True,5,61.6,43.0,1.4325581395348836,1.228,5,10,500
10,20,9,PathIntegralAnnealingSampler,True,5,48.4,34.5,1.4028985507246376,1.214,5,10,500
10,24,10,PathIntegralAnnealingSampler,True,5,57.0,46.0,1.2391304347826086,1.208,5,10,500
10,25,11,PathIntegralAnnealingSampler,True,5,62.6,50.000000000000014,1.2519999999999998,1.211,5,10,500
10,18,12,PathIntegralAnnealingSampler,True,5,39.2,31.0,1.2645161290322582,1.217,5,10,500
10,26,13,PathIntegralAnnealingSampler,True,5,75.4,56.630695516535866,1.3314334092538842,1.21,5,10,500
10,24,14,PathIntegralAnnealingSampler,True,5,64.2,46.0,1.3956521739130436,1.212,5,10,500
10,22,15,PathIntegralAnnealingSampler,True,5,54.6,40.0,1.365,1.222,5,10,500
10,19,16,PathIntegralAnnealingSampler,True,5,44.0,33.0,1.3333333333333333,1.215,5,10,500
10,18,17,PathIntegralAnnealingSampler,True,5,37.0,30.0,1.2333333333333334,1.212,5,10,500
10,18,18,PathIntegralAnnealingSampler,True,5,39.0,31.0,1.2580645161290323,1.224,5,10,500
10,24,19,PathIntegralAnnealingSampler,True,5,64.8,46.0,1.408695652173913,1.208,5,10,500
10,15,20,PathIntegralAnnealingSampler,True,5,34.2,25.0,1.368,1.214,5,10,500
10,20,21,PathIntegralAnnealingSampler,True,5,46.4,34.0,1.3647058823529412,1.2,5,10,500
10,28,22,PathIntegralAnnealingSampler,True,5,82.6,62.000000000000014,1.3322580645161286,1.203,5,10,500
10,20,23,PathIntegralAnnealingSampler,True,5,52.0,34.0,1.5294117647058822,1.213,5,10,500
10,20,24,PathIntegralAnnealingSampler,True,5,47.8,34.5,1.3855072463768114,1.225,5,10,500
10,28,25,PathIntegralAnnealingSampler,True,5,76.8,62.000000000000014,1.2387096774193544,1.238,5,10,500
10,23,26,PathIntegralAnnealingSampler,True,5,58.6,43.0,1.3627906976744186,1.204,5,10,500
