n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps,beta_schedule_type,beta_min,beta_max
10,21,0,PathIntegralAnnealingSampler,lucas,True,5,51.0,37.0,1.3783783783783783,3.978,5,10,1000,geometric,0.5,5.0
10,21,0,PathIntegralAnnealingSampler,exact,True,5,63.4,37.0,1.7135135135135136,3.964,5,10,1000,geometric,0.01,10.0
10,25,1,PathIntegralAnnealingSampler,lucas,True,5,67.0,50.000000000000014,1.3399999999999996,4.022,5,10,1000,geometric,0.5,5.0
10,25,1,PathIntegralAnnealingSampler,exact,True,5,82.6,50.000000000000014,1.6519999999999995,3.958,5,10,1000,geometric,0.01,10.0
10,19,2,PathIntegralAnnealingSampler,lucas,True,5,47.2,32.0,1.475,4.071,5,10,1000,geometric,0.5,5.0
10,19,2,PathIntegralAnnealingSampler,exact,True,5,58.8,32.0,1.8375,3.964,5,10,1000,geometric,0.01,10.0
10,27,3,PathIntegralAnnealingSampler,lucas,True,5,76.0,60.58877549200334,1.254357748326349,3.986,5,10,1000,geometric,0.5,5.0
10,27,3,PathIntegralAnnealingSampler,exact,True,5,88.6,60.58877549200334,1.4623170592330859,3.914,5,10,1000,geometric,0.01,10.0
10,23,4,PathIntegralAnnealingSampler,lucas,True,5,58.2,43.0,1.3534883720930233,3.981,5,10,1000,geometric,0.5,5.0
10,23,4,PathIntegralAnnealingSampler,exact,True,5,72.2,43.0,1.6790697674418604,4.009,5,10,1000,geometric,0.01,10.0
10,20,5,PathIntegralAnnealingSampler,lucas,True,5,39.0,34.0,1.1470588235294117,4.064,5,10,1000,geometric,0.5,5.0
10,20,5,PathIntegralAnnealingSampler,exact,True,5,57.8,34.0,1.7,3.988,5,10,1000,geometric,0.01,10.0
10,22,6,PathIntegralAnnealingSampler,lucas,True,5,52.0,40.0,1.3,4.009,5,10,1000,geometric,0.5,5.0
10,22,6,PathIntegralAnnealingSampler,exact,True,5,69.2,40.0,1.73,3.942,5,10,1000,geometric,0.01,10.0
10,20,7,PathIntegralAnnealingSampler,lucas,True,5,41.0,35.0,1.1714285714285715,3.992,5,10,1000,geometric,0.5,5.0
10,20,7,PathIntegralAnnealingSampler,exact,True,5,63.2,35.0,1.8057142857142858,3.936,5,10,1000,geometric,0.01,10.0
10,23,8,PathIntegralAnnealingSampler,lucas,True,5,57.2,43.0,1.330232558139535,3.917,5,10,1000,geometric,0.5,5.0
10,23,8,PathIntegralAnnealingSampler,exact,True,5,73.2,43.0,1.7023255813953488,3.93,5,10,1000,geometric,0.01,10.0
10,20,9,PathIntegralAnnealingSampler,lucas,True,5,48.0,34.5,1.391304347826087,4.012,5,10,1000,geometric,0.5,5.0
10,20,9,PathIntegralAnnealingSampler,exact,True,5,61.2,34.5,1.7739130434782608,4.072,5,10,1000,geometric,0.01,10.0
10,24,10,PathIntegralAnnealingSampler,lucas,True,5,56.2,46.0,1.2217391304347827,4.052,5,10,1000,geometric,0.5,5.0
10,24,10,PathIntegralAnnealingSampler,exact,True,5,76.6,46.0,1.6652173913043478,4.017,5,10,1000,geometric,0.01,10.0
10,25,11,PathIntegralAnnealingSampler,lucas,True,5,61.0,50.000000000000014,1.2199999999999998,4.116,5,10,1000,geometric,0.5,5.0
10,25,11,PathIntegralAnnealingSampler,exact,True,5,76.6,50.000000000000014,1.5319999999999994,4.002,5,10,1000,geometric,0.01,10.0
10,18,12,PathIntegralAnnealingSampler,lucas,True,5,38.0,31.0,1.2258064516129032,4.181,5,10,1000,geometric,0.5,5.0
10,18,12,PathIntegralAnnealingSampler,exact,True,5,52.4,31.0,1.6903225806451612,4.05,5,10,1000,geometric,0.01,10.0
10,26,13,PathIntegralAnnealingSampler,lucas,True,5,74.2,56.630695516535866,1.3102434876211964,4.123,5,10,1000,geometric,0.5,5.0
