sampler,n,num_graphs,num_feasible,feasibility_rate,avg_approx_ratio,std_approx_ratio,avg_time
PathIntegralAnnealingSampler,5,21,21,100.0,1.0562724312724312,0.07272463180662367,0.684142857142857
PathIntegralAnnealingSampler,10,100,100,100.0,1.2951108813880328,0.0824663756360313,3.177479999999999
PathIntegralAnnealingSampler,15,100,100,100.0,1.4841352965339865,0.07486891023730821,11.528250000000003
PathIntegralAnnealingSampler,20,100,99,99.0,1.5527506974182754,0.10730738624046791,34.91876
PathIntegralAnnealingSampler,25,100,75,75.0,1.5055228507355838,0.10415918896054015,39.9925
RandomSampler,5,21,0,0.0,,,0.0
RandomSampler,10,100,0,0.0,,,0.0
RandomSampler,15,100,0,0.0,,,0.0
RandomSampler,20,100,0,0.0,,,0.0
RandomSampler,25,100,0,0.0,,,0.0
