n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
5,5,0,6.0,True,6.0,6,1.0,0.0,0.074,123,PathIntegralAnnealingSampler
5,5,1,6.0,True,6.0,6,1.0,0.0,0.075,123,PathIntegralAnnealingSampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.077,999,PathIntegralAnnealingSampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.073,123,PathIntegralAnnealingSampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,8,5,14.0,True,14.0,14,1.0,0.0,0.073,456,PathIntegralAnnealingSampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,6,7,10.0,True,10.0,10,1.0,0.0,0.077,42,PathIntegralAnnealingSampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,6,9,9.0,True,9.0,9,1.0,0.0,0.109,42,PathIntegralAnnealingSampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.077,123,PathIntegralAnnealingSampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,7,12,12.0,True,12.0,12,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.077,42,PathIntegralAnnealingSampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.076,456,PathIntegralAnnealingSampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.073,42,PathIntegralAnnealingSampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
10,26,0,67.0,True,67.0,67,1.0,0.0,0.405,42,PathIntegralAnnealingSampler
10,27,1,75.0,True,75.0,75,1.0,0.0,0.399,456,PathIntegralAnnealingSampler
10,14,2,22.0,True,22.0,22,1.0,0.0,0.418,42,PathIntegralAnnealingSampler
10,20,3,45.0,True,45.0,45,1.0,0.0,0.433,42,PathIntegralAnnealingSampler
10,19,4,46.0,True,46.0,44,1.0454545454545454,0.045454545454545456,0.422,999,PathIntegralAnnealingSampler
10,23,5,56.0,True,56.0,56,1.0,0.0,0.398,789,PathIntegralAnnealingSampler
10,23,6,53.0,True,53.0,53,1.0,0.0,0.421,999,PathIntegralAnnealingSampler
10,21,7,51.0,True,51.0,51,1.0,0.0,0.42,456,PathIntegralAnnealingSampler
10,22,8,47.0,True,47.0,47,1.0,0.0,0.523,999,PathIntegralAnnealingSampler
10,25,9,60.0,True,60.0,60,1.0,0.0,0.419,123,PathIntegralAnnealingSampler
10,21,10,52.0,True,52.0,52,1.0,0.0,0.423,123,PathIntegralAnnealingSampler
10,21,11,51.0,True,51.0,51,1.0,0.0,0.413,789,PathIntegralAnnealingSampler
10,19,12,46.0,True,46.0,46,1.0,0.0,0.434,999,PathIntegralAnnealingSampler
10,28,13,76.0,True,76.0,76,1.0,0.0,0.421,42,PathIntegralAnnealingSampler
10,22,14,52.0,True,52.0,52,1.0,0.0,0.438,42,PathIntegralAnnealingSampler
10,25,15,71.0,True,71.0,70,1.0142857142857142,0.014285714285714285,0.4,789,PathIntegralAnnealingSampler
10,23,16,59.0,True,59.0,59,1.0,0.0,0.394,42,PathIntegralAnnealingSampler
10,25,17,63.0,True,63.0,63,1.0,0.0,0.398,42,PathIntegralAnnealingSampler
10,20,18,43.0,True,43.0,43,1.0,0.0,0.394,42,PathIntegralAnnealingSampler
10,23,19,54.0,True,54.0,54,1.0,0.0,0.4,42,PathIntegralAnnealingSampler
10,17,20,37.0,True,37.0,37,1.0,0.0,0.402,789,PathIntegralAnnealingSampler
10,24,21,61.0,True,61.0,61,1.0,0.0,0.399,42,PathIntegralAnnealingSampler
10,23,22,57.0,True,57.0,57,1.0,0.0,0.399,789,PathIntegralAnnealingSampler
10,25,23,67.0,True,67.0,67,1.0,0.0,0.4,789,PathIntegralAnnealingSampler
10,24,24,57.0,True,57.0,57,1.0,0.0,0.4,999,PathIntegralAnnealingSampler
10,18,25,40.0,True,40.0,39,1.0256410256410255,0.02564102564102564,0.409,123,PathIntegralAnnealingSampler
10,21,26,44.0,True,44.0,43,1.0232558139534884,0.023255813953488372,0.403,42,PathIntegralAnnealingSampler
10,22,27,51.0,True,51.0,50,1.02,0.02,0.421,42,PathIntegralAnnealingSampler
10,21,28,48.0,True,48.0,48,1.0,0.0,0.421,456,PathIntegralAnnealingSampler
10,19,29,47.0,True,47.0,45,1.0444444444444445,0.044444444444444446,0.412,42,PathIntegralAnnealingSampler
10,27,30,74.0,True,74.0,74,1.0,0.0,0.401,42,PathIntegralAnnealingSampler
10,18,31,35.0,True,35.0,35,1.0,0.0,0.408,42,PathIntegralAnnealingSampler
10,20,32,47.0,True,47.0,46,1.0217391304347827,0.021739130434782608,0.42,456,PathIntegralAnnealingSampler
10,25,33,65.0,True,65.0,65,1.0,0.0,0.409,456,PathIntegralAnnealingSampler
10,21,34,55.0,True,55.0,53,1.0377358490566038,0.03773584905660377,0.404,123,PathIntegralAnnealingSampler
10,22,35,50.0,True,50.0,50,1.0,0.0,0.401,42,PathIntegralAnnealingSampler
10,21,36,50.0,True,50.0,50,1.0,0.0,0.414,42,PathIntegralAnnealingSampler
10,26,37,68.0,True,68.0,68,1.0,0.0,0.396,42,PathIntegralAnnealingSampler
10,21,38,50.0,True,50.0,50,1.0,0.0,0.413,789,PathIntegralAnnealingSampler
10,18,39,43.0,True,43.0,42,1.0238095238095237,0.023809523809523808,0.408,42,PathIntegralAnnealingSampler
10,24,40,60.0,True,60.0,60,1.0,0.0,0.403,789,PathIntegralAnnealingSampler
10,25,41,67.0,True,67.0,67,1.0,0.0,0.397,789,PathIntegralAnnealingSampler
10,21,42,54.0,True,54.0,52,1.0384615384615385,0.038461538461538464,0.413,456,PathIntegralAnnealingSampler
10,24,43,54.0,True,54.0,54,1.0,0.0,0.402,123,PathIntegralAnnealingSampler
10,25,44,62.0,True,62.0,62,1.0,0.0,0.394,42,PathIntegralAnnealingSampler
10,21,45,52.0,True,52.0,52,1.0,0.0,0.407,999,PathIntegralAnnealingSampler
10,27,46,74.0,True,74.0,74,1.0,0.0,0.43,42,PathIntegralAnnealingSampler
10,24,47,62.0,True,62.0,62,1.0,0.0,0.43,999,PathIntegralAnnealingSampler
10,19,48,40.0,True,40.0,40,1.0,0.0,0.408,123,PathIntegralAnnealingSampler
10,23,49,59.0,True,59.0,58,1.0172413793103448,0.017241379310344827,0.407,999,PathIntegralAnnealingSampler
10,23,50,56.0,True,56.0,55,1.018181818181818,0.01818181818181818,0.433,42,PathIntegralAnnealingSampler
10,22,51,59.0,True,59.0,57,1.0350877192982457,0.03508771929824561,0.414,123,PathIntegralAnnealingSampler
10,19,52,47.0,True,47.0,45,1.0444444444444445,0.044444444444444446,0.406,123,PathIntegralAnnealingSampler
10,25,53,59.0,True,59.0,59,1.0,0.0,0.401,42,PathIntegralAnnealingSampler
10,21,54,51.0,True,51.0,50,1.02,0.02,0.402,42,PathIntegralAnnealingSampler
10,21,55,51.0,True,51.0,51,1.0,0.0,0.402,456,PathIntegralAnnealingSampler
10,26,56,68.0,True,68.0,68,1.0,0.0,0.401,789,PathIntegralAnnealingSampler
10,25,57,60.0,True,60.0,60,1.0,0.0,0.409,999,PathIntegralAnnealingSampler
10,21,58,46.0,True,46.0,45,1.0222222222222221,0.022222222222222223,0.425,42,PathIntegralAnnealingSampler
10,26,59,68.0,True,68.0,68,1.0,0.0,0.404,42,PathIntegralAnnealingSampler
10,22,60,52.0,True,52.0,51,1.0196078431372548,0.0196078431372549,0.402,999,PathIntegralAnnealingSampler
10,21,61,48.0,True,48.0,47,1.0212765957446808,0.02127659574468085,0.394,42,PathIntegralAnnealingSampler
10,27,62,73.0,True,73.0,73,1.0,0.0,0.393,42,PathIntegralAnnealingSampler
10,16,63,34.0,True,34.0,34,1.0,0.0,0.412,123,PathIntegralAnnealingSampler
10,19,64,43.0,True,43.0,43,1.0,0.0,0.409,456,PathIntegralAnnealingSampler
10,25,65,62.0,True,62.0,62,1.0,0.0,0.386,42,PathIntegralAnnealingSampler
10,20,66,46.0,True,46.0,46,1.0,0.0,0.401,42,PathIntegralAnnealingSampler
10,24,67,62.0,True,62.0,62,1.0,0.0,0.401,999,PathIntegralAnnealingSampler
10,24,68,61.0,True,61.0,61,1.0,0.0,0.402,789,PathIntegralAnnealingSampler
10,20,69,48.0,True,48.0,46,1.0434782608695652,0.043478260869565216,0.41,123,PathIntegralAnnealingSampler
10,24,70,63.0,True,63.0,63,1.0,0.0,0.393,123,PathIntegralAnnealingSampler
10,25,71,69.0,True,69.0,68,1.0147058823529411,0.014705882352941176,0.412,123,PathIntegralAnnealingSampler
10,19,72,45.0,True,45.0,44,1.0227272727272727,0.022727272727272728,0.42,123,PathIntegralAnnealingSampler
10,23,73,54.0,True,54.0,54,1.0,0.0,0.397,42,PathIntegralAnnealingSampler
10,28,74,77.0,True,77.0,77,1.0,0.0,0.405,789,PathIntegralAnnealingSampler
10,27,75,68.0,True,68.0,68,1.0,0.0,0.406,456,PathIntegralAnnealingSampler
10,13,76,23.0,True,23.0,23,1.0,0.0,0.41,42,PathIntegralAnnealingSampler
10,20,77,51.0,True,51.0,49,1.0408163265306123,0.04081632653061224,0.409,42,PathIntegralAnnealingSampler
10,23,78,56.0,True,56.0,56,1.0,0.0,0.41,123,PathIntegralAnnealingSampler
10,26,79,64.0,True,64.0,64,1.0,0.0,0.4,42,PathIntegralAnnealingSampler
10,20,80,50.0,True,50.0,50,1.0,0.0,0.401,456,PathIntegralAnnealingSampler
10,20,81,47.0,True,47.0,47,1.0,0.0,0.404,42,PathIntegralAnnealingSampler
10,23,82,59.0,True,59.0,57,1.0350877192982457,0.03508771929824561,0.416,123,PathIntegralAnnealingSampler
10,26,83,67.0,True,67.0,67,1.0,0.0,0.402,456,PathIntegralAnnealingSampler
10,19,84,42.0,True,42.0,41,1.024390243902439,0.024390243902439025,0.41,42,PathIntegralAnnealingSampler
10,19,85,38.0,True,38.0,38,1.0,0.0,0.411,123,PathIntegralAnnealingSampler
10,22,86,53.0,True,53.0,52,1.0192307692307692,0.019230769230769232,0.402,123,PathIntegralAnnealingSampler
10,22,87,53.0,True,53.0,53,1.0,0.0,0.41,456,PathIntegralAnnealingSampler
10,28,88,71.0,True,71.0,71,1.0,0.0,0.411,999,PathIntegralAnnealingSampler
10,20,89,48.0,True,48.0,47,1.0212765957446808,0.02127659574468085,0.406,42,PathIntegralAnnealingSampler
10,22,90,53.0,True,53.0,53,1.0,0.0,0.401,123,PathIntegralAnnealingSampler
10,19,91,43.0,True,43.0,43,1.0,0.0,0.409,123,PathIntegralAnnealingSampler
10,25,92,66.0,True,66.0,64,1.03125,0.03125,0.407,123,PathIntegralAnnealingSampler
10,23,93,56.0,True,56.0,56,1.0,0.0,0.406,42,PathIntegralAnnealingSampler
10,24,94,57.0,True,57.0,57,1.0,0.0,0.402,456,PathIntegralAnnealingSampler
10,20,95,42.0,True,42.0,42,1.0,0.0,0.396,42,PathIntegralAnnealingSampler
10,17,96,31.0,True,31.0,30,1.0333333333333334,0.03333333333333333,0.418,123,PathIntegralAnnealingSampler
10,19,97,42.0,True,42.0,42,1.0,0.0,0.417,999,PathIntegralAnnealingSampler
10,26,98,70.0,True,70.0,70,1.0,0.0,0.403,42,PathIntegralAnnealingSampler
10,22,99,52.0,True,52.0,52,1.0,0.0,0.404,42,PathIntegralAnnealingSampler
15,52,0,202.0,True,202.0,195,1.035897435897436,0.035897435897435895,1.133,42,PathIntegralAnnealingSampler
15,54,1,208.0,True,208.0,205,1.0146341463414634,0.014634146341463415,1.15,123,PathIntegralAnnealingSampler
15,47,2,165.0,True,165.0,165,1.0,0.0,1.123,42,PathIntegralAnnealingSampler
15,53,3,190.0,True,190.0,190,1.0,0.0,1.099,999,PathIntegralAnnealingSampler
15,45,4,164.0,True,164.0,161,1.0186335403726707,0.018633540372670808,1.183,42,PathIntegralAnnealingSampler
15,53,5,179.0,True,179.0,179,1.0,0.0,1.133,456,PathIntegralAnnealingSampler
15,56,6,209.0,True,209.0,206,1.0145631067961165,0.014563106796116505,1.147,456,PathIntegralAnnealingSampler
15,50,7,187.0,True,187.0,183,1.0218579234972678,0.02185792349726776,1.148,42,PathIntegralAnnealingSampler
15,53,8,186.0,True,186.0,184,1.0108695652173914,0.010869565217391304,1.176,789,PathIntegralAnnealingSampler
15,51,9,177.0,True,177.0,177,1.0,0.0,1.138,456,PathIntegralAnnealingSampler
15,45,10,151.0,True,151.0,150,1.0066666666666666,0.006666666666666667,1.131,123,PathIntegralAnnealingSampler
15,47,11,169.0,True,169.0,169,1.0,0.0,1.133,789,PathIntegralAnnealingSampler
15,51,12,188.0,True,188.0,188,1.0,0.0,1.133,123,PathIntegralAnnealingSampler
15,53,13,206.0,True,206.0,207,0.9951690821256038,-0.004830917874396135,1.137,456,PathIntegralAnnealingSampler
15,54,14,198.0,True,198.0,197,1.0050761421319796,0.005076142131979695,1.127,999,PathIntegralAnnealingSampler
15,50,15,187.0,True,187.0,183,1.0218579234972678,0.02185792349726776,1.137,456,PathIntegralAnnealingSampler
15,52,16,183.0,True,183.0,183,1.0,0.0,1.158,999,PathIntegralAnnealingSampler
15,51,17,187.0,True,187.0,184,1.016304347826087,0.016304347826086956,1.22,123,PathIntegralAnnealingSampler
15,56,18,215.0,True,215.0,214,1.0046728971962617,0.004672897196261682,1.157,123,PathIntegralAnnealingSampler
15,45,19,150.0,True,150.0,150,1.0,0.0,1.151,42,PathIntegralAnnealingSampler
15,54,20,200.0,True,200.0,200,1.0,0.0,1.141,42,PathIntegralAnnealingSampler
15,50,21,184.0,True,184.0,183,1.005464480874317,0.00546448087431694,1.145,123,PathIntegralAnnealingSampler
15,54,22,209.0,True,209.0,207,1.0096618357487923,0.00966183574879227,1.128,789,PathIntegralAnnealingSampler
15,55,23,220.0,True,220.0,216,1.0185185185185186,0.018518518518518517,1.12,789,PathIntegralAnnealingSampler
15,56,24,220.0,True,220.0,218,1.0091743119266054,0.009174311926605505,1.152,42,PathIntegralAnnealingSampler
15,53,25,184.0,True,184.0,183,1.005464480874317,0.00546448087431694,1.132,456,PathIntegralAnnealingSampler
15,57,26,224.0,True,224.0,220,1.018181818181818,0.01818181818181818,1.15,456,PathIntegralAnnealingSampler
15,57,27,228.0,True,228.0,223,1.0224215246636772,0.02242152466367713,1.122,42,PathIntegralAnnealingSampler
15,48,28,173.0,True,173.0,173,1.0,0.0,1.138,123,PathIntegralAnnealingSampler
15,52,29,194.0,True,194.0,191,1.0157068062827226,0.015706806282722512,1.128,999,PathIntegralAnnealingSampler
15,60,30,238.0,True,238.0,237,1.0042194092827004,0.004219409282700422,1.14,123,PathIntegralAnnealingSampler
15,56,31,221.0,True,221.0,219,1.0091324200913243,0.0091324200913242,1.132,999,PathIntegralAnnealingSampler
15,54,32,200.0,True,200.0,196,1.0204081632653061,0.02040816326530612,1.138,789,PathIntegralAnnealingSampler
15,53,33,196.0,True,196.0,195,1.005128205128205,0.005128205128205128,1.162,789,PathIntegralAnnealingSampler
15,52,34,188.0,True,188.0,186,1.010752688172043,0.010752688172043012,1.137,123,PathIntegralAnnealingSampler
15,53,35,206.0,True,206.0,204,1.0098039215686274,0.00980392156862745,1.13,456,PathIntegralAnnealingSampler
15,39,36,133.0,True,133.0,131,1.015267175572519,0.015267175572519083,1.189,789,PathIntegralAnnealingSampler
15,56,37,204.0,True,204.0,201,1.0149253731343284,0.014925373134328358,1.14,789,PathIntegralAnnealingSampler
15,47,38,166.0,True,166.0,163,1.01840490797546,0.018404907975460124,1.15,42,PathIntegralAnnealingSampler
15,54,39,204.0,True,204.0,202,1.00990099009901,0.009900990099009901,1.153,456,PathIntegralAnnealingSampler
15,54,40,196.0,True,196.0,193,1.0155440414507773,0.015544041450777202,1.157,456,PathIntegralAnnealingSampler
15,45,41,146.0,True,146.0,145,1.006896551724138,0.006896551724137931,1.127,456,PathIntegralAnnealingSampler
15,44,42,159.0,True,159.0,157,1.0127388535031847,0.012738853503184714,1.136,42,PathIntegralAnnealingSampler
15,55,43,210.0,True,210.0,211,0.995260663507109,-0.004739336492890996,1.154,123,PathIntegralAnnealingSampler
15,55,44,216.0,True,216.0,212,1.0188679245283019,0.018867924528301886,1.148,42,PathIntegralAnnealingSampler
15,55,45,215.0,True,215.0,212,1.0141509433962264,0.014150943396226415,1.137,456,PathIntegralAnnealingSampler
15,41,46,142.0,True,142.0,135,1.0518518518518518,0.05185185185185185,1.148,789,PathIntegralAnnealingSampler
15,64,47,253.0,True,253.0,252,1.003968253968254,0.003968253968253968,1.107,789,PathIntegralAnnealingSampler
15,55,48,214.0,True,214.0,214,1.0,0.0,1.126,123,PathIntegralAnnealingSampler
15,53,49,200.0,True,200.0,196,1.0204081632653061,0.02040816326530612,1.129,999,PathIntegralAnnealingSampler
15,52,50,201.0,True,201.0,197,1.0203045685279188,0.02030456852791878,1.169,42,PathIntegralAnnealingSampler
15,58,51,224.0,True,224.0,224,1.0,0.0,1.146,42,PathIntegralAnnealingSampler
15,59,52,245.0,True,245.0,238,1.0294117647058822,0.029411764705882353,1.121,999,PathIntegralAnnealingSampler
15,48,53,162.0,True,162.0,162,1.0,0.0,1.128,123,PathIntegralAnnealingSampler
15,63,54,256.0,True,256.0,252,1.0158730158730158,0.015873015873015872,1.123,789,PathIntegralAnnealingSampler
15,57,55,225.0,True,225.0,226,0.995575221238938,-0.004424778761061947,1.118,456,PathIntegralAnnealingSampler
15,49,56,172.0,True,172.0,172,1.0,0.0,1.123,42,PathIntegralAnnealingSampler
15,43,57,153.0,True,153.0,152,1.006578947368421,0.006578947368421052,1.128,42,PathIntegralAnnealingSampler
15,51,58,194.0,True,194.0,191,1.0157068062827226,0.015706806282722512,1.134,42,PathIntegralAnnealingSampler
