n,m,graph_id,solver,feasible,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds
5,5,0,Spectral Sequencing,True,6,6.0,1.0,0.0011,1
5,5,0,Successive Augmentation (DFS),True,9,6.0,1.5,0.0,1
5,5,0,Successive Augmentation (BFS),True,7,6.0,1.1666666666666667,0.0,1
5,5,1,Spectral Sequencing,True,6,6.0,1.0,0.001,1
5,5,1,Successive Augmentation (DFS),True,7,6.0,1.1666666666666667,0.0,1
5,5,1,Successive Augmentation (BFS),True,6,6.0,1.0,0.0,1
5,4,2,Spectral Sequencing,True,7,4.0,1.75,0.0,1
5,4,2,Successive Augmentation (DFS),True,5,4.0,1.25,0.0,1
5,4,2,Successive Augmentation (BFS),True,6,4.0,1.5,0.0,1
5,7,3,Spectral Sequencing,True,16,10.0,1.6,0.0,1
5,7,3,Successive Augmentation (DFS),True,13,10.0,1.3,0.001,1
5,7,3,Successive Augmentation (BFS),True,16,10.0,1.6,0.0,1
5,5,4,Spectral Sequencing,True,10,6.0,1.6666666666666667,0.0,1
5,5,4,Successive Augmentation (DFS),True,9,6.0,1.5,0.0,1
5,5,4,Successive Augmentation (BFS),True,9,6.0,1.5,0.0,1
5,8,5,Spectral Sequencing,True,16,13.0,1.2307692307692308,0.001,1
5,8,5,Successive Augmentation (DFS),True,16,13.0,1.2307692307692308,0.0,1
5,8,5,Successive Augmentation (BFS),True,15,13.0,1.1538461538461537,0.0,1
5,4,6,Spectral Sequencing,True,5,4.5,1.1111111111111112,0.001,1
5,4,6,Successive Augmentation (DFS),True,5,4.5,1.1111111111111112,0.0,1
5,4,6,Successive Augmentation (BFS),True,6,4.5,1.3333333333333333,0.001,1
5,6,7,Spectral Sequencing,True,12,9.0,1.3333333333333333,0.001,1
5,6,7,Successive Augmentation (DFS),True,10,9.0,1.1111111111111112,0.0,1
5,6,7,Successive Augmentation (BFS),True,13,9.0,1.4444444444444444,0.0,1
5,6,8,Spectral Sequencing,True,11,9.0,1.2222222222222223,0.0,1
5,6,8,Successive Augmentation (DFS),True,9,9.0,1.0,0.0,1
5,6,8,Successive Augmentation (BFS),True,9,9.0,1.0,0.0,1
5,6,9,Spectral Sequencing,True,12,8.0,1.5,0.001,1
5,6,9,Successive Augmentation (DFS),True,12,8.0,1.5,0.0,1
5,6,9,Successive Augmentation (BFS),True,12,8.0,1.5,0.0,1
5,5,10,Spectral Sequencing,True,10,7.0,1.4285714285714286,0.001,1
5,5,10,Successive Augmentation (DFS),True,7,7.0,1.0,0.0,1
