n,m,graph_id,solver,feasible,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds
5,5,0,PathIntegralAnnealingSampler,True,7.0,7.0,1.0,0.342,5
5,5,0,RandomSampler,False,,7.0,,0.0,5
5,8,1,PathIntegralAnnealingSampler,True,14.0,13.0,1.0769230769230769,0.342,5
5,8,1,RandomSampler,False,,13.0,,0.0,5
5,6,2,PathIntegralAnnealingSampler,True,10.0,9.0,1.1111111111111112,0.344,5
5,6,2,RandomSampler,False,,9.0,,0.0,5
5,6,3,PathIntegralAnnealingSampler,True,9.0,9.0,1.0,0.336,5
5,6,3,RandomSampler,False,,9.0,,0.0,5
5,4,4,PathIntegralAnnealingSampler,True,5.0,4.5,1.1111111111111112,0.336,5
5,4,4,RandomSampler,False,,4.5,,0.0,5
5,5,5,PathIntegralAnnealingSampler,True,6.0,6.0,1.0,0.341,5
5,5,5,RandomSampler,False,,6.0,,0.0,5
5,6,6,PathIntegralAnnealingSampler,True,8.0,8.0,1.0,0.345,5
5,6,6,RandomSampler,False,,8.0,,0.0,5
5,6,7,PathIntegralAnnealingSampler,True,8.0,8.0,1.0,0.337,5
5,6,7,RandomSampler,False,,8.0,,0.0,5
5,6,8,PathIntegralAnnealingSampler,True,9.0,8.0,1.125,0.34,5
5,6,8,RandomSampler,False,,8.0,,0.0,5
5,5,9,PathIntegralAnnealingSampler,True,6.0,6.0,1.0,0.332,5
5,5,9,RandomSampler,False,,6.0,,0.0,5
5,5,10,PathIntegralAnnealingSampler,True,7.0,6.0,1.1666666666666667,0.336,5
5,5,10,RandomSampler,False,,6.0,,0.0,5
5,7,11,PathIntegralAnnealingSampler,True,12.0,11.0,1.0909090909090908,0.333,5
5,7,11,RandomSampler,False,,11.0,,0.0,5
5,7,12,PathIntegralAnnealingSampler,True,11.0,10.0,1.1,0.338,5
5,7,12,RandomSampler,False,,10.0,,0.0,5
5,9,13,PathIntegralAnnealingSampler,True,16.0,16.0,1.0,0.334,5
5,9,13,RandomSampler,False,,16.0,,0.0,5
5,7,14,PathIntegralAnnealingSampler,True,10.0,10.0,1.0,0.338,5
5,7,14,RandomSampler,False,,10.0,,0.0,5
5,4,15,PathIntegralAnnealingSampler,True,6.0,5.0,1.2,0.334,5
5,4,15,RandomSampler,False,,5.0,,0.0,5
5,4,16,PathIntegralAnnealingSampler,True,4.0,4.0,1.0,0.337,5
5,4,16,RandomSampler,False,,4.0,,0.0,5
5,8,17,PathIntegralAnnealingSampler,True,13.0,13.0,1.0,0.338,5
5,8,17,RandomSampler,False,,13.0,,0.0,5
5,5,18,PathIntegralAnnealingSampler,True,8.0,8.0,1.0,0.337,5
5,5,18,RandomSampler,False,,8.0,,0.0,5
5,7,19,PathIntegralAnnealingSampler,True,12.0,10.0,1.2,0.33,5
5,7,19,RandomSampler,False,,10.0,,0.0,5
5,10,20,PathIntegralAnnealingSampler,True,20.0,20.0,1.0,0.334,5
5,10,20,RandomSampler,False,,20.0,,0.0,5
10,21,0,PathIntegralAnnealingSampler,True,52.4,37.0,1.4162162162162162,2.086,5
10,21,0,RandomSampler,False,,37.0,,0.0,5
10,25,1,PathIntegralAnnealingSampler,True,69.2,50.000000000000014,1.3839999999999997,2.088,5
10,25,1,RandomSampler,False,,50.000000000000014,,0.0,5
10,19,2,PathIntegralAnnealingSampler,True,48.4,32.0,1.5125,2.102,5
10,19,2,RandomSampler,False,,32.0,,0.0,5
10,27,3,PathIntegralAnnealingSampler,True,77.2,60.58877549200332,1.2741633969841342,2.082,5
10,27,3,RandomSampler,False,,60.58877549200332,,0.0,5
10,23,4,PathIntegralAnnealingSampler,True,59.8,43.0,1.3906976744186046,2.092,5
10,23,4,RandomSampler,False,,43.0,,0.0,5
10,20,5,PathIntegralAnnealingSampler,True,39.4,34.0,1.1588235294117646,2.088,5
10,20,5,RandomSampler,False,,34.0,,0.0,5
10,22,6,PathIntegralAnnealingSampler,True,54.6,40.0,1.365,2.095,5
10,22,6,RandomSampler,False,,40.0,,0.0,5
10,20,7,PathIntegralAnnealingSampler,True,43.8,35.0,1.2514285714285713,2.087,5
10,20,7,RandomSampler,False,,35.0,,0.0,5
10,23,8,PathIntegralAnnealingSampler,True,60.4,43.0,1.4046511627906977,2.087,5
10,23,8,RandomSampler,False,,43.0,,0.0,5
10,20,9,PathIntegralAnnealingSampler,True,49.8,34.5,1.443478260869565,2.095,5
10,20,9,RandomSampler,False,,34.5,,0.0,5
10,24,10,PathIntegralAnnealingSampler,True,58.0,46.0,1.2608695652173914,2.09,5
10,24,10,RandomSampler,False,,46.0,,0.0,5
10,25,11,PathIntegralAnnealingSampler,True,64.0,50.000000000000014,1.2799999999999996,2.089,5
10,25,11,RandomSampler,False,,50.000000000000014,,0.0,5
10,18,12,PathIntegralAnnealingSampler,True,38.0,31.0,1.2258064516129032,2.091,5
10,18,12,RandomSampler,False,,31.0,,0.0,5
10,26,13,PathIntegralAnnealingSampler,True,75.0,56.63069551653586,1.3243701020429883,2.096,5
10,26,13,RandomSampler,False,,56.63069551653586,,0.0,5
10,24,14,PathIntegralAnnealingSampler,True,64.4,46.0,1.4000000000000001,2.092,5
10,24,14,RandomSampler,False,,46.0,,0.0,5
10,22,15,PathIntegralAnnealingSampler,True,52.8,40.0,1.3199999999999998,2.118,5
10,22,15,RandomSampler,False,,40.0,,0.0,5
10,19,16,PathIntegralAnnealingSampler,True,43.8,33.0,1.3272727272727272,2.11,5
10,19,16,RandomSampler,False,,33.0,,0.0,5
10,18,17,PathIntegralAnnealingSampler,True,36.4,30.0,1.2133333333333334,2.114,5
10,18,17,RandomSampler,False,,30.0,,0.0,5
10,18,18,PathIntegralAnnealingSampler,True,39.4,31.0,1.270967741935484,2.083,5
10,18,18,RandomSampler,False,,31.0,,0.0,5
10,24,19,PathIntegralAnnealingSampler,True,63.8,46.0,1.3869565217391304,2.098,5
10,24,19,RandomSampler,False,,46.0,,0.0,5
10,15,20,PathIntegralAnnealingSampler,True,32.4,25.0,1.296,2.089,5
10,15,20,RandomSampler,False,,25.0,,0.0,5
10,20,21,PathIntegralAnnealingSampler,True,46.4,34.0,1.3647058823529412,2.093,5
10,20,21,RandomSampler,False,,34.0,,0.0,5
10,28,22,PathIntegralAnnealingSampler,True,83.6,62.000000000000014,1.348387096774193,2.098,5
10,28,22,RandomSampler,False,,62.000000000000014,,0.0,5
10,20,23,PathIntegralAnnealingSampler,True,52.2,34.0,1.535294117647059,2.083,5
10,20,23,RandomSampler,False,,34.0,,0.0,5
10,20,24,PathIntegralAnnealingSampler,True,46.8,34.5,1.3565217391304347,2.083,5
10,20,24,RandomSampler,False,,34.5,,0.0,5
10,28,25,PathIntegralAnnealingSampler,True,77.0,62.000000000000014,1.2419354838709675,2.09,5
10,28,25,RandomSampler,False,,62.000000000000014,,0.0,5
10,23,26,PathIntegralAnnealingSampler,True,59.6,43.0,1.386046511627907,2.101,5
10,23,26,RandomSampler,False,,43.0,,0.0,5
10,20,27,PathIntegralAnnealingSampler,True,49.0,34.0,1.4411764705882353,2.081,5
10,20,27,RandomSampler,False,,34.0,,0.0,5
10,22,28,PathIntegralAnnealingSampler,True,53.8,40.0,1.345,2.091,5
10,22,28,RandomSampler,False,,40.0,,0.0,5
