solver_name,dataset_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,num_feasible,num_success,total_time
OpenJij,synthetic_n6,6,50,0.5,exact,0.86,0.06,0.06976744186046512,0.31153683138167254,0.24594631140354914,43,3,29.88004422187805
QWaveSampler,synthetic_n6,6,50,0.5,exact,1.0,0.94,0.94,0.0010559090032774246,0.06983390378211862,50,47,57.825910568237305
SimulatedBifurcation,synthetic_n6,6,50,0.5,exact,1.0,0.96,0.96,-0.0074592425118740905,0.036828327775045626,50,48,39.63642883300781
OpenJij,synthetic_n6,6,50,0.5,lucas,1.0,0.9,0.9,0.001971031892084524,0.059180834195670946,50,45,32.227444648742676
QWaveSampler,synthetic_n6,6,50,0.5,lucas,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,56.134767055511475
SimulatedBifurcation,synthetic_n6,6,50,0.5,lucas,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,38.3754563331604
OpenJij,synthetic_n8,8,50,0.5,exact,0.16,0.0,0.0,0.38732322068388414,0.2247255218703602,8,0,48.49987053871155
QWaveSampler,synthetic_n8,8,50,0.5,exact,1.0,0.44,0.22,0.07518738873066691,0.07762909216970837,50,22,119.35267758369446
SimulatedBifurcation,synthetic_n8,8,50,0.5,exact,1.0,0.38,0.16,0.08314326098886995,0.07427900072575008,50,19,49.7082622051239
OpenJij,synthetic_n8,8,50,0.5,lucas,0.96,0.84,0.75,-0.009303468670327596,0.06500053978041273,48,42,43.43061423301697
QWaveSampler,synthetic_n8,8,50,0.5,lucas,1.0,1.0,1.0,-0.026691110800128398,0.05265252245676845,50,50,121.48749589920044
SimulatedBifurcation,synthetic_n8,8,50,0.5,lucas,1.0,0.96,0.86,-0.01839789566317066,0.05831074426998084,50,48,48.49968981742859
OpenJij,synthetic_n11,11,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,58.91313076019287
QWaveSampler,synthetic_n11,11,50,0.5,exact,1.0,0.06,0.0,0.18028042432608976,0.08253659364290515,50,3,294.15098690986633
SimulatedBifurcation,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.24289413017112388,0.1149783922881739,50,0,71.98424816131592
OpenJij,synthetic_n11,11,50,0.5,lucas,0.82,0.74,0.4878048780487805,0.0033056296887033405,0.04814835572025185,41,37,64.041983127594
QWaveSampler,synthetic_n11,11,50,0.5,lucas,0.96,0.96,0.7916666666666666,-0.01619353325539537,0.034553350032528775,48,48,290.52238631248474
SimulatedBifurcation,synthetic_n11,11,50,0.5,lucas,0.88,0.6,0.25,0.03239270646984973,0.0428883811401283,44,30,71.61515140533447
OpenJij,synthetic_n13,13,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,78.33164572715759
QWaveSampler,synthetic_n13,13,50,0.5,exact,1.0,0.0,0.0,0.24421117304680448,0.09499290342320386,50,0,457.47318029403687
SimulatedBifurcation,synthetic_n13,13,50,0.5,exact,0.72,0.0,0.0,0.3738845612713016,0.140731401189442,36,0,98.71643877029419
OpenJij,synthetic_n13,13,50,0.5,lucas,0.66,0.56,0.3939393939393939,0.009803160123201845,0.0386645741519082,33,28,84.68761205673218
QWaveSampler,synthetic_n13,13,50,0.5,lucas,0.96,0.9,0.4375,0.0017614961031113304,0.035698430676934456,48,45,464.10726499557495
SimulatedBifurcation,synthetic_n13,13,50,0.5,lucas,0.64,0.32,0.125,0.04653778922569129,0.047117998006158825,32,16,96.77002000808716
OpenJij,synthetic_n15,15,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,104.02211904525757
QWaveSampler,synthetic_n15,15,50,0.5,exact,1.0,0.0,0.0,0.2837360791241561,0.08620497771755435,50,0,713.262454032898
SimulatedBifurcation,synthetic_n15,15,50,0.5,exact,0.04,0.0,0.0,0.5131818935499917,0.03775300672227958,2,0,129.81118083000183
OpenJij,synthetic_n15,15,50,0.5,lucas,0.6,0.54,0.4,0.0012319632990533938,0.04432520795201664,30,27,108.01854848861694
QWaveSampler,synthetic_n15,15,50,0.5,lucas,0.9,0.84,0.35555555555555557,0.0009305227472586798,0.033680783237755446,45,42,693.6032469272614
SimulatedBifurcation,synthetic_n15,15,50,0.5,lucas,0.32,0.22,0.1875,0.03779304643153067,0.04216359041991038,16,11,129.3596875667572
