solver_name,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
OpenJij,alchemy_g157394_preprocessed,12,13,exact,113,113,False,,40,28,25,25,,6.255662202835083
OpenJij,alchemy_g157395_preprocessed,12,13,exact,113,113,False,,35,24,22,22,,6.536564588546753
OpenJij,alchemy_g157396_preprocessed,12,13,exact,113,113,False,,27,26,21,21,,6.294723749160767
OpenJij,alchemy_g157397_preprocessed,12,13,exact,113,113,False,,57,23,21,21,,6.505110502243042
OpenJij,alchemy_g157398_preprocessed,12,12,exact,106,106,False,,19,17,17,17,,6.235194444656372
OpenJij,ENZYMES_g163,12,22,exact,168,168,False,,85,43,53,43,,6.238662004470825
OpenJij,ENZYMES_g217,15,34,exact,324,324,False,,161,97,72,72,,10.15303635597229
OpenJij,ENZYMES_g398,14,23,exact,219,219,False,,116,54,55,54,,7.893249750137329
OpenJij,iscas89-s27,9,8,exact,52,52,False,,25,13,12,12,,4.270461320877075
OpenJij,PROTEINS_g176_preprocessed,15,33,exact,317,317,False,,153,84,68,68,,10.384101629257202
OpenJij,PROTEINS_g347_preprocessed,15,27,exact,274,274,False,,123,45,65,45,,9.197962999343872
OpenJij,PROTEINS_g373_preprocessed,15,25,exact,258,258,False,,143,40,47,40,,8.918114423751831
OpenJij,PROTEINS_g42_preprocessed,15,25,exact,258,258,False,,121,47,49,47,,8.964138507843018
OpenJij,PROTEINS_g96_preprocessed,15,26,exact,266,266,False,,150,70,51,51,,8.891189813613892
QWaveSampler,alchemy_g157394_preprocessed,12,13,exact,113,113,True,38,40,28,25,25,0.52,36.83811569213867
QWaveSampler,alchemy_g157395_preprocessed,12,13,exact,113,113,True,31,35,24,22,22,0.4090909090909091,36.91474890708923
QWaveSampler,alchemy_g157396_preprocessed,12,13,exact,113,113,True,32,27,26,21,21,0.5238095238095238,36.961639165878296
QWaveSampler,alchemy_g157397_preprocessed,12,13,exact,113,113,True,25,57,23,21,21,0.19047619047619047,36.96536469459534
QWaveSampler,alchemy_g157398_preprocessed,12,12,exact,106,106,True,27,19,17,17,17,0.5882352941176471,36.83923268318176
QWaveSampler,ENZYMES_g163,12,22,exact,168,168,True,53,85,43,53,43,0.23255813953488372,37.02171444892883
QWaveSampler,ENZYMES_g217,15,34,exact,324,324,True,149,161,97,72,72,1.0694444444444444,67.43377256393433
QWaveSampler,ENZYMES_g398,14,23,exact,219,219,True,92,116,54,55,54,0.7037037037037037,55.83501386642456
QWaveSampler,iscas89-s27,9,8,exact,52,52,True,14,25,13,12,12,0.16666666666666666,16.436460733413696
QWaveSampler,PROTEINS_g176_preprocessed,15,33,exact,317,317,True,126,153,84,68,68,0.8529411764705882,67.74703168869019
QWaveSampler,PROTEINS_g347_preprocessed,15,27,exact,274,274,True,112,123,45,65,45,1.488888888888889,67.82888460159302
QWaveSampler,PROTEINS_g373_preprocessed,15,25,exact,258,258,True,100,143,40,47,40,1.5,68.10620188713074
QWaveSampler,PROTEINS_g42_preprocessed,15,25,exact,258,258,True,89,121,47,49,47,0.8936170212765957,67.53853249549866
QWaveSampler,PROTEINS_g96_preprocessed,15,26,exact,266,266,True,89,150,70,51,51,0.7450980392156863,67.83600950241089
SimulatedBifurcation,alchemy_g157394_preprocessed,12,13,exact,113,113,True,48,40,28,25,25,0.92,1.7181529998779297
SimulatedBifurcation,alchemy_g157395_preprocessed,12,13,exact,113,113,True,43,35,24,22,22,0.9545454545454546,1.6757559776306152
SimulatedBifurcation,alchemy_g157396_preprocessed,12,13,exact,113,113,True,36,27,26,21,21,0.7142857142857143,1.7024540901184082
SimulatedBifurcation,alchemy_g157397_preprocessed,12,13,exact,113,113,True,38,57,23,21,21,0.8095238095238095,1.695511817932129
SimulatedBifurcation,alchemy_g157398_preprocessed,12,12,exact,106,106,True,57,19,17,17,17,2.3529411764705883,1.71044921875
SimulatedBifurcation,ENZYMES_g163,12,22,exact,168,168,True,94,85,43,53,43,1.186046511627907,1.683696985244751
SimulatedBifurcation,ENZYMES_g217,15,34,exact,324,324,False,,161,97,72,72,,2.615119695663452
SimulatedBifurcation,ENZYMES_g398,14,23,exact,219,219,True,100,116,54,55,54,0.8518518518518519,2.2794909477233887
SimulatedBifurcation,iscas89-s27,9,8,exact,52,52,True,16,25,13,12,12,0.3333333333333333,1.140024185180664
SimulatedBifurcation,PROTEINS_g176_preprocessed,15,33,exact,317,317,False,,153,84,68,68,,2.6587636470794678
SimulatedBifurcation,PROTEINS_g347_preprocessed,15,27,exact,274,274,False,,123,45,65,45,,2.610435724258423
