solver_name,sampler_type,dataset_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,num_feasible,num_success,total_time
OpenJij,N/A,synthetic_n6,6,50,0.5,exact,0.86,0.06,0.06976744186046512,0.31153683138167254,0.24594631140354914,43,3,27.23114514350891
QWaveSampler_path,path,synthetic_n6,6,50,0.5,exact,1.0,0.94,0.94,0.0010559090032774246,0.06983390378211862,50,47,55.36219835281372
SimulatedBifurcation,N/A,synthetic_n6,6,50,0.5,exact,1.0,0.96,0.96,-0.0074592425118740905,0.036828327775045626,50,48,37.364872217178345
OpenJij,N/A,synthetic_n6,6,50,0.5,lucas,1.0,0.82,0.82,0.016936122357174992,0.07619059614731238,50,41,29.810912609100342
QWaveSampler_path,path,synthetic_n6,6,50,0.5,lucas,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,55.456642389297485
SimulatedBifurcation,N/A,synthetic_n6,6,50,0.5,lucas,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,32.709577322006226
OpenJij,N/A,synthetic_n8,8,50,0.5,exact,0.16,0.0,0.0,0.38732322068388414,0.2247255218703602,8,0,36.57333779335022
QWaveSampler_path,path,synthetic_n8,8,50,0.5,exact,1.0,0.44,0.22,0.07518738873066691,0.07762909216970837,50,22,120.73668050765991
SimulatedBifurcation,N/A,synthetic_n8,8,50,0.5,exact,1.0,0.38,0.16,0.08314326098886995,0.07427900072575008,50,19,48.82353401184082
OpenJij,N/A,synthetic_n8,8,50,0.5,lucas,1.0,0.82,0.58,0.006827206788700541,0.056882377989441464,50,41,40.22826838493347
QWaveSampler_path,path,synthetic_n8,8,50,0.5,lucas,1.0,1.0,1.0,-0.027297171406189005,0.0528689041580725,50,50,120.52668380737305
SimulatedBifurcation,N/A,synthetic_n8,8,50,0.5,lucas,1.0,0.94,0.82,-0.011704109580445958,0.05217529088105769,50,47,46.87948536872864
OpenJij,N/A,synthetic_n11,11,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,55.438459634780884
QWaveSampler_path,path,synthetic_n11,11,50,0.5,exact,1.0,0.06,0.0,0.18028042432608976,0.08253659364290515,50,3,291.97858595848083
SimulatedBifurcation,N/A,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.24289413017112388,0.1149783922881739,50,0,75.67951917648315
OpenJij,N/A,synthetic_n11,11,50,0.5,lucas,0.96,0.74,0.4791666666666667,0.02421170781268645,0.06484175415313714,48,37,63.698320150375366
QWaveSampler_path,path,synthetic_n11,11,50,0.5,lucas,1.0,1.0,0.82,-0.016393303314192503,0.03433378954433149,50,50,408.27922654151917
SimulatedBifurcation,N/A,synthetic_n11,11,50,0.5,lucas,1.0,0.48,0.2,0.049090251123976074,0.060356026035029875,50,24,73.17883110046387
OpenJij,N/A,synthetic_n13,13,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,79.13273406028748
QWaveSampler_path,path,synthetic_n13,13,50,0.5,exact,1.0,0.0,0.0,0.24421117304680448,0.09499290342320386,50,0,2486.692126750946
SimulatedBifurcation,N/A,synthetic_n13,13,50,0.5,exact,0.72,0.0,0.0,0.3738845612713016,0.140731401189442,36,0,102.6983950138092
OpenJij,N/A,synthetic_n13,13,50,0.5,lucas,0.94,0.84,0.2978723404255319,0.013501483893285126,0.044241734890802825,47,42,82.59705352783203
QWaveSampler_path,path,synthetic_n13,13,50,0.5,lucas,1.0,0.98,0.48,-0.004739513023105135,0.03424127247319942,50,49,456.27051281929016
SimulatedBifurcation,N/A,synthetic_n13,13,50,0.5,lucas,0.92,0.18,0.043478260869565216,0.10046786113139117,0.060608522720354434,46,9,100.22718501091003
OpenJij,N/A,synthetic_n15,15,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,104.26614570617676
QWaveSampler_path,path,synthetic_n15,15,50,0.5,exact,1.0,0.0,0.0,0.2837360791241561,0.08620497771755435,50,0,673.599714756012
SimulatedBifurcation,N/A,synthetic_n15,15,50,0.5,exact,0.04,0.0,0.0,0.5131818935499917,0.03775300672227958,2,0,136.38837599754333
OpenJij,N/A,synthetic_n15,15,50,0.5,lucas,0.94,0.76,0.425531914893617,0.014109212303797723,0.05787924362107562,47,38,105.95254158973694
QWaveSampler_path,path,synthetic_n15,15,50,0.5,lucas,1.0,0.98,0.58,-0.008220413193018875,0.03456996074771984,50,49,678.741206407547
SimulatedBifurcation,N/A,synthetic_n15,15,50,0.5,lucas,0.8,0.1,0.025,0.12079126857533354,0.07302415257691189,40,5,130.29532718658447
