solver_name,sampler_type,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
OpenJij,N/A,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,1.7331562042236328
OpenJij,N/A,ENZYMES_g154,9,16,exact,85,85,True,53,56,27,26,26,1.0384615384615385,0.8312168121337891
OpenJij,N/A,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,1.9132544994354248
OpenJij,N/A,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,1.4238440990447998
OpenJij,N/A,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,1.5734100341796875
OpenJij,N/A,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,2.16800594329834
OpenJij,N/A,iscas89-s27,9,8,exact,52,52,False,,25,12,11,11,,0.8990821838378906
OpenJij,N/A,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,1.9346981048583984
QWaveSampler_path,path,ENZYMES_g124,14,31,exact,272,272,True,104,126,75,61,61,0.7049180327868853,11.197476625442505
QWaveSampler_path,path,ENZYMES_g154,9,16,exact,85,85,True,28,56,27,26,26,0.07692307692307693,3.2913951873779297
QWaveSampler_path,path,ENZYMES_g487,15,27,exact,274,274,True,108,97,49,44,44,1.4545454545454546,13.483380556106567
QWaveSampler_path,path,PROTEINS_g1046,13,22,exact,190,190,True,85,109,34,41,34,1.5,9.115148782730103
QWaveSampler_path,path,PROTEINS_g670,14,27,exact,247,247,True,104,144,46,75,46,1.2608695652173914,11.139196872711182
QWaveSampler_path,path,PROTEINS_g751,15,28,exact,282,282,True,150,147,60,45,45,2.3333333333333335,13.441273212432861
QWaveSampler_path,path,iscas89-s27,9,8,exact,52,52,True,14,25,12,11,11,0.2727272727272727,3.2889084815979004
QWaveSampler_path,path,wafa-padgett,15,27,exact,274,274,True,106,138,82,68,68,0.5588235294117647,13.454846382141113
SimulatedBifurcation,N/A,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,2.4380874633789062
SimulatedBifurcation,N/A,ENZYMES_g154,9,16,exact,85,85,True,34,56,27,26,26,0.3076923076923077,1.106809139251709
SimulatedBifurcation,N/A,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,2.7015702724456787
SimulatedBifurcation,N/A,PROTEINS_g1046,13,22,exact,190,190,True,73,109,34,41,34,1.1470588235294117,2.0921313762664795
SimulatedBifurcation,N/A,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,2.332768678665161
SimulatedBifurcation,N/A,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,2.701807737350464
SimulatedBifurcation,N/A,iscas89-s27,9,8,exact,52,52,True,16,25,12,11,11,0.45454545454545453,1.1823418140411377
SimulatedBifurcation,N/A,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,2.673020362854004
OpenJij,N/A,ENZYMES_g124,14,31,lucas,1,7,False,,126,75,61,61,,2.0687239170074463
OpenJij,N/A,ENZYMES_g154,9,16,lucas,1,5,True,26,56,27,26,26,0.0,0.9722568988800049
OpenJij,N/A,ENZYMES_g487,15,27,lucas,1,7,False,,97,49,44,44,,2.2752490043640137
OpenJij,N/A,PROTEINS_g1046,13,22,lucas,1,5,False,,109,34,41,34,,1.7980475425720215
OpenJij,N/A,PROTEINS_g670,14,27,lucas,1,6,True,43,144,46,75,46,-0.06521739130434782,2.055436134338379
OpenJij,N/A,PROTEINS_g751,15,28,lucas,1,6,False,,147,60,45,45,,2.333395481109619
OpenJij,N/A,iscas89-s27,9,8,lucas,1,4,True,9,25,12,11,11,-0.18181818181818182,0.985872745513916
OpenJij,N/A,wafa-padgett,15,27,lucas,1,9,False,,138,82,68,68,,2.1885924339294434
QWaveSampler_path,path,ENZYMES_g124,14,31,lucas,1,7,False,,126,75,61,61,,11.771336793899536
QWaveSampler_path,path,ENZYMES_g154,9,16,lucas,1,5,True,26,56,27,26,26,0.0,3.4613404273986816
QWaveSampler_path,path,ENZYMES_g487,15,27,lucas,1,7,False,,97,49,44,44,,14.165947198867798
QWaveSampler_path,path,PROTEINS_g1046,13,22,lucas,1,5,False,,109,34,41,34,,9.565208196640015
QWaveSampler_path,path,PROTEINS_g670,14,27,lucas,1,6,False,,144,46,75,46,,11.744726181030273
QWaveSampler_path,path,PROTEINS_g751,15,28,lucas,1,6,False,,147,60,45,45,,14.204230070114136
QWaveSampler_path,path,iscas89-s27,9,8,lucas,1,4,True,10,25,12,11,11,-0.09090909090909091,3.4539215564727783
QWaveSampler_path,path,wafa-padgett,15,27,lucas,1,9,False,,138,82,68,68,,14.103602170944214
SimulatedBifurcation,N/A,ENZYMES_g124,14,31,lucas,1,7,False,,126,75,61,61,,2.3645894527435303
SimulatedBifurcation,N/A,ENZYMES_g154,9,16,lucas,1,5,True,26,56,27,26,26,0.0,1.1267154216766357
SimulatedBifurcation,N/A,ENZYMES_g487,15,27,lucas,1,7,False,,97,49,44,44,,2.5755436420440674
SimulatedBifurcation,N/A,PROTEINS_g1046,13,22,lucas,1,5,False,,109,34,41,34,,2.0323102474212646
SimulatedBifurcation,N/A,PROTEINS_g670,14,27,lucas,1,6,False,,144,46,75,46,,2.37009334564209
SimulatedBifurcation,N/A,PROTEINS_g751,15,28,lucas,1,6,False,,147,60,45,45,,2.6601126194000244
SimulatedBifurcation,N/A,iscas89-s27,9,8,lucas,1,4,False,,25,12,11,11,,1.1384143829345703
SimulatedBifurcation,N/A,wafa-padgett,15,27,lucas,1,9,False,,138,82,68,68,,2.505620002746582
