solver_name,sampler_type,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
QWaveSampler_path,path,6,0,6,exact,24,24,8.0,8,8,True,0.1489851474761963
QWaveSampler_path,path,6,1,7,exact,26,26,13.0,13,9,True,0.146744966506958
QWaveSampler_path,path,6,2,7,exact,26,26,13.0,13,11,True,0.15091729164123535
QWaveSampler_path,path,6,3,7,exact,26,26,13.0,13,11,True,0.14376473426818848
QWaveSampler_path,path,6,4,6,exact,24,24,10.0,10,7,True,0.14656639099121094
QWaveSampler_path,path,6,5,8,exact,28,28,13.0,13,13,True,0.14542651176452637
QWaveSampler_path,path,6,6,7,exact,26,26,11.0,11,10,True,0.14119625091552734
QWaveSampler_path,path,6,7,8,exact,28,28,14.0,14,11,True,0.14609599113464355
QWaveSampler_path,path,6,8,9,exact,30,30,16.0,16,16,True,0.1416795253753662
QWaveSampler_path,path,6,9,10,exact,32,32,18.0,18,18,True,0.1481308937072754
QWaveSampler_path,path,6,10,7,exact,26,26,11.0,11,10,True,0.14108681678771973
QWaveSampler_path,path,6,11,8,exact,28,28,12.0,12,12,True,0.1460437774658203
QWaveSampler_path,path,6,12,6,exact,24,24,9.0,9,9,True,0.16022467613220215
QWaveSampler_path,path,6,13,6,exact,24,24,11.0,11,9,True,0.14829301834106445
QWaveSampler_path,path,6,14,8,exact,28,28,15.0,15,15,True,0.14396071434020996
QWaveSampler_path,path,6,15,9,exact,30,30,17.0,17,15,True,0.1416006088256836
QWaveSampler_path,path,6,16,5,exact,21,21,8.0,8,6,True,0.1409449577331543
QWaveSampler_path,path,6,17,8,exact,28,28,16.0,16,14,True,0.1412372589111328
QWaveSampler_path,path,6,18,7,exact,26,26,11.0,11,11,True,0.14664912223815918
QWaveSampler_path,path,6,19,6,exact,24,24,10.0,10,8,True,0.1405785083770752
QWaveSampler_path,path,6,20,9,exact,30,30,13.0,13,13,True,0.14209794998168945
QWaveSampler_path,path,6,21,9,exact,30,30,17.0,17,17,True,0.14801621437072754
QWaveSampler_path,path,6,22,6,exact,24,24,7.0,7,7,True,0.14168548583984375
QWaveSampler_path,path,6,23,11,exact,33,33,21.0,21,21,True,0.14336895942687988
QWaveSampler_path,path,6,24,9,exact,30,30,16.0,16,15,True,0.14435648918151855
QWaveSampler_path,path,6,25,10,exact,32,32,17.0,17,17,True,0.144303560256958
QWaveSampler_path,path,6,26,9,exact,30,30,15.0,15,15,True,0.1403970718383789
QWaveSampler_path,path,6,27,6,exact,24,24,8.0,8,8,True,0.14370250701904297
QWaveSampler_path,path,6,28,7,exact,26,26,10.0,10,10,True,0.13979601860046387
QWaveSampler_path,path,6,29,9,exact,30,30,16.0,16,16,True,0.14500904083251953
QWaveSampler_path,path,6,30,8,exact,28,28,13.0,13,13,True,0.142242431640625
QWaveSampler_path,path,6,31,6,exact,24,24,9.0,9,8,True,0.1498725414276123
QWaveSampler_path,path,6,32,6,exact,24,24,9.0,9,8,True,0.14139175415039062
QWaveSampler_path,path,6,33,5,exact,21,21,6.0,6,6,True,0.1487424373626709
QWaveSampler_path,path,6,34,9,exact,30,30,17.0,17,16,True,0.14507555961608887
QWaveSampler_path,path,6,35,7,exact,26,26,13.0,13,11,True,0.14755868911743164
QWaveSampler_path,path,6,36,10,exact,32,32,21.0,21,19,True,0.14130783081054688
QWaveSampler_path,path,6,37,10,exact,32,32,19.0,19,19,True,0.14208602905273438
QWaveSampler_path,path,6,38,5,exact,21,21,7.0,7,5,True,0.14544415473937988
QWaveSampler_path,path,6,39,7,exact,26,26,11.0,11,13,True,0.14647817611694336
QWaveSampler_path,path,6,40,7,exact,26,26,12.0,12,12,True,0.14976978302001953
QWaveSampler_path,path,6,41,8,exact,28,28,15.0,15,15,True,0.1456289291381836
QWaveSampler_path,path,6,42,8,exact,28,28,13.0,13,13,True,0.15365362167358398
QWaveSampler_path,path,6,43,10,exact,32,32,18.0,18,16,True,0.1500566005706787
QWaveSampler_path,path,6,44,8,exact,28,28,11.0,11,11,True,0.14525580406188965
QWaveSampler_path,path,6,45,10,exact,32,32,20.0,20,19,True,0.14450621604919434
QWaveSampler_path,path,6,46,8,exact,28,28,13.0,13,14,True,0.1475081443786621
QWaveSampler_path,path,6,47,10,exact,32,32,19.0,19,18,True,0.13954472541809082
QWaveSampler_path,path,6,48,10,exact,32,32,19.0,19,19,True,0.14163756370544434
QWaveSampler_path,path,6,49,7,exact,26,26,12.0,12,9,True,0.14819717407226562
QWaveSampler_path,path,6,0,6,lucas,4,4,8.0,8,8,True,0.14714455604553223
QWaveSampler_path,path,6,1,7,lucas,5,5,9.0,9,9,True,0.14516568183898926
QWaveSampler_path,path,6,2,7,lucas,4,4,11.0,11,11,True,0.1469261646270752
QWaveSampler_path,path,6,3,7,lucas,5,5,11.0,11,11,True,0.15790700912475586
QWaveSampler_path,path,6,4,6,lucas,4,4,7.0,7,7,True,0.14886093139648438
QWaveSampler_path,path,6,5,8,lucas,5,5,13.0,13,13,True,0.1517183780670166
QWaveSampler_path,path,6,6,7,lucas,5,5,10.0,10,10,True,0.152557373046875
QWaveSampler_path,path,6,7,8,lucas,5,5,11.0,11,11,True,0.15587568283081055
QWaveSampler_path,path,6,8,9,lucas,5,5,16.0,16,16,True,0.14948678016662598
QWaveSampler_path,path,6,9,10,lucas,6,6,18.0,18,18,True,0.15027666091918945
QWaveSampler_path,path,6,10,7,lucas,5,5,10.0,10,10,True,0.15020465850830078
QWaveSampler_path,path,6,11,8,lucas,5,5,12.0,12,12,True,0.1458570957183838
QWaveSampler_path,path,6,12,6,lucas,4,4,9.0,9,9,True,0.15827631950378418
QWaveSampler_path,path,6,13,6,lucas,5,5,9.0,9,9,True,0.14861130714416504
QWaveSampler_path,path,6,14,8,lucas,5,5,13.0,13,15,True,0.14645075798034668
QWaveSampler_path,path,6,15,9,lucas,5,5,15.0,15,15,True,0.14952802658081055
QWaveSampler_path,path,6,16,5,lucas,4,4,7.0,7,6,True,0.14830946922302246
QWaveSampler_path,path,6,17,8,lucas,4,4,14.0,14,14,True,0.14856410026550293
QWaveSampler_path,path,6,18,7,lucas,6,6,11.0,11,11,True,0.1475067138671875
QWaveSampler_path,path,6,19,6,lucas,5,5,10.0,10,8,True,0.15050387382507324
QWaveSampler_path,path,6,20,9,lucas,5,5,13.0,13,13,True,0.14656424522399902
QWaveSampler_path,path,6,21,9,lucas,5,5,17.0,17,17,True,0.1468958854675293
QWaveSampler_path,path,6,22,6,lucas,4,4,7.0,7,7,True,0.14635014533996582
QWaveSampler_path,path,6,23,11,lucas,6,6,21.0,21,21,True,0.14634203910827637
QWaveSampler_path,path,6,24,9,lucas,5,5,15.0,15,15,True,0.14847993850708008
QWaveSampler_path,path,6,25,10,lucas,5,5,17.0,17,17,True,0.15259480476379395
QWaveSampler_path,path,6,26,9,lucas,5,5,15.0,15,15,True,0.15841388702392578
QWaveSampler_path,path,6,27,6,lucas,4,4,8.0,8,8,True,0.14984560012817383
QWaveSampler_path,path,6,28,7,lucas,4,4,10.0,10,10,True,0.1462879180908203
QWaveSampler_path,path,6,29,9,lucas,5,5,16.0,16,16,True,0.1500687599182129
QWaveSampler_path,path,6,30,8,lucas,6,6,13.0,13,13,True,0.15316438674926758
QWaveSampler_path,path,6,31,6,lucas,4,4,10.0,10,8,True,0.1458415985107422
QWaveSampler_path,path,6,32,6,lucas,5,5,9.0,9,8,True,0.1517937183380127
QWaveSampler_path,path,6,33,5,lucas,4,4,6.0,6,6,True,0.15612268447875977
QWaveSampler_path,path,6,34,9,lucas,5,5,16.0,16,16,True,0.14592981338500977
QWaveSampler_path,path,6,35,7,lucas,6,6,11.0,11,11,True,0.14967060089111328
QWaveSampler_path,path,6,36,10,lucas,6,6,19.0,19,19,True,0.1503908634185791
QWaveSampler_path,path,6,37,10,lucas,6,6,17.0,17,19,True,0.14977192878723145
QWaveSampler_path,path,6,38,5,lucas,3,3,6.0,6,5,True,0.15015554428100586
QWaveSampler_path,path,6,39,7,lucas,4,4,11.0,11,13,True,0.15987706184387207
QWaveSampler_path,path,6,40,7,lucas,4,4,12.0,12,12,True,0.14418554306030273
QWaveSampler_path,path,6,41,8,lucas,4,4,14.0,14,15,True,0.14959287643432617
QWaveSampler_path,path,6,42,8,lucas,5,5,13.0,13,13,True,0.14809894561767578
QWaveSampler_path,path,6,43,10,lucas,5,5,16.0,16,16,True,0.14980578422546387
QWaveSampler_path,path,6,44,8,lucas,5,5,11.0,11,11,True,0.14803123474121094
QWaveSampler_path,path,6,45,10,lucas,5,5,19.0,19,19,True,0.150681734085083
QWaveSampler_path,path,6,46,8,lucas,6,6,13.0,13,14,True,0.15373635292053223
QWaveSampler_path,path,6,47,10,lucas,5,5,19.0,19,18,True,0.14601993560791016
QWaveSampler_path,path,6,48,10,lucas,5,5,18.0,18,19,True,0.1491868495941162
QWaveSampler_path,path,6,49,7,lucas,4,4,9.0,9,9,True,0.14795684814453125
QWaveSampler_path,path,8,0,16,exact,69,69,43.0,43,34,True,0.30195069313049316
QWaveSampler_path,path,8,1,18,exact,73,73,41.0,41,40,True,0.29027247428894043
QWaveSampler_path,path,8,2,12,exact,58,58,27.0,27,21,True,0.29966187477111816
QWaveSampler_path,path,8,3,17,exact,71,71,44.0,44,37,True,0.30211973190307617
QWaveSampler_path,path,8,4,15,exact,67,67,36.0,36,33,True,0.2946960926055908
QWaveSampler_path,path,8,5,15,exact,67,67,36.0,36,31,True,0.2959175109863281
QWaveSampler_path,path,8,6,14,exact,64,64,34.0,34,29,True,0.2996039390563965
QWaveSampler_path,path,8,7,12,exact,58,58,31.0,31,20,True,0.2930889129638672
QWaveSampler_path,path,8,8,12,exact,58,58,26.0,26,25,True,0.29718804359436035
QWaveSampler_path,path,8,9,16,exact,69,69,43.0,43,35,True,0.29030776023864746
QWaveSampler_path,path,8,10,15,exact,67,67,41.0,41,30,True,0.29262852668762207
QWaveSampler_path,path,8,11,16,exact,69,69,40.0,40,37,True,0.30551743507385254
QWaveSampler_path,path,8,12,13,exact,61,61,31.0,31,26,True,0.3339712619781494
QWaveSampler_path,path,8,13,16,exact,69,69,42.0,42,37,True,0.2937581539154053
QWaveSampler_path,path,8,14,18,exact,73,73,44.0,44,42,True,0.31075191497802734
QWaveSampler_path,path,8,15,12,exact,58,58,28.0,28,24,True,0.3153982162475586
QWaveSampler_path,path,8,16,14,exact,64,64,33.0,33,27,True,0.29624366760253906
QWaveSampler_path,path,8,17,14,exact,64,64,31.0,31,28,True,0.30672574043273926
QWaveSampler_path,path,8,18,9,exact,48,48,23.0,23,14,True,0.2941911220550537
QWaveSampler_path,path,8,19,21,exact,79,79,53.0,53,48,True,0.2949709892272949
QWaveSampler_path,path,8,20,13,exact,61,61,30.0,30,26,True,0.2903876304626465
QWaveSampler_path,path,8,21,14,exact,64,64,35.0,35,31,True,0.29047060012817383
QWaveSampler_path,path,8,22,19,exact,75,75,47.0,47,45,True,0.2940671443939209
QWaveSampler_path,path,8,23,13,exact,61,61,30.0,30,30,True,0.2899641990661621
QWaveSampler_path,path,8,24,13,exact,61,61,29.0,29,25,True,0.29329991340637207
QWaveSampler_path,path,8,25,16,exact,69,69,41.0,41,34,True,0.29366040229797363
