solver_id,dataset_name,num_vertices,num_graphs,penalty_mode,num_feasible,num_success,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,total_time
0,synthetic_n5,5,21,exact,21,2,1.0,0.09523809523809523,0.09523809523809523,0.32367949510806654,0.2578092766834024,0.13857293128967285
1,synthetic_n5,5,21,exact,21,4,1.0,0.19047619047619047,0.19047619047619047,0.23126853305424738,0.18676094349619773,0.12693214416503906
2,synthetic_n5,5,21,exact,21,2,1.0,0.09523809523809523,0.09523809523809523,0.32367949510806654,0.2578092766834024,0.12543940544128418
3,synthetic_n5,5,21,exact,21,5,1.0,0.23809523809523808,0.23809523809523808,0.25859570323856035,0.23192376383463462,0.1454606056213379
4,synthetic_n5,5,21,exact,21,4,1.0,0.19047619047619047,0.19047619047619047,0.2768548250691108,0.24434005374861634,0.13023710250854492
5,synthetic_n5,5,21,exact,21,2,1.0,0.09523809523809523,0.09523809523809523,0.33302226873655444,0.2356928311635838,0.1299266815185547
0,synthetic_n5,5,21,lucas,21,13,1.0,0.6190476190476191,0.6190476190476191,0.07590101697244556,0.1184716502326363,0.12652587890625
1,synthetic_n5,5,21,lucas,19,14,0.9047619047619048,0.6666666666666666,0.7368421052631579,0.09013617960986382,0.1895823190435755,0.1274712085723877
2,synthetic_n5,5,21,lucas,21,13,1.0,0.6190476190476191,0.6190476190476191,0.07590101697244556,0.1184716502326363,0.12932610511779785
3,synthetic_n5,5,21,lucas,21,21,1.0,1.0,1.0,0.0,0.0,0.24786829948425293
4,synthetic_n5,5,21,lucas,19,10,0.9047619047619048,0.47619047619047616,0.5263157894736842,0.13696741854636593,0.18567156757628236,0.1317899227142334
5,synthetic_n5,5,21,lucas,7,4,0.3333333333333333,0.19047619047619047,0.5714285714285714,0.11753246753246753,0.14729958068471796,0.13367319107055664
0,synthetic_n10,10,50,exact,21,0,0.42,0.0,0.0,0.43238929107379687,0.14163486524788524,1.7978880405426025
1,synthetic_n10,10,50,exact,42,0,0.84,0.0,0.0,0.44631270226959757,0.18216461711048312,1.8012642860412598
2,synthetic_n10,10,50,exact,21,0,0.42,0.0,0.0,0.43238929107379687,0.14163486524788524,1.7986257076263428
3,synthetic_n10,10,50,exact,36,0,0.72,0.0,0.0,0.4385740351227147,0.15298729147976298,1.8130183219909668
4,synthetic_n10,10,50,exact,9,0,0.18,0.0,0.0,0.4601163067856804,0.1661435545009624,1.8069112300872803
5,synthetic_n10,10,50,exact,3,0,0.06,0.0,0.0,0.42719946417768556,0.056957815363323346,1.8267827033996582
0,synthetic_n10,10,50,lucas,39,10,0.78,0.2,0.07692307692307693,0.10968997129665785,0.08043569426612274,1.8061630725860596
1,synthetic_n10,10,50,lucas,42,23,0.84,0.46,0.2857142857142857,0.05228657482657944,0.08952254795123846,1.8120708465576172
2,synthetic_n10,10,50,lucas,39,10,0.78,0.2,0.07692307692307693,0.10968997129665785,0.08043569426612274,1.7999093532562256
3,synthetic_n10,10,50,lucas,47,27,0.94,0.54,0.44680851063829785,0.026550800677271853,0.07201770402019628,2.7690088748931885
4,synthetic_n10,10,50,lucas,40,22,0.8,0.44,0.275,0.0605088262797522,0.09286839856291841,1.8732390403747559
5,synthetic_n10,10,50,lucas,40,19,0.8,0.38,0.2,0.0614118936350004,0.07598738327230616,1.822500467300415
0,synthetic_n15,15,50,exact,4,0,0.08,0.0,0.0,0.28064898638648944,0.08408361490831583,5.512755632400513
1,synthetic_n15,15,50,exact,7,0,0.14,0.0,0.0,0.41948288724303856,0.13410810013896238,5.540477991104126
2,synthetic_n15,15,50,exact,4,0,0.08,0.0,0.0,0.28064898638648944,0.08408361490831583,5.568942308425903
3,synthetic_n15,15,50,exact,7,0,0.14,0.0,0.0,0.4806332079402996,0.033230081589364614,5.478832483291626
4,synthetic_n15,15,50,exact,0,0,0.0,0.0,0.0,inf,0.0,5.581414222717285
5,synthetic_n15,15,50,exact,0,0,0.0,0.0,0.0,inf,0.0,5.595716238021851
0,synthetic_n15,15,50,lucas,14,3,0.28,0.06,0.07142857142857142,0.0811027317837598,0.08018969814698336,5.515024185180664
1,synthetic_n15,15,50,lucas,15,11,0.3,0.22,0.13333333333333333,0.05350742293051342,0.06389642453416514,5.5421552658081055
2,synthetic_n15,15,50,lucas,14,3,0.28,0.06,0.07142857142857142,0.0811027317837598,0.08018969814698336,5.543688058853149
3,synthetic_n15,15,50,lucas,31,20,0.62,0.4,0.25806451612903225,0.02881633041318449,0.050232788920071055,7.269342422485352
4,synthetic_n15,15,50,lucas,9,3,0.18,0.06,0.0,0.09667832299493352,0.08675421778614717,5.658093214035034
5,synthetic_n15,15,50,lucas,13,2,0.26,0.04,0.0,0.12103319377125424,0.08917508552768584,5.605260848999023
0,synthetic_n20,20,50,exact,0,0,0.0,0.0,0.0,inf,0.0,12.647223234176636
1,synthetic_n20,20,50,exact,0,0,0.0,0.0,0.0,inf,0.0,12.648674726486206
2,synthetic_n20,20,50,exact,0,0,0.0,0.0,0.0,inf,0.0,12.732063293457031
3,synthetic_n20,20,50,exact,0,0,0.0,0.0,0.0,inf,0.0,12.53940749168396
4,synthetic_n20,20,50,exact,0,0,0.0,0.0,0.0,inf,0.0,12.698063135147095
5,synthetic_n20,20,50,exact,0,0,0.0,0.0,0.0,inf,0.0,12.779192686080933
0,synthetic_n20,20,50,lucas,2,0,0.04,0.0,0.0,0.10265481871537491,0.03331713702151523,12.657511472702026
1,synthetic_n20,20,50,lucas,3,0,0.06,0.0,0.0,0.08414150328455117,0.006392903912758303,12.743326425552368
2,synthetic_n20,20,50,lucas,2,0,0.04,0.0,0.0,0.10265481871537491,0.03331713702151523,12.68070650100708
3,synthetic_n20,20,50,lucas,20,14,0.4,0.28,0.3,0.02716192299697843,0.05531762491124158,15.33430814743042
4,synthetic_n20,20,50,lucas,0,0,0.0,0.0,0.0,inf,0.0,12.953149318695068
5,synthetic_n20,20,50,lucas,0,0,0.0,0.0,0.0,inf,0.0,12.77302622795105
0,synthetic_n25,25,50,exact,0,0,0.0,0.0,0.0,inf,0.0,24.500906705856323
1,synthetic_n25,25,50,exact,0,0,0.0,0.0,0.0,inf,0.0,24.42073678970337
2,synthetic_n25,25,50,exact,0,0,0.0,0.0,0.0,inf,0.0,24.55498242378235
3,synthetic_n25,25,50,exact,0,0,0.0,0.0,0.0,inf,0.0,24.198198318481445
4,synthetic_n25,25,50,exact,0,0,0.0,0.0,0.0,inf,0.0,24.4352068901062
5,synthetic_n25,25,50,exact,0,0,0.0,0.0,0.0,inf,0.0,24.507742404937744
0,synthetic_n25,25,50,lucas,0,0,0.0,0.0,0.0,inf,0.0,24.6976535320282
1,synthetic_n25,25,50,lucas,0,0,0.0,0.0,0.0,inf,0.0,24.69637632369995
