solver_id,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
0,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,0.08869385719299316
0,ENZYMES_g154,9,16,exact,85,85,True,56,56,27,26,26,1.1538461538461537,0.0267789363861084
0,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,0.10206794738769531
0,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,0.07078814506530762
0,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,0.0875091552734375
0,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,0.10292291641235352
0,iscas89-s27,9,8,exact,52,52,True,22,25,12,11,11,1.0,0.02593994140625
0,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,0.10381698608398438
1,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,0.08756208419799805
1,ENZYMES_g154,9,16,exact,85,85,True,59,56,27,26,26,1.2692307692307692,0.026462078094482422
1,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,0.10384416580200195
1,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,0.07093501091003418
1,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,0.08763504028320312
1,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,0.1041257381439209
1,iscas89-s27,9,8,exact,52,52,True,35,25,12,11,11,2.1818181818181817,0.0266878604888916
1,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,0.10153913497924805
2,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,0.08973097801208496
2,ENZYMES_g154,9,16,exact,85,85,True,56,56,27,26,26,1.1538461538461537,0.02673482894897461
2,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,0.10497307777404785
2,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,0.07053995132446289
2,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,0.08802509307861328
2,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,0.10549497604370117
2,iscas89-s27,9,8,exact,52,52,True,22,25,12,11,11,1.0,0.026270151138305664
2,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,0.10486602783203125
3,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,0.08662199974060059
3,ENZYMES_g154,9,16,exact,85,85,True,54,56,27,26,26,1.0769230769230769,0.028149843215942383
3,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,0.10225987434387207
3,PROTEINS_g1046,13,22,exact,190,190,True,116,109,34,41,34,2.411764705882353,0.06954598426818848
3,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,0.08554911613464355
3,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,0.10322093963623047
3,iscas89-s27,9,8,exact,52,52,True,27,25,12,11,11,1.4545454545454546,0.026497602462768555
3,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,0.10191106796264648
4,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,0.08881711959838867
4,ENZYMES_g154,9,16,exact,85,85,True,53,56,27,26,26,1.0384615384615385,0.02680182456970215
4,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,0.10422086715698242
4,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,0.07342529296875
4,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,0.0877540111541748
4,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,0.10297012329101562
4,iscas89-s27,9,8,exact,52,52,True,42,25,12,11,11,2.8181818181818183,0.026124954223632812
4,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,0.10677504539489746
5,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,0.08911490440368652
5,ENZYMES_g154,9,16,exact,85,85,True,52,56,27,26,26,1.0,0.02747511863708496
5,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,0.10332584381103516
5,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,0.07150578498840332
5,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,0.08707523345947266
5,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,0.1051168441772461
5,iscas89-s27,9,8,exact,52,52,True,24,25,12,11,11,1.1818181818181819,0.026253223419189453
5,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,0.10474705696105957
0,ENZYMES_g124,14,31,lucas,7,7,True,66,126,75,61,61,0.08196721311475409,0.08785581588745117
0,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,0.02735114097595215
0,ENZYMES_g487,15,27,lucas,7,7,True,72,97,49,44,44,0.6363636363636364,0.10399317741394043
0,PROTEINS_g1046,13,22,lucas,5,5,True,35,109,34,41,34,0.029411764705882353,0.07012128829956055
0,PROTEINS_g670,14,27,lucas,6,6,True,72,144,46,75,46,0.5652173913043478,0.08717799186706543
0,PROTEINS_g751,15,28,lucas,6,6,True,49,147,60,45,45,0.08888888888888889,0.10570812225341797
0,iscas89-s27,9,8,lucas,4,4,True,16,25,12,11,11,0.45454545454545453,0.026308059692382812
0,wafa-padgett,15,27,lucas,9,9,True,96,138,82,68,68,0.4117647058823529,0.10392403602600098
1,ENZYMES_g124,14,31,lucas,7,7,True,66,126,75,61,61,0.08196721311475409,0.08738279342651367
1,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,0.0264437198638916
1,ENZYMES_g487,15,27,lucas,7,7,False,,97,49,44,44,,0.10392284393310547
1,PROTEINS_g1046,13,22,lucas,5,5,True,35,109,34,41,34,0.029411764705882353,0.0701591968536377
1,PROTEINS_g670,14,27,lucas,6,6,True,53,144,46,75,46,0.15217391304347827,0.08763694763183594
1,PROTEINS_g751,15,28,lucas,6,6,True,62,147,60,45,45,0.37777777777777777,0.10326695442199707
1,iscas89-s27,9,8,lucas,4,4,True,9,25,12,11,11,-0.18181818181818182,0.0258181095123291
1,wafa-padgett,15,27,lucas,9,9,True,71,138,82,68,68,0.04411764705882353,0.1034688949584961
2,ENZYMES_g124,14,31,lucas,7,7,True,66,126,75,61,61,0.08196721311475409,0.08669400215148926
2,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,0.026717185974121094
2,ENZYMES_g487,15,27,lucas,7,7,True,72,97,49,44,44,0.6363636363636364,0.10532975196838379
2,PROTEINS_g1046,13,22,lucas,5,5,True,35,109,34,41,34,0.029411764705882353,0.07094001770019531
2,PROTEINS_g670,14,27,lucas,6,6,True,72,144,46,75,46,0.5652173913043478,0.08766484260559082
2,PROTEINS_g751,15,28,lucas,6,6,True,49,147,60,45,45,0.08888888888888889,0.10538077354431152
2,iscas89-s27,9,8,lucas,4,4,True,16,25,12,11,11,0.45454545454545453,0.02649998664855957
2,wafa-padgett,15,27,lucas,9,9,True,96,138,82,68,68,0.4117647058823529,0.10370707511901855
3,ENZYMES_g124,14,31,lucas,7,7,True,62,126,75,61,61,0.01639344262295082,0.14011526107788086
3,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,0.050870656967163086
3,ENZYMES_g487,15,27,lucas,7,7,True,55,97,49,44,44,0.25,0.16471099853515625
3,PROTEINS_g1046,13,22,lucas,5,5,True,34,109,34,41,34,0.0,0.14529681205749512
3,PROTEINS_g670,14,27,lucas,6,6,True,43,144,46,75,46,-0.06521739130434782,0.15027809143066406
3,PROTEINS_g751,15,28,lucas,6,6,False,,147,60,45,45,,0.18865585327148438
3,iscas89-s27,9,8,lucas,4,4,True,9,25,12,11,11,-0.18181818181818182,0.06741476058959961
3,wafa-padgett,15,27,lucas,9,9,True,80,138,82,68,68,0.17647058823529413,0.14786505699157715
4,ENZYMES_g124,14,31,lucas,7,7,True,68,126,75,61,61,0.11475409836065574,0.0900871753692627
