n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s
5,5,0,6.0,True,6.0,6,1.0,0.0,0.094
5,5,1,6.0,True,6.0,6,1.0,0.0,0.095
5,4,2,4.0,True,4.0,4,1.0,0.0,0.085
5,7,3,10.0,True,10.0,10,1.0,0.0,0.083
5,5,4,7.0,True,7.0,7,1.0,0.0,0.083
5,8,5,14.0,True,14.0,14,1.0,0.0,0.084
5,4,6,5.0,True,5.0,5,1.0,0.0,0.085
5,6,7,10.0,True,10.0,10,1.0,0.0,0.09
5,6,8,9.0,True,9.0,9,1.0,0.0,0.085
5,6,9,9.0,True,9.0,9,1.0,0.0,0.083
5,5,10,7.0,True,7.0,7,1.0,0.0,0.087
5,6,11,8.0,True,8.0,8,1.0,0.0,0.083
5,7,12,12.0,True,12.0,12,1.0,0.0,0.088
5,5,13,8.0,True,8.0,8,1.0,0.0,0.094
5,7,14,11.0,True,11.0,11,1.0,0.0,0.096
5,8,15,13.0,True,13.0,13,1.0,0.0,0.085
5,6,16,8.0,True,8.0,8,1.0,0.0,0.086
5,7,17,12.0,True,12.0,12,1.0,0.0,0.085
5,9,18,16.0,True,16.0,16,1.0,0.0,0.085
5,10,19,20.0,True,20.0,20,1.0,0.0,0.084
5,4,20,6.0,True,6.0,6,1.0,0.0,0.088
10,26,0,67.0,True,67.0,67,1.0,0.0,0.505
10,27,1,80.0,True,80.0,75,1.0666666666666667,0.06666666666666667,0.488
10,14,2,24.0,True,24.0,22,1.0909090909090908,0.09090909090909091,0.494
10,20,3,46.0,True,46.0,45,1.0222222222222221,0.022222222222222223,0.495
10,19,4,47.0,True,47.0,44,1.0681818181818181,0.06818181818181818,0.497
10,23,5,57.0,True,57.0,56,1.0178571428571428,0.017857142857142856,0.487
10,23,6,56.0,True,56.0,53,1.0566037735849056,0.05660377358490566,0.484
10,21,7,52.0,True,52.0,51,1.0196078431372548,0.0196078431372549,0.496
10,22,8,48.0,True,48.0,47,1.0212765957446808,0.02127659574468085,0.492
10,25,9,60.0,True,60.0,60,1.0,0.0,0.512
10,21,10,53.0,True,53.0,52,1.0192307692307692,0.019230769230769232,0.503
10,21,11,51.0,True,51.0,51,1.0,0.0,0.504
10,19,12,46.0,True,46.0,46,1.0,0.0,0.49
10,28,13,76.0,True,76.0,76,1.0,0.0,0.494
10,22,14,52.0,True,52.0,52,1.0,0.0,0.501
10,25,15,71.0,True,71.0,70,1.0142857142857142,0.014285714285714285,0.515
10,23,16,60.0,True,60.0,59,1.0169491525423728,0.01694915254237288,0.505
10,25,17,64.0,True,64.0,63,1.0158730158730158,0.015873015873015872,0.584
10,20,18,43.0,True,43.0,43,1.0,0.0,0.495
10,23,19,59.0,False,,54,,,0.505
10,17,20,38.0,True,38.0,37,1.027027027027027,0.02702702702702703,0.485
10,24,21,61.0,True,61.0,61,1.0,0.0,0.496
10,23,22,57.0,True,57.0,57,1.0,0.0,0.49
10,25,23,67.0,True,67.0,67,1.0,0.0,0.5
10,24,24,60.0,True,60.0,57,1.0526315789473684,0.05263157894736842,0.494
10,18,25,41.0,True,41.0,39,1.0512820512820513,0.05128205128205128,0.493
10,21,26,43.0,True,43.0,43,1.0,0.0,0.51
10,22,27,51.0,True,51.0,50,1.02,0.02,0.489
10,21,28,48.0,True,48.0,48,1.0,0.0,0.491
