n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
5,5,0,6.0,True,6.0,6,1.0,0.0,0.107,SQASampler
5,5,1,6.0,True,6.0,6,1.0,0.0,0.096,SQASampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.09,SQASampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.095,SQASampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.092,SQASampler
5,8,5,15.0,True,15.0,14,1.0714285714285714,0.07142857142857142,0.1,SQASampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.094,SQASampler
5,6,7,11.0,True,11.0,10,1.1,0.1,0.089,SQASampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.097,SQASampler
5,6,9,9.0,True,9.0,9,1.0,0.0,0.095,SQASampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.093,SQASampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.092,SQASampler
5,7,12,12.0,True,12.0,12,1.0,0.0,0.098,SQASampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.098,SQASampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.097,SQASampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.098,SQASampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.095,SQASampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.09,SQASampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.092,SQASampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.092,SQASampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.092,SQASampler
10,26,0,67.0,True,67.0,67,1.0,0.0,0.158,SQASampler
10,27,1,78.0,True,78.0,75,1.04,0.04,0.161,SQASampler
10,14,2,22.0,True,22.0,22,1.0,0.0,0.162,SQASampler
10,20,3,45.0,True,45.0,45,1.0,0.0,0.16,SQASampler
10,19,4,44.0,True,44.0,44,1.0,0.0,0.161,SQASampler
10,23,5,56.0,True,56.0,56,1.0,0.0,0.166,SQASampler
10,23,6,53.0,True,53.0,53,1.0,0.0,0.165,SQASampler
10,21,7,58.0,True,58.0,51,1.1372549019607843,0.13725490196078433,0.156,SQASampler
10,22,8,61.0,False,,47,,,0.164,SQASampler
10,25,9,60.0,True,60.0,60,1.0,0.0,0.165,SQASampler
10,21,10,54.0,True,54.0,52,1.0384615384615385,0.038461538461538464,0.158,SQASampler
