n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
5,5,0,6.0,True,6.0,6,1.0,0.0,0.06,456,PathIntegralAnnealingSampler
5,5,1,6.0,True,6.0,6,1.0,0.0,0.06,42,PathIntegralAnnealingSampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.061,42,PathIntegralAnnealingSampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.06,42,PathIntegralAnnealingSampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,8,5,14.0,True,14.0,14,1.0,0.0,0.061,42,PathIntegralAnnealingSampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,6,7,10.0,True,10.0,10,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.06,42,PathIntegralAnnealingSampler
5,6,9,9.0,True,9.0,9,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.061,42,PathIntegralAnnealingSampler
5,7,12,12.0,True,12.0,12,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.061,42,PathIntegralAnnealingSampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.061,42,PathIntegralAnnealingSampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.063,42,PathIntegralAnnealingSampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.062,42,PathIntegralAnnealingSampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.061,42,PathIntegralAnnealingSampler
10,26,0,67.0,True,67.0,67,1.0,0.0,0.358,42,PathIntegralAnnealingSampler
10,27,1,75.0,True,75.0,75,1.0,0.0,0.353,42,PathIntegralAnnealingSampler
10,14,2,22.0,True,22.0,22,1.0,0.0,0.361,42,PathIntegralAnnealingSampler
10,20,3,45.0,True,45.0,45,1.0,0.0,0.365,42,PathIntegralAnnealingSampler
10,19,4,44.0,True,44.0,44,1.0,0.0,0.357,123,PathIntegralAnnealingSampler
10,23,5,57.0,True,57.0,56,1.0178571428571428,0.017857142857142856,0.35,123,PathIntegralAnnealingSampler
10,23,6,53.0,True,53.0,53,1.0,0.0,0.35,123,PathIntegralAnnealingSampler
10,21,7,51.0,True,51.0,51,1.0,0.0,0.356,123,PathIntegralAnnealingSampler
10,22,8,47.0,True,47.0,47,1.0,0.0,0.349,999,PathIntegralAnnealingSampler
10,25,9,60.0,True,60.0,60,1.0,0.0,0.354,42,PathIntegralAnnealingSampler
10,21,10,52.0,True,52.0,52,1.0,0.0,0.356,123,PathIntegralAnnealingSampler
10,21,11,51.0,True,51.0,51,1.0,0.0,0.36,123,PathIntegralAnnealingSampler
10,19,12,46.0,True,46.0,46,1.0,0.0,0.36,123,PathIntegralAnnealingSampler
10,28,13,76.0,True,76.0,76,1.0,0.0,0.353,42,PathIntegralAnnealingSampler
10,22,14,52.0,True,52.0,52,1.0,0.0,0.354,42,PathIntegralAnnealingSampler
10,25,15,70.0,True,70.0,70,1.0,0.0,0.36,42,PathIntegralAnnealingSampler
10,23,16,59.0,True,59.0,59,1.0,0.0,0.357,999,PathIntegralAnnealingSampler
10,25,17,63.0,True,63.0,63,1.0,0.0,0.355,789,PathIntegralAnnealingSampler
10,20,18,43.0,True,43.0,43,1.0,0.0,0.358,123,PathIntegralAnnealingSampler
10,23,19,54.0,True,54.0,54,1.0,0.0,0.371,42,PathIntegralAnnealingSampler
10,17,20,37.0,True,37.0,37,1.0,0.0,0.362,42,PathIntegralAnnealingSampler
10,24,21,61.0,True,61.0,61,1.0,0.0,0.368,42,PathIntegralAnnealingSampler
10,23,22,57.0,True,57.0,57,1.0,0.0,0.367,999,PathIntegralAnnealingSampler
10,25,23,67.0,True,67.0,67,1.0,0.0,0.375,999,PathIntegralAnnealingSampler
10,24,24,57.0,True,57.0,57,1.0,0.0,0.362,456,PathIntegralAnnealingSampler
10,18,25,39.0,True,39.0,39,1.0,0.0,0.366,42,PathIntegralAnnealingSampler
10,21,26,43.0,True,43.0,43,1.0,0.0,0.347,42,PathIntegralAnnealingSampler
10,22,27,50.0,True,50.0,50,1.0,0.0,0.371,123,PathIntegralAnnealingSampler
10,21,28,49.0,True,49.0,48,1.0208333333333333,0.020833333333333332,0.355,42,PathIntegralAnnealingSampler
10,19,29,45.0,True,45.0,45,1.0,0.0,0.363,999,PathIntegralAnnealingSampler
10,27,30,74.0,True,74.0,74,1.0,0.0,0.355,42,PathIntegralAnnealingSampler
10,18,31,35.0,True,35.0,35,1.0,0.0,0.364,42,PathIntegralAnnealingSampler
10,20,32,46.0,True,46.0,46,1.0,0.0,0.352,789,PathIntegralAnnealingSampler
10,25,33,65.0,True,65.0,65,1.0,0.0,0.364,42,PathIntegralAnnealingSampler
10,21,34,53.0,True,53.0,53,1.0,0.0,0.388,123,PathIntegralAnnealingSampler
10,22,35,50.0,True,50.0,50,1.0,0.0,0.383,42,PathIntegralAnnealingSampler
10,21,36,50.0,True,50.0,50,1.0,0.0,0.363,42,PathIntegralAnnealingSampler
10,26,37,68.0,True,68.0,68,1.0,0.0,0.356,42,PathIntegralAnnealingSampler
10,21,38,50.0,True,50.0,50,1.0,0.0,0.36,456,PathIntegralAnnealingSampler
10,18,39,42.0,True,42.0,42,1.0,0.0,0.373,123,PathIntegralAnnealingSampler
10,24,40,61.0,True,61.0,60,1.0166666666666666,0.016666666666666666,0.354,123,PathIntegralAnnealingSampler
10,25,41,67.0,True,67.0,67,1.0,0.0,0.364,456,PathIntegralAnnealingSampler
10,21,42,52.0,True,52.0,52,1.0,0.0,0.371,123,PathIntegralAnnealingSampler
10,24,43,54.0,True,54.0,54,1.0,0.0,0.349,42,PathIntegralAnnealingSampler
10,25,44,62.0,True,62.0,62,1.0,0.0,0.352,123,PathIntegralAnnealingSampler
10,21,45,52.0,True,52.0,52,1.0,0.0,0.354,123,PathIntegralAnnealingSampler
10,27,46,74.0,True,74.0,74,1.0,0.0,0.35,42,PathIntegralAnnealingSampler
10,24,47,62.0,True,62.0,62,1.0,0.0,0.355,123,PathIntegralAnnealingSampler
10,19,48,40.0,True,40.0,40,1.0,0.0,0.372,42,PathIntegralAnnealingSampler
10,23,49,59.0,True,59.0,58,1.0172413793103448,0.017241379310344827,0.36,456,PathIntegralAnnealingSampler
10,23,50,55.0,True,55.0,55,1.0,0.0,0.358,789,PathIntegralAnnealingSampler
10,22,51,57.0,True,57.0,57,1.0,0.0,0.367,42,PathIntegralAnnealingSampler
10,19,52,45.0,True,45.0,45,1.0,0.0,0.367,123,PathIntegralAnnealingSampler
10,25,53,59.0,True,59.0,59,1.0,0.0,0.346,42,PathIntegralAnnealingSampler
10,21,54,50.0,True,50.0,50,1.0,0.0,0.349,42,PathIntegralAnnealingSampler
10,21,55,51.0,True,51.0,51,1.0,0.0,0.349,42,PathIntegralAnnealingSampler
10,26,56,69.0,True,69.0,68,1.0147058823529411,0.014705882352941176,0.37,123,PathIntegralAnnealingSampler
10,25,57,60.0,True,60.0,60,1.0,0.0,0.367,123,PathIntegralAnnealingSampler
10,21,58,46.0,True,46.0,45,1.0222222222222221,0.022222222222222223,0.364,42,PathIntegralAnnealingSampler
10,26,59,68.0,True,68.0,68,1.0,0.0,0.357,456,PathIntegralAnnealingSampler
10,22,60,51.0,True,51.0,51,1.0,0.0,0.355,789,PathIntegralAnnealingSampler
10,21,61,47.0,True,47.0,47,1.0,0.0,0.354,123,PathIntegralAnnealingSampler
10,27,62,73.0,True,73.0,73,1.0,0.0,0.352,123,PathIntegralAnnealingSampler
10,16,63,34.0,True,34.0,34,1.0,0.0,0.362,456,PathIntegralAnnealingSampler
10,19,64,43.0,True,43.0,43,1.0,0.0,0.36,42,PathIntegralAnnealingSampler
10,25,65,62.0,True,62.0,62,1.0,0.0,0.342,123,PathIntegralAnnealingSampler
10,20,66,46.0,True,46.0,46,1.0,0.0,0.352,42,PathIntegralAnnealingSampler
10,24,67,63.0,True,63.0,62,1.0161290322580645,0.016129032258064516,0.354,42,PathIntegralAnnealingSampler
10,24,68,62.0,True,62.0,61,1.0163934426229508,0.01639344262295082,0.351,123,PathIntegralAnnealingSampler
10,20,69,46.0,True,46.0,46,1.0,0.0,0.366,456,PathIntegralAnnealingSampler
10,24,70,63.0,True,63.0,63,1.0,0.0,0.369,42,PathIntegralAnnealingSampler
10,25,71,68.0,True,68.0,68,1.0,0.0,0.365,123,PathIntegralAnnealingSampler
10,19,72,44.0,True,44.0,44,1.0,0.0,0.367,42,PathIntegralAnnealingSampler
10,23,73,54.0,True,54.0,54,1.0,0.0,0.349,42,PathIntegralAnnealingSampler
10,28,74,77.0,True,77.0,77,1.0,0.0,0.366,999,PathIntegralAnnealingSampler
