n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
5,5,0,6.0,True,6.0,6,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,5,1,6.0,True,6.0,6,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.074,123,PathIntegralAnnealingSampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,8,5,14.0,True,14.0,14,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,6,7,10.0,True,10.0,10,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.075,123,PathIntegralAnnealingSampler
5,6,9,9.0,True,9.0,9,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.099,42,PathIntegralAnnealingSampler
5,7,12,12.0,True,12.0,12,1.0,0.0,0.074,42,PathIntegralAnnealingSampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.073,123,PathIntegralAnnealingSampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.074,42,PathIntegralAnnealingSampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.075,42,PathIntegralAnnealingSampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.074,42,PathIntegralAnnealingSampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
10,26,0,75.0,True,75.0,67,1.1194029850746268,0.11940298507462686,0.4,789,PathIntegralAnnealingSampler
10,27,1,81.0,True,81.0,75,1.08,0.08,0.397,789,PathIntegralAnnealingSampler
10,14,2,32.0,True,32.0,22,1.4545454545454546,0.45454545454545453,0.398,456,PathIntegralAnnealingSampler
10,20,3,53.0,True,53.0,45,1.1777777777777778,0.17777777777777778,0.383,999,PathIntegralAnnealingSampler
10,19,4,51.0,True,51.0,44,1.1590909090909092,0.1590909090909091,0.396,123,PathIntegralAnnealingSampler
10,23,5,64.0,True,64.0,56,1.1428571428571428,0.14285714285714285,0.384,999,PathIntegralAnnealingSampler
10,23,6,68.0,True,68.0,53,1.2830188679245282,0.2830188679245283,0.399,123,PathIntegralAnnealingSampler
10,21,7,60.0,True,60.0,51,1.1764705882352942,0.17647058823529413,0.397,42,PathIntegralAnnealingSampler
10,22,8,62.0,True,62.0,47,1.3191489361702127,0.3191489361702128,0.399,999,PathIntegralAnnealingSampler
10,25,9,79.0,True,79.0,60,1.3166666666666667,0.31666666666666665,0.403,42,PathIntegralAnnealingSampler
10,21,10,61.0,True,61.0,52,1.1730769230769231,0.17307692307692307,0.394,123,PathIntegralAnnealingSampler
10,21,11,59.0,True,59.0,51,1.1568627450980393,0.1568627450980392,0.401,789,PathIntegralAnnealingSampler
10,19,12,51.0,True,51.0,46,1.108695652173913,0.10869565217391304,0.394,789,PathIntegralAnnealingSampler
10,28,13,86.0,True,86.0,76,1.131578947368421,0.13157894736842105,0.436,123,PathIntegralAnnealingSampler
10,22,14,61.0,True,61.0,52,1.1730769230769231,0.17307692307692307,0.406,123,PathIntegralAnnealingSampler
10,25,15,76.0,True,76.0,70,1.0857142857142856,0.08571428571428572,0.391,42,PathIntegralAnnealingSampler
10,23,16,68.0,True,68.0,59,1.152542372881356,0.15254237288135594,0.401,123,PathIntegralAnnealingSampler
10,25,17,75.0,True,75.0,63,1.1904761904761905,0.19047619047619047,0.396,123,PathIntegralAnnealingSampler
10,20,18,58.0,True,58.0,43,1.3488372093023255,0.3488372093023256,0.406,999,PathIntegralAnnealingSampler
10,23,19,68.0,True,68.0,54,1.2592592592592593,0.25925925925925924,0.399,42,PathIntegralAnnealingSampler
10,17,20,45.0,True,45.0,37,1.2162162162162162,0.21621621621621623,0.4,123,PathIntegralAnnealingSampler
10,24,21,68.0,True,68.0,61,1.1147540983606556,0.11475409836065574,0.4,42,PathIntegralAnnealingSampler
10,23,22,72.0,True,72.0,57,1.263157894736842,0.2631578947368421,0.398,42,PathIntegralAnnealingSampler
10,25,23,73.0,True,73.0,67,1.0895522388059702,0.08955223880597014,0.392,789,PathIntegralAnnealingSampler
10,24,24,69.0,True,69.0,57,1.2105263157894737,0.21052631578947367,0.392,456,PathIntegralAnnealingSampler
10,18,25,50.0,True,50.0,39,1.2820512820512822,0.28205128205128205,0.392,42,PathIntegralAnnealingSampler
10,21,26,50.0,True,50.0,43,1.1627906976744187,0.16279069767441862,0.396,456,PathIntegralAnnealingSampler
10,22,27,66.0,True,66.0,50,1.32,0.32,0.402,999,PathIntegralAnnealingSampler
10,21,28,56.0,True,56.0,48,1.1666666666666667,0.16666666666666666,0.392,789,PathIntegralAnnealingSampler
10,19,29,49.0,True,49.0,45,1.0888888888888888,0.08888888888888889,0.402,42,PathIntegralAnnealingSampler
10,27,30,81.0,True,81.0,74,1.0945945945945945,0.0945945945945946,0.4,789,PathIntegralAnnealingSampler
10,18,31,49.0,True,49.0,35,1.4,0.4,0.401,42,PathIntegralAnnealingSampler
10,20,32,54.0,True,54.0,46,1.173913043478261,0.17391304347826086,0.401,789,PathIntegralAnnealingSampler
10,25,33,74.0,True,74.0,65,1.1384615384615384,0.13846153846153847,0.4,789,PathIntegralAnnealingSampler
10,21,34,64.0,True,64.0,53,1.2075471698113207,0.20754716981132076,0.394,123,PathIntegralAnnealingSampler
10,22,35,65.0,True,65.0,50,1.3,0.3,0.393,42,PathIntegralAnnealingSampler
10,21,36,60.0,True,60.0,50,1.2,0.2,0.402,789,PathIntegralAnnealingSampler
10,26,37,85.0,True,85.0,68,1.25,0.25,0.396,123,PathIntegralAnnealingSampler
