n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
5,5,0,6.0,True,6.0,6,1.0,0.0,0.082,42,PathIntegralAnnealingSampler
5,5,1,6.0,True,6.0,6,1.0,0.0,0.078,42,PathIntegralAnnealingSampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.081,42,PathIntegralAnnealingSampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.079,42,PathIntegralAnnealingSampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,8,5,14.0,True,14.0,14,1.0,0.0,0.076,123,PathIntegralAnnealingSampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.077,42,PathIntegralAnnealingSampler
5,6,7,10.0,True,10.0,10,1.0,0.0,0.077,42,PathIntegralAnnealingSampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,6,9,9.0,True,9.0,9,1.0,0.0,0.076,42,PathIntegralAnnealingSampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.077,42,PathIntegralAnnealingSampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.077,42,PathIntegralAnnealingSampler
5,7,12,12.0,True,12.0,12,1.0,0.0,0.078,42,PathIntegralAnnealingSampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.081,42,PathIntegralAnnealingSampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.079,42,PathIntegralAnnealingSampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.08,42,PathIntegralAnnealingSampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.08,42,PathIntegralAnnealingSampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.079,42,PathIntegralAnnealingSampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.079,42,PathIntegralAnnealingSampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.079,42,PathIntegralAnnealingSampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.079,42,PathIntegralAnnealingSampler
10,26,0,67.0,True,67.0,67,1.0,0.0,0.439,42,PathIntegralAnnealingSampler
10,27,1,77.0,True,77.0,75,1.0266666666666666,0.02666666666666667,0.439,456,PathIntegralAnnealingSampler
10,14,2,22.0,True,22.0,22,1.0,0.0,0.439,789,PathIntegralAnnealingSampler
10,20,3,46.0,True,46.0,45,1.0222222222222221,0.022222222222222223,0.438,42,PathIntegralAnnealingSampler
10,19,4,45.0,True,45.0,44,1.0227272727272727,0.022727272727272728,0.442,42,PathIntegralAnnealingSampler
10,23,5,57.0,True,57.0,56,1.0178571428571428,0.017857142857142856,0.431,123,PathIntegralAnnealingSampler
10,23,6,53.0,True,53.0,53,1.0,0.0,0.429,42,PathIntegralAnnealingSampler
10,21,7,52.0,True,52.0,51,1.0196078431372548,0.0196078431372549,0.427,123,PathIntegralAnnealingSampler
10,22,8,47.0,True,47.0,47,1.0,0.0,0.43,456,PathIntegralAnnealingSampler
10,25,9,60.0,True,60.0,60,1.0,0.0,0.442,42,PathIntegralAnnealingSampler
10,21,10,53.0,True,53.0,52,1.0192307692307692,0.019230769230769232,0.433,123,PathIntegralAnnealingSampler
10,21,11,51.0,True,51.0,51,1.0,0.0,0.438,456,PathIntegralAnnealingSampler
10,19,12,48.0,True,48.0,46,1.0434782608695652,0.043478260869565216,0.437,123,PathIntegralAnnealingSampler
10,28,13,76.0,True,76.0,76,1.0,0.0,0.437,123,PathIntegralAnnealingSampler
10,22,14,52.0,True,52.0,52,1.0,0.0,0.443,789,PathIntegralAnnealingSampler
10,25,15,71.0,True,71.0,70,1.0142857142857142,0.014285714285714285,0.442,123,PathIntegralAnnealingSampler
10,23,16,60.0,True,60.0,59,1.0169491525423728,0.01694915254237288,0.44,42,PathIntegralAnnealingSampler
10,25,17,63.0,True,63.0,63,1.0,0.0,0.432,123,PathIntegralAnnealingSampler
10,20,18,43.0,True,43.0,43,1.0,0.0,0.434,789,PathIntegralAnnealingSampler
10,23,19,56.0,True,56.0,54,1.037037037037037,0.037037037037037035,0.428,789,PathIntegralAnnealingSampler
10,17,20,37.0,True,37.0,37,1.0,0.0,0.438,456,PathIntegralAnnealingSampler
10,24,21,61.0,True,61.0,61,1.0,0.0,0.442,123,PathIntegralAnnealingSampler
10,23,22,57.0,True,57.0,57,1.0,0.0,0.434,123,PathIntegralAnnealingSampler
10,25,23,69.0,True,69.0,67,1.0298507462686568,0.029850746268656716,0.43,42,PathIntegralAnnealingSampler
10,24,24,57.0,True,57.0,57,1.0,0.0,0.431,42,PathIntegralAnnealingSampler
10,18,25,39.0,True,39.0,39,1.0,0.0,0.443,789,PathIntegralAnnealingSampler
10,21,26,43.0,True,43.0,43,1.0,0.0,0.438,123,PathIntegralAnnealingSampler
10,22,27,50.0,True,50.0,50,1.0,0.0,0.429,42,PathIntegralAnnealingSampler
10,21,28,48.0,True,48.0,48,1.0,0.0,0.446,456,PathIntegralAnnealingSampler
10,19,29,46.0,True,46.0,45,1.0222222222222221,0.022222222222222223,0.442,42,PathIntegralAnnealingSampler
10,27,30,74.0,True,74.0,74,1.0,0.0,0.431,123,PathIntegralAnnealingSampler
10,18,31,35.0,True,35.0,35,1.0,0.0,0.436,42,PathIntegralAnnealingSampler
10,20,32,47.0,True,47.0,46,1.0217391304347827,0.021739130434782608,0.44,789,PathIntegralAnnealingSampler
10,25,33,65.0,True,65.0,65,1.0,0.0,0.445,789,PathIntegralAnnealingSampler
10,21,34,53.0,True,53.0,53,1.0,0.0,0.434,123,PathIntegralAnnealingSampler
10,22,35,50.0,True,50.0,50,1.0,0.0,0.426,42,PathIntegralAnnealingSampler
10,21,36,50.0,True,50.0,50,1.0,0.0,0.437,42,PathIntegralAnnealingSampler
10,26,37,69.0,True,69.0,68,1.0147058823529411,0.014705882352941176,0.445,42,PathIntegralAnnealingSampler
10,21,38,50.0,True,50.0,50,1.0,0.0,0.441,123,PathIntegralAnnealingSampler
10,18,39,42.0,True,42.0,42,1.0,0.0,0.442,123,PathIntegralAnnealingSampler
10,24,40,61.0,True,61.0,60,1.0166666666666666,0.016666666666666666,0.434,123,PathIntegralAnnealingSampler
10,25,41,68.0,True,68.0,67,1.0149253731343284,0.014925373134328358,0.439,123,PathIntegralAnnealingSampler
10,21,42,55.0,True,55.0,52,1.0576923076923077,0.057692307692307696,0.44,42,PathIntegralAnnealingSampler
10,24,43,54.0,True,54.0,54,1.0,0.0,0.437,42,PathIntegralAnnealingSampler
10,25,44,62.0,True,62.0,62,1.0,0.0,0.432,42,PathIntegralAnnealingSampler
10,21,45,52.0,True,52.0,52,1.0,0.0,0.436,42,PathIntegralAnnealingSampler
10,27,46,74.0,True,74.0,74,1.0,0.0,0.438,42,PathIntegralAnnealingSampler
10,24,47,62.0,True,62.0,62,1.0,0.0,0.44,789,PathIntegralAnnealingSampler
10,19,48,41.0,True,41.0,40,1.025,0.025,0.435,42,PathIntegralAnnealingSampler
10,23,49,61.0,True,61.0,58,1.0517241379310345,0.05172413793103448,0.436,123,PathIntegralAnnealingSampler
10,23,50,55.0,True,55.0,55,1.0,0.0,0.432,123,PathIntegralAnnealingSampler
10,22,51,59.0,True,59.0,57,1.0350877192982457,0.03508771929824561,0.446,123,PathIntegralAnnealingSampler
10,19,52,45.0,True,45.0,45,1.0,0.0,0.438,123,PathIntegralAnnealingSampler
10,25,53,60.0,True,60.0,59,1.0169491525423728,0.01694915254237288,0.442,123,PathIntegralAnnealingSampler
10,21,54,50.0,True,50.0,50,1.0,0.0,0.435,789,PathIntegralAnnealingSampler
10,21,55,53.0,True,53.0,51,1.0392156862745099,0.0392156862745098,0.446,42,PathIntegralAnnealingSampler
10,26,56,69.0,True,69.0,68,1.0147058823529411,0.014705882352941176,0.439,42,PathIntegralAnnealingSampler
10,25,57,60.0,True,60.0,60,1.0,0.0,0.432,999,PathIntegralAnnealingSampler
10,21,58,45.0,True,45.0,45,1.0,0.0,0.438,789,PathIntegralAnnealingSampler
10,26,59,68.0,True,68.0,68,1.0,0.0,0.438,999,PathIntegralAnnealingSampler
10,22,60,52.0,True,52.0,51,1.0196078431372548,0.0196078431372549,0.447,456,PathIntegralAnnealingSampler
10,21,61,47.0,True,47.0,47,1.0,0.0,0.434,42,PathIntegralAnnealingSampler
10,27,62,73.0,True,73.0,73,1.0,0.0,0.447,42,PathIntegralAnnealingSampler
10,16,63,34.0,True,34.0,34,1.0,0.0,0.437,456,PathIntegralAnnealingSampler
10,19,64,43.0,True,43.0,43,1.0,0.0,0.442,123,PathIntegralAnnealingSampler
10,25,65,62.0,True,62.0,62,1.0,0.0,0.437,123,PathIntegralAnnealingSampler
10,20,66,46.0,True,46.0,46,1.0,0.0,0.428,42,PathIntegralAnnealingSampler
10,24,67,64.0,True,64.0,62,1.032258064516129,0.03225806451612903,0.432,42,PathIntegralAnnealingSampler
10,24,68,64.0,True,64.0,61,1.0491803278688525,0.04918032786885246,0.446,999,PathIntegralAnnealingSampler
10,20,69,47.0,True,47.0,46,1.0217391304347827,0.021739130434782608,0.441,42,PathIntegralAnnealingSampler
10,24,70,63.0,True,63.0,63,1.0,0.0,0.44,123,PathIntegralAnnealingSampler
10,25,71,70.0,True,70.0,68,1.0294117647058822,0.029411764705882353,0.44,42,PathIntegralAnnealingSampler
10,19,72,45.0,True,45.0,44,1.0227272727272727,0.022727272727272728,0.435,789,PathIntegralAnnealingSampler
10,23,73,54.0,True,54.0,54,1.0,0.0,0.434,456,PathIntegralAnnealingSampler
10,28,74,77.0,True,77.0,77,1.0,0.0,0.433,123,PathIntegralAnnealingSampler
10,27,75,68.0,True,68.0,68,1.0,0.0,0.436,456,PathIntegralAnnealingSampler
10,13,76,24.0,True,24.0,23,1.0434782608695652,0.043478260869565216,0.444,789,PathIntegralAnnealingSampler
10,20,77,51.0,True,51.0,49,1.0408163265306123,0.04081632653061224,0.443,789,PathIntegralAnnealingSampler
10,23,78,56.0,True,56.0,56,1.0,0.0,0.435,999,PathIntegralAnnealingSampler
10,26,79,65.0,True,65.0,64,1.015625,0.015625,0.428,789,PathIntegralAnnealingSampler
10,20,80,53.0,True,53.0,50,1.06,0.06,0.438,789,PathIntegralAnnealingSampler
10,20,81,47.0,True,47.0,47,1.0,0.0,0.435,123,PathIntegralAnnealingSampler
10,23,82,57.0,True,57.0,57,1.0,0.0,0.439,456,PathIntegralAnnealingSampler
10,26,83,68.0,True,68.0,67,1.0149253731343284,0.014925373134328358,0.435,123,PathIntegralAnnealingSampler
10,19,84,41.0,True,41.0,41,1.0,0.0,0.439,456,PathIntegralAnnealingSampler
10,19,85,38.0,True,38.0,38,1.0,0.0,0.44,123,PathIntegralAnnealingSampler
10,22,86,53.0,True,53.0,52,1.0192307692307692,0.019230769230769232,0.435,789,PathIntegralAnnealingSampler
10,22,87,54.0,True,54.0,53,1.0188679245283019,0.018867924528301886,0.432,999,PathIntegralAnnealingSampler
10,28,88,71.0,True,71.0,71,1.0,0.0,0.438,456,PathIntegralAnnealingSampler
10,20,89,48.0,True,48.0,47,1.0212765957446808,0.02127659574468085,0.428,123,PathIntegralAnnealingSampler
10,22,90,53.0,True,53.0,53,1.0,0.0,0.441,42,PathIntegralAnnealingSampler
10,19,91,43.0,True,43.0,43,1.0,0.0,0.447,42,PathIntegralAnnealingSampler
10,25,92,65.0,True,65.0,64,1.015625,0.015625,0.434,999,PathIntegralAnnealingSampler
10,23,93,56.0,True,56.0,56,1.0,0.0,0.439,123,PathIntegralAnnealingSampler
10,24,94,57.0,True,57.0,57,1.0,0.0,0.433,456,PathIntegralAnnealingSampler
10,20,95,42.0,True,42.0,42,1.0,0.0,0.436,42,PathIntegralAnnealingSampler
10,17,96,31.0,True,31.0,30,1.0333333333333334,0.03333333333333333,0.446,456,PathIntegralAnnealingSampler
10,19,97,43.0,True,43.0,42,1.0238095238095237,0.023809523809523808,0.443,456,PathIntegralAnnealingSampler
