n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
5,5,0,6.0,True,6.0,6,1.0,0.0,0.219,PathIntegralAnnealingSampler
5,5,1,6.0,True,6.0,6,1.0,0.0,0.218,PathIntegralAnnealingSampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.222,PathIntegralAnnealingSampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.21,PathIntegralAnnealingSampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.214,PathIntegralAnnealingSampler
5,8,5,14.0,True,14.0,14,1.0,0.0,0.213,PathIntegralAnnealingSampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.213,PathIntegralAnnealingSampler
5,6,7,10.0,True,10.0,10,1.0,0.0,0.216,PathIntegralAnnealingSampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.212,PathIntegralAnnealingSampler
5,6,9,9.0,True,9.0,9,1.0,0.0,0.21,PathIntegralAnnealingSampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.212,PathIntegralAnnealingSampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.21,PathIntegralAnnealingSampler
5,7,12,12.0,True,12.0,12,1.0,0.0,0.213,PathIntegralAnnealingSampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.222,PathIntegralAnnealingSampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.216,PathIntegralAnnealingSampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.207,PathIntegralAnnealingSampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.209,PathIntegralAnnealingSampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.209,PathIntegralAnnealingSampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.207,PathIntegralAnnealingSampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.211,PathIntegralAnnealingSampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.207,PathIntegralAnnealingSampler
10,26,0,67.0,True,67.0,67,1.0,0.0,1.146,PathIntegralAnnealingSampler
10,27,1,75.0,True,75.0,75,1.0,0.0,1.091,PathIntegralAnnealingSampler
10,14,2,22.0,True,22.0,22,1.0,0.0,1.14,PathIntegralAnnealingSampler
10,20,3,45.0,True,45.0,45,1.0,0.0,1.082,PathIntegralAnnealingSampler
10,19,4,44.0,True,44.0,44,1.0,0.0,1.152,PathIntegralAnnealingSampler
10,23,5,56.0,True,56.0,56,1.0,0.0,1.107,PathIntegralAnnealingSampler
10,23,6,53.0,True,53.0,53,1.0,0.0,1.101,PathIntegralAnnealingSampler
10,21,7,51.0,True,51.0,51,1.0,0.0,1.103,PathIntegralAnnealingSampler
10,22,8,47.0,True,47.0,47,1.0,0.0,1.092,PathIntegralAnnealingSampler
10,25,9,60.0,True,60.0,60,1.0,0.0,1.121,PathIntegralAnnealingSampler
10,21,10,52.0,True,52.0,52,1.0,0.0,1.097,PathIntegralAnnealingSampler
10,21,11,51.0,True,51.0,51,1.0,0.0,1.158,PathIntegralAnnealingSampler
10,19,12,46.0,True,46.0,46,1.0,0.0,1.134,PathIntegralAnnealingSampler
