solver_name,beta_schedule_type,dataset_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,num_feasible,num_success,total_time
QWaveSampler_default,default,synthetic_n6,6,50,0.5,lucas,1.0,0.98,0.98,-0.00916338924233661,0.03945287358819537,50,49,6.43805718421936
QWaveSampler_linear,default,synthetic_n6,6,50,0.5,lucas,1.0,0.98,0.98,-0.00916338924233661,0.03945287358819537,50,49,7.898730993270874
QWaveSampler_exponential,default,synthetic_n6,6,50,0.5,lucas,1.0,0.98,0.98,-0.00916338924233661,0.03945287358819537,50,49,7.133821964263916
QWaveSampler_default,default,synthetic_n8,8,50,0.5,lucas,1.0,0.9,0.66,-0.002008573591474008,0.06445093231456336,50,45,14.164667844772339
QWaveSampler_linear,default,synthetic_n8,8,50,0.5,lucas,1.0,0.9,0.66,-0.002008573591474008,0.06445093231456336,50,45,13.848434686660767
QWaveSampler_exponential,default,synthetic_n8,8,50,0.5,lucas,1.0,0.9,0.66,-0.002008573591474008,0.06445093231456336,50,45,13.988519668579102
QWaveSampler_default,default,synthetic_n11,11,50,0.5,lucas,0.96,0.84,0.3958333333333333,0.012852778248902894,0.04355969357307541,48,42,32.492156982421875
QWaveSampler_linear,default,synthetic_n11,11,50,0.5,lucas,0.96,0.84,0.3958333333333333,0.012852778248902894,0.04355969357307541,48,42,32.39637231826782
QWaveSampler_exponential,default,synthetic_n11,11,50,0.5,lucas,0.96,0.84,0.3958333333333333,0.012852778248902894,0.04355969357307541,48,42,32.702104330062866
QWaveSampler_default,default,synthetic_n13,13,50,0.5,lucas,0.82,0.54,0.12195121951219512,0.041535914015378726,0.04510448491521276,41,27,51.64731979370117
QWaveSampler_linear,default,synthetic_n13,13,50,0.5,lucas,0.82,0.54,0.12195121951219512,0.041535914015378726,0.04510448491521276,41,27,51.60210418701172
QWaveSampler_exponential,default,synthetic_n13,13,50,0.5,lucas,0.82,0.54,0.12195121951219512,0.041535914015378726,0.04510448491521276,41,27,51.638803243637085
QWaveSampler_default,default,synthetic_n15,15,50,0.5,lucas,0.64,0.36,0.125,0.04478019614809075,0.04422829656846834,32,18,76.92704629898071
QWaveSampler_linear,default,synthetic_n15,15,50,0.5,lucas,0.64,0.36,0.125,0.04478019614809075,0.04422829656846834,32,18,76.78751873970032
QWaveSampler_exponential,default,synthetic_n15,15,50,0.5,lucas,0.64,0.36,0.125,0.04478019614809075,0.04422829656846834,32,18,77.27629327774048
