solver_name,beta_schedule_type,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
OpenJij,N/A,6,0,6,exact,24,24,11.0,11,8,True,0.09250926971435547
OpenJij,N/A,6,1,7,exact,26,26,16.0,16,9,True,0.08150935173034668
OpenJij,N/A,6,2,7,exact,26,26,15.0,15,11,True,0.1290128231048584
OpenJij,N/A,6,3,7,exact,26,26,14.0,14,11,True,0.06099987030029297
OpenJij,N/A,6,4,6,exact,24,24,12.0,12,7,True,0.07101297378540039
OpenJij,N/A,6,5,8,exact,28,28,42.0,,13,False,0.06351113319396973
OpenJij,N/A,6,6,7,exact,26,26,13.0,13,10,True,0.08300256729125977
OpenJij,N/A,6,7,8,exact,28,28,18.0,18,11,True,0.07501482963562012
OpenJij,N/A,6,8,9,exact,30,30,22.0,22,16,True,0.07851171493530273
OpenJij,N/A,6,9,10,exact,32,32,21.0,21,18,True,0.0765082836151123
OpenJij,N/A,6,10,7,exact,26,26,12.0,12,10,True,0.0800173282623291
OpenJij,N/A,6,11,8,exact,28,28,14.0,14,12,True,0.072998046875
OpenJij,N/A,6,12,6,exact,24,24,9.0,9,9,True,0.08250808715820312
OpenJij,N/A,6,13,6,exact,24,24,12.0,12,9,True,0.07551264762878418
OpenJij,N/A,6,14,8,exact,28,28,14.0,14,15,True,0.08101058006286621
OpenJij,N/A,6,15,9,exact,30,30,17.0,17,15,True,0.07851243019104004
OpenJij,N/A,6,16,5,exact,21,21,9.0,9,6,True,0.08000040054321289
OpenJij,N/A,6,17,8,exact,28,28,18.0,18,14,True,0.07302212715148926
OpenJij,N/A,6,18,7,exact,26,26,11.0,11,11,True,0.07751584053039551
OpenJij,N/A,6,19,6,exact,24,24,10.0,10,8,True,0.06750917434692383
OpenJij,N/A,6,20,9,exact,30,30,20.0,20,13,True,0.07351374626159668
OpenJij,N/A,6,21,9,exact,30,30,19.0,19,17,True,0.060509443283081055
OpenJij,N/A,6,22,6,exact,24,24,15.0,15,7,True,0.07450985908508301
OpenJij,N/A,6,23,11,exact,33,33,55.0,,21,False,0.06600022315979004
OpenJij,N/A,6,24,9,exact,30,30,73.0,,15,False,0.07901334762573242
OpenJij,N/A,6,25,10,exact,32,32,22.0,22,17,True,0.06650805473327637
OpenJij,N/A,6,26,9,exact,30,30,47.0,,15,False,0.08553338050842285
OpenJij,N/A,6,27,6,exact,24,24,12.0,12,8,True,0.0635073184967041
OpenJij,N/A,6,28,7,exact,26,26,15.0,15,10,True,0.0945124626159668
OpenJij,N/A,6,29,9,exact,30,30,18.0,18,16,True,0.1465296745300293
OpenJij,N/A,6,30,8,exact,28,28,15.0,15,13,True,0.11850881576538086
OpenJij,N/A,6,31,6,exact,24,24,11.0,11,8,True,0.09550786018371582
OpenJij,N/A,6,32,6,exact,24,24,13.0,13,8,True,0.08502435684204102
OpenJij,N/A,6,33,5,exact,21,21,10.0,10,6,True,0.05900001525878906
OpenJij,N/A,6,34,9,exact,30,30,18.0,18,16,True,0.08751106262207031
OpenJij,N/A,6,35,7,exact,26,26,14.0,14,11,True,0.07101655006408691
OpenJij,N/A,6,36,10,exact,32,32,54.0,,19,False,0.08450818061828613
OpenJij,N/A,6,37,10,exact,32,32,24.0,24,19,True,0.06400012969970703
