solver_name,beta_schedule_type,dataset_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,num_feasible,num_success,total_time
QWaveSampler_default,default,synthetic_n6,6,50,0.5,exact,1.0,0.42,0.42,0.09281679955751163,0.14123434431013424,50,21,5.979875087738037
QWaveSampler_linear,linear,synthetic_n6,6,50,0.5,exact,1.0,0.74,0.74,0.022235487594620726,0.07338348590489772,50,37,15.982729196548462
QWaveSampler_exponential,exponential,synthetic_n6,6,50,0.5,exact,1.0,0.14,0.14,0.24925529518640968,0.2307215446590814,50,7,6.347134828567505
QWaveSampler_default,default,synthetic_n6,6,50,0.5,lucas,1.0,0.98,0.98,-0.00916338924233661,0.03945287358819537,50,49,5.892241716384888
QWaveSampler_linear,linear,synthetic_n6,6,50,0.5,lucas,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,19.18878936767578
QWaveSampler_exponential,exponential,synthetic_n6,6,50,0.5,lucas,1.0,0.52,0.5,0.07744302799024161,0.12175527058695618,50,26,6.122885227203369
QWaveSampler_default,default,synthetic_n8,8,50,0.5,exact,1.0,0.04,0.02,0.2011859856043476,0.11985994342057382,50,2,12.365291833877563
QWaveSampler_linear,linear,synthetic_n8,8,50,0.5,exact,1.0,0.08,0.04,0.1614003340972113,0.09903729096821184,50,4,31.491828441619873
QWaveSampler_exponential,exponential,synthetic_n8,8,50,0.5,exact,0.76,0.0,0.0,0.4360042746508718,0.17871900213337832,38,0,13.412784814834595
QWaveSampler_default,default,synthetic_n8,8,50,0.5,lucas,1.0,0.9,0.66,-0.002008573591474008,0.06445093231456336,50,45,12.376301050186157
QWaveSampler_linear,linear,synthetic_n8,8,50,0.5,lucas,1.0,1.0,1.0,-0.027297171406189005,0.0528689041580725,50,50,37.78353953361511
QWaveSampler_exponential,exponential,synthetic_n8,8,50,0.5,lucas,0.86,0.12,0.0,0.17659494161886813,0.12773631720463338,43,6,12.859685182571411
QWaveSampler_default,default,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.3189415061315389,0.14986411720122755,50,0,29.699054479599
QWaveSampler_linear,linear,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.27533707159080817,0.10886321802164316,50,0,77.45226383209229
QWaveSampler_exponential,exponential,synthetic_n11,11,50,0.5,exact,0.1,0.0,0.0,0.5240688177381907,0.1901226711926355,5,0,32.446632385253906
QWaveSampler_default,default,synthetic_n11,11,50,0.5,lucas,0.96,0.84,0.3958333333333333,0.012852778248902894,0.04355969357307541,48,42,30.523765802383423
QWaveSampler_linear,linear,synthetic_n11,11,50,0.5,lucas,0.98,0.98,1.0,-0.023616655156549843,0.03423372442552301,49,49,86.55634880065918
QWaveSampler_exponential,exponential,synthetic_n11,11,50,0.5,lucas,0.22,0.0,0.0,0.2782411345261746,0.11453599941311082,11,0,31.25863814353943
QWaveSampler_default,default,synthetic_n13,13,50,0.5,exact,0.98,0.0,0.0,0.4068647581825002,0.13877410680494406,49,0,47.232648611068726
QWaveSampler_linear,linear,synthetic_n13,13,50,0.5,exact,1.0,0.0,0.0,0.3593186062878744,0.15536582799569382,50,0,116.20635676383972
QWaveSampler_exponential,exponential,synthetic_n13,13,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,51.279497385025024
QWaveSampler_default,default,synthetic_n13,13,50,0.5,lucas,0.82,0.54,0.12195121951219512,0.041535914015378726,0.04510448491521276,41,27,47.2153160572052
QWaveSampler_linear,linear,synthetic_n13,13,50,0.5,lucas,0.9,0.9,0.9333333333333333,-0.023218033941071227,0.033257246134032505,45,45,133.3522596359253
QWaveSampler_exponential,exponential,synthetic_n13,13,50,0.5,lucas,0.04,0.0,0.0,0.25080499489515434,0.03748504494627501,2,0,49.927597999572754
QWaveSampler_default,default,synthetic_n15,15,50,0.5,exact,0.36,0.0,0.0,0.3503131759642763,0.11933491607099866,18,0,70.05105376243591
QWaveSampler_linear,linear,synthetic_n15,15,50,0.5,exact,0.52,0.0,0.0,0.38178194938010085,0.10727518106003073,26,0,173.11936378479004
QWaveSampler_exponential,exponential,synthetic_n15,15,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,77.54462766647339
QWaveSampler_default,default,synthetic_n15,15,50,0.5,lucas,0.64,0.36,0.125,0.04478019614809075,0.04422829656846834,32,18,70.65119814872742
QWaveSampler_linear,linear,synthetic_n15,15,50,0.5,lucas,0.88,0.88,1.0,-0.03110974585177095,0.02902195887076688,44,44,179.64519929885864
QWaveSampler_exponential,exponential,synthetic_n15,15,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,73.68521881103516
