n,m,graph_id,feasible,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,solver
5,5,0,True,6.2,7,0.8857142857142858,0.454,5,PathIntegralAnnealingSampler
5,5,1,True,6.2,7,0.8857142857142858,0.432,5,PathIntegralAnnealingSampler
5,4,2,True,4.4,5,0.8800000000000001,0.449,5,PathIntegralAnnealingSampler
5,7,3,True,10.0,11,0.9090909090909091,0.415,5,PathIntegralAnnealingSampler
5,5,4,True,7.0,7,1.0,0.432,5,PathIntegralAnnealingSampler
5,8,5,True,14.0,14,1.0,0.43,5,PathIntegralAnnealingSampler
5,4,6,True,5.0,5,1.0,0.417,5,PathIntegralAnnealingSampler
5,6,7,True,10.2,9,1.1333333333333333,0.403,5,PathIntegralAnnealingSampler
5,6,8,True,9.0,9,1.0,0.427,5,PathIntegralAnnealingSampler
5,6,9,True,9.0,9,1.0,0.408,5,PathIntegralAnnealingSampler
5,5,10,True,7.0,7,1.0,0.414,5,PathIntegralAnnealingSampler
5,6,11,True,8.0,9,0.8888888888888888,0.405,5,PathIntegralAnnealingSampler
5,7,12,True,12.0,11,1.0909090909090908,0.41,5,PathIntegralAnnealingSampler
5,5,13,True,8.0,7,1.1428571428571428,0.411,5,PathIntegralAnnealingSampler
5,7,14,True,11.0,11,1.0,0.397,5,PathIntegralAnnealingSampler
5,8,15,True,13.0,14,0.9285714285714286,0.407,5,PathIntegralAnnealingSampler
5,6,16,True,8.0,9,0.8888888888888888,0.413,5,PathIntegralAnnealingSampler
5,7,17,True,12.0,11,1.0909090909090908,0.415,5,PathIntegralAnnealingSampler
5,9,18,True,16.2,17,0.9529411764705882,0.413,5,PathIntegralAnnealingSampler
5,10,19,True,20.0,21,0.9523809523809523,0.433,5,PathIntegralAnnealingSampler
5,4,20,True,6.2,6,1.0333333333333334,0.421,5,PathIntegralAnnealingSampler
10,26,0,True,68.4,55,1.2436363636363637,2.422,5,PathIntegralAnnealingSampler
10,27,1,True,77.8,59,1.31864406779661,2.399,5,PathIntegralAnnealingSampler
10,14,2,True,22.8,20,1.1400000000000001,2.432,5,PathIntegralAnnealingSampler
10,20,3,True,45.8,36,1.2722222222222221,2.415,5,PathIntegralAnnealingSampler
10,19,4,True,44.8,32,1.4,2.432,5,PathIntegralAnnealingSampler
10,23,5,True,57.2,44,1.3,2.484,5,PathIntegralAnnealingSampler
10,23,6,True,53.8,44,1.2227272727272727,2.467,5,PathIntegralAnnealingSampler
10,21,7,True,54.8,38,1.4421052631578946,2.407,5,PathIntegralAnnealingSampler
10,22,8,True,47.8,41,1.1658536585365853,2.411,5,PathIntegralAnnealingSampler
10,25,9,True,60.4,51,1.184313725490196,2.42,5,PathIntegralAnnealingSampler
10,21,10,True,52.6,38,1.3842105263157896,2.407,5,PathIntegralAnnealingSampler
10,21,11,True,51.4,38,1.3526315789473684,2.466,5,PathIntegralAnnealingSampler
10,19,12,True,47.6,32,1.4875,2.438,5,PathIntegralAnnealingSampler
10,28,13,True,77.8,63,1.234920634920635,2.427,5,PathIntegralAnnealingSampler
10,22,14,True,52.6,41,1.2829268292682927,2.441,5,PathIntegralAnnealingSampler
10,25,15,True,70.2,51,1.3764705882352941,2.474,5,PathIntegralAnnealingSampler
10,23,16,True,59.0,44,1.3409090909090908,2.418,5,PathIntegralAnnealingSampler
10,25,17,True,64.0,51,1.2549019607843137,2.414,5,PathIntegralAnnealingSampler
10,20,18,True,43.8,35,1.2514285714285713,2.43,5,PathIntegralAnnealingSampler
10,23,19,True,55.6,44,1.2636363636363637,2.431,5,PathIntegralAnnealingSampler
10,17,20,True,37.4,27,1.385185185185185,2.456,5,PathIntegralAnnealingSampler
10,24,21,True,61.6,47,1.3106382978723405,2.436,5,PathIntegralAnnealingSampler
10,23,22,True,59.0,44,1.3409090909090908,2.408,5,PathIntegralAnnealingSampler
