assignment,cost_term,constraint_term,mu_thermometer_coeff,mu_bijective_coeff
000|000|000,0,14*mu_bijective,0,14
000|000|001,1,1*mu_thermometer + 13*mu_bijective,1,13
000|000|010,1,1*mu_thermometer + 11*mu_bijective,1,11
000|000|011,2,1*mu_thermometer + 10*mu_bijective,1,10
000|000|100,1,9*mu_bijective,0,9
000|000|101,2,1*mu_thermometer + 8*mu_bijective,1,8
000|000|110,2,6*mu_bijective,0,6
000|000|111,3,5*mu_bijective,0,5
000|001|000,1,1*mu_thermometer + 13*mu_bijective,1,13
000|001|001,2,2*mu_thermometer + 14*mu_bijective,2,14
000|001|010,2,2*mu_thermometer + 10*mu_bijective,2,10
000|001|011,3,2*mu_thermometer + 11*mu_bijective,2,11
000|001|100,2,1*mu_thermometer + 8*mu_bijective,1,8
000|001|101,3,2*mu_thermometer + 9*mu_bijective,2,9
000|001|110,3,1*mu_thermometer + 5*mu_bijective,1,5
000|001|111,4,1*mu_thermometer + 6*mu_bijective,1,6
000|010|000,1,1*mu_thermometer + 11*mu_bijective,1,11
000|010|001,2,2*mu_thermometer + 10*mu_bijective,2,10
000|010|010,2,2*mu_thermometer + 10*mu_bijective,2,10
000|010|011,3,2*mu_thermometer + 9*mu_bijective,2,9
000|010|100,2,1*mu_thermometer + 6*mu_bijective,1,6
000|010|101,3,2*mu_thermometer + 5*mu_bijective,2,5
000|010|110,3,1*mu_thermometer + 5*mu_bijective,1,5
000|010|111,4,1*mu_thermometer + 4*mu_bijective,1,4
000|011|000,2,1*mu_thermometer + 10*mu_bijective,1,10
000|011|001,3,2*mu_thermometer + 11*mu_bijective,2,11
000|011|010,3,2*mu_thermometer + 9*mu_bijective,2,9
000|011|011,4,2*mu_thermometer + 10*mu_bijective,2,10
000|011|100,3,1*mu_thermometer + 5*mu_bijective,1,5
000|011|101,4,2*mu_thermometer + 6*mu_bijective,2,6
000|011|110,4,1*mu_thermometer + 4*mu_bijective,1,4
000|011|111,5,1*mu_thermometer + 5*mu_bijective,1,5
000|100|000,1,9*mu_bijective,0,9
000|100|001,2,1*mu_thermometer + 8*mu_bijective,1,8
000|100|010,2,1*mu_thermometer + 6*mu_bijective,1,6
000|100|011,3,1*mu_thermometer + 5*mu_bijective,1,5
000|100|100,2,6*mu_bijective,0,6
