assignment,cost_term,constraint_term,mu_thermometer_coeff,mu_bijective_coeff
0000|0000|0000|0000,0,30*mu_bijective,0,30
0000|0000|0000|0001,1,1*mu_thermometer + 29*mu_bijective,1,29
0000|0000|0000|0010,1,1*mu_thermometer + 27*mu_bijective,1,27
0000|0000|0000|0011,2,1*mu_thermometer + 26*mu_bijective,1,26
0000|0000|0000|0100,1,1*mu_thermometer + 25*mu_bijective,1,25
0000|0000|0000|0101,2,2*mu_thermometer + 24*mu_bijective,2,24
0000|0000|0000|0110,2,1*mu_thermometer + 22*mu_bijective,1,22
0000|0000|0000|0111,3,1*mu_thermometer + 21*mu_bijective,1,21
0000|0000|0000|1000,1,23*mu_bijective,0,23
0000|0000|0000|1001,2,1*mu_thermometer + 22*mu_bijective,1,22
0000|0000|0000|1010,2,1*mu_thermometer + 20*mu_bijective,1,20
0000|0000|0000|1011,3,1*mu_thermometer + 19*mu_bijective,1,19
0000|0000|0000|1100,2,18*mu_bijective,0,18
0000|0000|0000|1101,3,1*mu_thermometer + 17*mu_bijective,1,17
0000|0000|0000|1110,3,15*mu_bijective,0,15
0000|0000|0000|1111,4,14*mu_bijective,0,14
0000|0000|0001|0000,1,1*mu_thermometer + 29*mu_bijective,1,29
0000|0000|0001|0001,2,2*mu_thermometer + 30*mu_bijective,2,30
0000|0000|0001|0010,2,2*mu_thermometer + 26*mu_bijective,2,26
0000|0000|0001|0011,3,2*mu_thermometer + 27*mu_bijective,2,27
0000|0000|0001|0100,2,2*mu_thermometer + 24*mu_bijective,2,24
0000|0000|0001|0101,3,3*mu_thermometer + 25*mu_bijective,3,25
0000|0000|0001|0110,3,2*mu_thermometer + 21*mu_bijective,2,21
0000|0000|0001|0111,4,2*mu_thermometer + 22*mu_bijective,2,22
0000|0000|0001|1000,2,1*mu_thermometer + 22*mu_bijective,1,22
0000|0000|0001|1001,3,2*mu_thermometer + 23*mu_bijective,2,23
0000|0000|0001|1010,3,2*mu_thermometer + 19*mu_bijective,2,19
0000|0000|0001|1011,4,2*mu_thermometer + 20*mu_bijective,2,20
0000|0000|0001|1100,3,1*mu_thermometer + 17*mu_bijective,1,17
0000|0000|0001|1101,4,2*mu_thermometer + 18*mu_bijective,2,18
0000|0000|0001|1110,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|0000|0001|1111,5,1*mu_thermometer + 15*mu_bijective,1,15
0000|0000|0010|0000,1,1*mu_thermometer + 27*mu_bijective,1,27
0000|0000|0010|0001,2,2*mu_thermometer + 26*mu_bijective,2,26
0000|0000|0010|0010,2,2*mu_thermometer + 26*mu_bijective,2,26
0000|0000|0010|0011,3,2*mu_thermometer + 25*mu_bijective,2,25
0000|0000|0010|0100,2,2*mu_thermometer + 22*mu_bijective,2,22
0000|0000|0010|0101,3,3*mu_thermometer + 21*mu_bijective,3,21
0000|0000|0010|0110,3,2*mu_thermometer + 21*mu_bijective,2,21
0000|0000|0010|0111,4,2*mu_thermometer + 20*mu_bijective,2,20
0000|0000|0010|1000,2,1*mu_thermometer + 20*mu_bijective,1,20
0000|0000|0010|1001,3,2*mu_thermometer + 19*mu_bijective,2,19
0000|0000|0010|1010,3,2*mu_thermometer + 19*mu_bijective,2,19
0000|0000|0010|1011,4,2*mu_thermometer + 18*mu_bijective,2,18
0000|0000|0010|1100,3,1*mu_thermometer + 15*mu_bijective,1,15
0000|0000|0010|1101,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|0010|1110,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|0000|0010|1111,5,1*mu_thermometer + 13*mu_bijective,1,13
0000|0000|0011|0000,2,1*mu_thermometer + 26*mu_bijective,1,26
0000|0000|0011|0001,3,2*mu_thermometer + 27*mu_bijective,2,27
0000|0000|0011|0010,3,2*mu_thermometer + 25*mu_bijective,2,25
0000|0000|0011|0011,4,2*mu_thermometer + 26*mu_bijective,2,26
0000|0000|0011|0100,3,2*mu_thermometer + 21*mu_bijective,2,21
0000|0000|0011|0101,4,3*mu_thermometer + 22*mu_bijective,3,22
0000|0000|0011|0110,4,2*mu_thermometer + 20*mu_bijective,2,20
0000|0000|0011|0111,5,2*mu_thermometer + 21*mu_bijective,2,21
0000|0000|0011|1000,3,1*mu_thermometer + 19*mu_bijective,1,19
0000|0000|0011|1001,4,2*mu_thermometer + 20*mu_bijective,2,20
0000|0000|0011|1010,4,2*mu_thermometer + 18*mu_bijective,2,18
0000|0000|0011|1011,5,2*mu_thermometer + 19*mu_bijective,2,19
0000|0000|0011|1100,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|0000|0011|1101,5,2*mu_thermometer + 15*mu_bijective,2,15
0000|0000|0011|1110,5,1*mu_thermometer + 13*mu_bijective,1,13
0000|0000|0011|1111,6,1*mu_thermometer + 14*mu_bijective,1,14
0000|0000|0100|0000,1,1*mu_thermometer + 25*mu_bijective,1,25
0000|0000|0100|0001,2,2*mu_thermometer + 24*mu_bijective,2,24
0000|0000|0100|0010,2,2*mu_thermometer + 22*mu_bijective,2,22
0000|0000|0100|0011,3,2*mu_thermometer + 21*mu_bijective,2,21
0000|0000|0100|0100,2,2*mu_thermometer + 22*mu_bijective,2,22
0000|0000|0100|0101,3,3*mu_thermometer + 21*mu_bijective,3,21
0000|0000|0100|0110,3,2*mu_thermometer + 19*mu_bijective,2,19
0000|0000|0100|0111,4,2*mu_thermometer + 18*mu_bijective,2,18
0000|0000|0100|1000,2,1*mu_thermometer + 18*mu_bijective,1,18
0000|0000|0100|1001,3,2*mu_thermometer + 17*mu_bijective,2,17
0000|0000|0100|1010,3,2*mu_thermometer + 15*mu_bijective,2,15
0000|0000|0100|1011,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|0100|1100,3,1*mu_thermometer + 15*mu_bijective,1,15
0000|0000|0100|1101,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|0100|1110,4,1*mu_thermometer + 12*mu_bijective,1,12
0000|0000|0100|1111,5,1*mu_thermometer + 11*mu_bijective,1,11
0000|0000|0101|0000,2,2*mu_thermometer + 24*mu_bijective,2,24
0000|0000|0101|0001,3,3*mu_thermometer + 25*mu_bijective,3,25
0000|0000|0101|0010,3,3*mu_thermometer + 21*mu_bijective,3,21
0000|0000|0101|0011,4,3*mu_thermometer + 22*mu_bijective,3,22
0000|0000|0101|0100,3,3*mu_thermometer + 21*mu_bijective,3,21
0000|0000|0101|0101,4,4*mu_thermometer + 22*mu_bijective,4,22
0000|0000|0101|0110,4,3*mu_thermometer + 18*mu_bijective,3,18
0000|0000|0101|0111,5,3*mu_thermometer + 19*mu_bijective,3,19
0000|0000|0101|1000,3,2*mu_thermometer + 17*mu_bijective,2,17
0000|0000|0101|1001,4,3*mu_thermometer + 18*mu_bijective,3,18
0000|0000|0101|1010,4,3*mu_thermometer + 14*mu_bijective,3,14
0000|0000|0101|1011,5,3*mu_thermometer + 15*mu_bijective,3,15
0000|0000|0101|1100,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|0101|1101,5,3*mu_thermometer + 15*mu_bijective,3,15
0000|0000|0101|1110,5,2*mu_thermometer + 11*mu_bijective,2,11
0000|0000|0101|1111,6,2*mu_thermometer + 12*mu_bijective,2,12
0000|0000|0110|0000,2,1*mu_thermometer + 22*mu_bijective,1,22
0000|0000|0110|0001,3,2*mu_thermometer + 21*mu_bijective,2,21
0000|0000|0110|0010,3,2*mu_thermometer + 21*mu_bijective,2,21
0000|0000|0110|0011,4,2*mu_thermometer + 20*mu_bijective,2,20
