n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads
10,21,0,RandomSampler,lucas,False,0,,37.0,,0.002,5,10
10,21,0,RandomSampler,exact,False,0,,37.0,,0.001,5,10
10,25,1,RandomSampler,lucas,False,0,,50.000000000000014,,0.0,5,10
10,25,1,RandomSampler,exact,False,0,,50.000000000000014,,0.0,5,10
10,19,2,RandomSampler,lucas,False,0,,32.0,,0.001,5,10
10,19,2,RandomSampler,exact,False,0,,32.0,,0.0,5,10
10,27,3,RandomSampler,lucas,False,0,,60.58877549200334,,0.001,5,10
10,27,3,RandomSampler,exact,False,0,,60.58877549200334,,0.0,5,10
10,23,4,RandomSampler,lucas,False,0,,43.0,,0.0,5,10
10,23,4,RandomSampler,exact,False,0,,43.0,,0.0,5,10
10,20,5,RandomSampler,lucas,False,0,,34.0,,0.001,5,10
10,20,5,RandomSampler,exact,False,0,,34.0,,0.001,5,10
10,22,6,RandomSampler,lucas,False,0,,40.0,,0.0,5,10
10,22,6,RandomSampler,exact,False,0,,40.0,,0.001,5,10
10,20,7,RandomSampler,lucas,False,0,,35.0,,0.0,5,10
10,20,7,RandomSampler,exact,False,0,,35.0,,0.001,5,10
10,23,8,RandomSampler,lucas,False,0,,43.0,,0.0,5,10
10,23,8,RandomSampler,exact,False,0,,43.0,,0.0,5,10
10,20,9,RandomSampler,lucas,False,0,,34.5,,0.0,5,10
10,20,9,RandomSampler,exact,False,0,,34.5,,0.001,5,10
10,24,10,RandomSampler,lucas,False,0,,46.0,,0.001,5,10
10,24,10,RandomSampler,exact,False,0,,46.0,,0.0,5,10
10,25,11,RandomSampler,lucas,False,0,,50.000000000000014,,0.0,5,10
10,25,11,RandomSampler,exact,False,0,,50.000000000000014,,0.0,5,10
10,18,12,RandomSampler,lucas,False,0,,31.0,,0.0,5,10
10,18,12,RandomSampler,exact,False,0,,31.0,,0.0,5,10
10,26,13,RandomSampler,lucas,False,0,,56.630695516535866,,0.001,5,10
10,26,13,RandomSampler,exact,False,0,,56.630695516535866,,0.0,5,10
10,24,14,RandomSampler,lucas,False,0,,46.0,,0.0,5,10
10,24,14,RandomSampler,exact,False,0,,46.0,,0.001,5,10
10,22,15,RandomSampler,lucas,False,0,,40.0,,0.0,5,10
10,22,15,RandomSampler,exact,False,0,,40.0,,0.002,5,10
10,19,16,RandomSampler,lucas,False,0,,33.0,,0.0,5,10
10,19,16,RandomSampler,exact,False,0,,33.0,,0.0,5,10
10,18,17,RandomSampler,lucas,False,0,,30.0,,0.0,5,10
10,18,17,RandomSampler,exact,False,0,,30.0,,0.001,5,10
10,18,18,RandomSampler,lucas,False,0,,31.0,,0.0,5,10
10,18,18,RandomSampler,exact,False,0,,31.0,,0.001,5,10
10,24,19,RandomSampler,lucas,False,0,,46.0,,0.001,5,10
10,24,19,RandomSampler,exact,False,0,,46.0,,0.0,5,10
10,15,20,RandomSampler,lucas,False,0,,25.0,,0.0,5,10
10,15,20,RandomSampler,exact,False,0,,25.0,,0.0,5,10
10,20,21,RandomSampler,lucas,False,0,,34.0,,0.0,5,10
10,20,21,RandomSampler,exact,False,0,,34.0,,0.0,5,10
10,28,22,RandomSampler,lucas,False,0,,62.000000000000014,,0.002,5,10
10,28,22,RandomSampler,exact,False,0,,62.000000000000014,,0.002,5,10
10,20,23,RandomSampler,lucas,False,0,,34.0,,0.001,5,10
10,20,23,RandomSampler,exact,False,0,,34.0,,0.0,5,10
10,20,24,RandomSampler,lucas,False,0,,34.5,,0.0,5,10
10,20,24,RandomSampler,exact,False,0,,34.5,,0.002,5,10
10,28,25,RandomSampler,lucas,False,0,,62.000000000000014,,0.0,5,10
10,28,25,RandomSampler,exact,False,0,,62.000000000000014,,0.0,5,10
10,23,26,RandomSampler,lucas,False,0,,43.0,,0.001,5,10
10,23,26,RandomSampler,exact,False,0,,43.0,,0.0,5,10
10,20,27,RandomSampler,lucas,False,0,,34.0,,0.001,5,10
10,20,27,RandomSampler,exact,False,0,,34.0,,0.001,5,10
10,22,28,RandomSampler,lucas,False,0,,40.0,,0.002,5,10
10,22,28,RandomSampler,exact,False,0,,40.0,,0.001,5,10
10,27,29,RandomSampler,lucas,False,0,,58.000000000000014,,0.001,5,10
10,27,29,RandomSampler,exact,False,0,,58.000000000000014,,0.002,5,10
10,23,30,RandomSampler,lucas,False,0,,43.0,,0.001,5,10
10,23,30,RandomSampler,exact,False,0,,43.0,,0.0,5,10
10,22,31,RandomSampler,lucas,False,0,,40.0,,0.001,5,10
10,22,31,RandomSampler,exact,False,0,,40.0,,0.0,5,10
10,21,32,RandomSampler,lucas,False,0,,37.0,,0.001,5,10
10,21,32,RandomSampler,exact,False,0,,37.0,,0.0,5,10
10,21,33,RandomSampler,lucas,False,0,,37.0,,0.001,5,10
10,21,33,RandomSampler,exact,False,0,,37.0,,0.001,5,10
10,19,34,RandomSampler,lucas,False,0,,31.0,,0.0,5,10
10,19,34,RandomSampler,exact,False,0,,31.0,,0.001,5,10
10,29,35,RandomSampler,lucas,False,0,,66.00000000000001,,0.001,5,10
10,29,35,RandomSampler,exact,False,0,,66.00000000000001,,0.001,5,10
10,20,36,RandomSampler,lucas,False,0,,34.0,,0.001,5,10
10,20,36,RandomSampler,exact,False,0,,34.0,,0.0,5,10
10,18,37,RandomSampler,lucas,False,0,,29.0,,0.001,5,10
10,18,37,RandomSampler,exact,False,0,,29.0,,0.001,5,10
10,22,38,RandomSampler,lucas,False,0,,40.0,,0.0,5,10
10,22,38,RandomSampler,exact,False,0,,40.0,,0.0,5,10
10,17,39,RandomSampler,lucas,False,0,,28.0,,0.001,5,10
10,17,39,RandomSampler,exact,False,0,,28.0,,0.001,5,10
10,25,40,RandomSampler,lucas,False,0,,50.000000000000014,,0.0,5,10
10,25,40,RandomSampler,exact,False,0,,50.000000000000014,,0.001,5,10
10,23,41,RandomSampler,lucas,False,0,,43.0,,0.001,5,10
10,23,41,RandomSampler,exact,False,0,,43.0,,0.0,5,10
10,19,42,RandomSampler,lucas,False,0,,32.0,,0.0,5,10
10,19,42,RandomSampler,exact,False,0,,32.0,,0.001,5,10
10,23,43,RandomSampler,lucas,False,0,,43.0,,0.002,5,10
10,23,43,RandomSampler,exact,False,0,,43.0,,0.0,5,10
10,19,44,RandomSampler,lucas,False,0,,32.0,,0.001,5,10
10,19,44,RandomSampler,exact,False,0,,32.0,,0.0,5,10
10,22,45,RandomSampler,lucas,False,0,,40.0,,0.001,5,10
10,22,45,RandomSampler,exact,False,0,,40.0,,0.001,5,10
10,22,46,RandomSampler,lucas,False,0,,40.0,,0.0,5,10
10,22,46,RandomSampler,exact,False,0,,40.0,,0.002,5,10
10,22,47,RandomSampler,lucas,False,0,,40.0,,0.0,5,10
10,22,47,RandomSampler,exact,False,0,,40.0,,0.0,5,10
10,30,48,RandomSampler,lucas,False,0,,70.00000000000001,,0.002,5,10
10,30,48,RandomSampler,exact,False,0,,70.00000000000001,,0.0,5,10
10,24,49,RandomSampler,lucas,False,0,,46.0,,0.0,5,10
10,24,49,RandomSampler,exact,False,0,,46.0,,0.0,5,10
10,16,50,RandomSampler,lucas,False,0,,27.0,,0.0,5,10
10,16,50,RandomSampler,exact,False,0,,27.0,,0.001,5,10
10,28,51,RandomSampler,lucas,False,0,,62.000000000000014,,0.0,5,10
10,28,51,RandomSampler,exact,False,0,,62.000000000000014,,0.0,5,10
10,24,52,RandomSampler,lucas,False,0,,46.0,,0.0,5,10
10,24,52,RandomSampler,exact,False,0,,46.0,,0.001,5,10
10,21,53,RandomSampler,lucas,False,0,,37.0,,0.0,5,10
10,21,53,RandomSampler,exact,False,0,,37.0,,0.001,5,10
10,21,54,RandomSampler,lucas,False,0,,37.0,,0.001,5,10
10,21,54,RandomSampler,exact,False,0,,37.0,,0.001,5,10
10,28,55,RandomSampler,lucas,False,0,,62.000000000000014,,0.001,5,10
10,28,55,RandomSampler,exact,False,0,,62.000000000000014,,0.0,5,10
10,23,56,RandomSampler,lucas,False,0,,43.0,,0.0,5,10
10,23,56,RandomSampler,exact,False,0,,43.0,,0.001,5,10
10,18,57,RandomSampler,lucas,False,0,,31.0,,0.001,5,10
10,18,57,RandomSampler,exact,False,0,,31.0,,0.0,5,10
10,21,58,RandomSampler,lucas,False,0,,37.0,,0.0,5,10
10,21,58,RandomSampler,exact,False,0,,37.0,,0.001,5,10
10,24,59,RandomSampler,lucas,False,0,,46.0,,0.002,5,10
10,24,59,RandomSampler,exact,False,0,,46.0,,0.001,5,10
10,23,60,RandomSampler,lucas,False,0,,43.0,,0.0,5,10
10,23,60,RandomSampler,exact,False,0,,43.0,,0.0,5,10
10,26,61,RandomSampler,lucas,False,0,,54.000000000000014,,0.0,5,10
10,26,61,RandomSampler,exact,False,0,,54.000000000000014,,0.0,5,10
10,25,62,RandomSampler,lucas,False,0,,50.000000000000014,,0.0,5,10
10,25,62,RandomSampler,exact,False,0,,50.000000000000014,,0.0,5,10
10,19,63,RandomSampler,lucas,False,0,,32.0,,0.0,5,10
10,19,63,RandomSampler,exact,False,0,,32.0,,0.0,5,10
10,17,64,RandomSampler,lucas,False,0,,27.0,,0.0,5,10
10,17,64,RandomSampler,exact,False,0,,27.0,,0.0,5,10
10,24,65,RandomSampler,lucas,False,0,,46.0,,0.0,5,10
10,24,65,RandomSampler,exact,False,0,,46.0,,0.0,5,10
10,30,66,RandomSampler,lucas,False,0,,70.00000000000001,,0.001,5,10
10,30,66,RandomSampler,exact,False,0,,70.00000000000001,,0.0,5,10
10,17,67,RandomSampler,lucas,False,0,,29.0,,0.0,5,10
10,17,67,RandomSampler,exact,False,0,,29.0,,0.0,5,10
10,25,68,RandomSampler,lucas,False,0,,50.000000000000014,,0.002,5,10
10,25,68,RandomSampler,exact,False,0,,50.000000000000014,,0.001,5,10
10,20,69,RandomSampler,lucas,False,0,,34.0,,0.0,5,10
10,20,69,RandomSampler,exact,False,0,,34.0,,0.0,5,10
10,21,70,RandomSampler,lucas,False,0,,37.0,,0.0,5,10
10,21,70,RandomSampler,exact,False,0,,37.0,,0.0,5,10
10,18,71,RandomSampler,lucas,False,0,,28.0,,0.001,5,10
10,18,71,RandomSampler,exact,False,0,,28.0,,0.0,5,10
10,25,72,RandomSampler,lucas,False,0,,50.000000000000014,,0.001,5,10
10,25,72,RandomSampler,exact,False,0,,50.000000000000014,,0.002,5,10
10,22,73,RandomSampler,lucas,False,0,,40.0,,0.001,5,10
10,22,73,RandomSampler,exact,False,0,,40.0,,0.0,5,10
10,27,74,RandomSampler,lucas,False,0,,58.000000000000014,,0.0,5,10
10,27,74,RandomSampler,exact,False,0,,58.000000000000014,,0.001,5,10
10,24,75,RandomSampler,lucas,False,0,,46.0,,0.0,5,10
10,24,75,RandomSampler,exact,False,0,,46.0,,0.0,5,10
10,22,76,RandomSampler,lucas,False,0,,40.0,,0.001,5,10
10,22,76,RandomSampler,exact,False,0,,40.0,,0.0,5,10
10,25,77,RandomSampler,lucas,False,0,,50.000000000000014,,0.001,5,10
10,25,77,RandomSampler,exact,False,0,,50.000000000000014,,0.001,5,10
10,16,78,RandomSampler,lucas,False,0,,28.0,,0.001,5,10
10,16,78,RandomSampler,exact,False,0,,28.0,,0.0,5,10
10,19,79,RandomSampler,lucas,False,0,,31.0,,0.001,5,10
10,19,79,RandomSampler,exact,False,0,,31.0,,0.0,5,10
10,22,80,RandomSampler,lucas,False,0,,40.0,,0.001,5,10
10,22,80,RandomSampler,exact,False,0,,40.0,,0.0,5,10
10,19,81,RandomSampler,lucas,False,0,,31.0,,0.001,5,10
10,19,81,RandomSampler,exact,False,0,,31.0,,0.0,5,10
10,18,82,RandomSampler,lucas,False,0,,31.0,,0.0,5,10
10,18,82,RandomSampler,exact,False,0,,31.0,,0.001,5,10
10,27,83,RandomSampler,lucas,False,0,,58.000000000000014,,0.001,5,10
10,27,83,RandomSampler,exact,False,0,,58.000000000000014,,0.001,5,10
10,23,84,RandomSampler,lucas,False,0,,43.0,,0.0,5,10
10,23,84,RandomSampler,exact,False,0,,43.0,,0.001,5,10
10,23,85,RandomSampler,lucas,False,0,,43.0,,0.0,5,10
10,23,85,RandomSampler,exact,False,0,,43.0,,0.001,5,10
10,24,86,RandomSampler,lucas,False,0,,46.0,,0.001,5,10
10,24,86,RandomSampler,exact,False,0,,46.0,,0.0,5,10
10,22,87,RandomSampler,lucas,False,0,,40.0,,0.0,5,10
10,22,87,RandomSampler,exact,False,0,,40.0,,0.0,5,10
10,23,88,RandomSampler,lucas,False,0,,43.0,,0.002,5,10
10,23,88,RandomSampler,exact,False,0,,43.0,,0.0,5,10
10,20,89,RandomSampler,lucas,False,0,,34.0,,0.0,5,10
10,20,89,RandomSampler,exact,False,0,,34.0,,0.001,5,10
10,22,90,RandomSampler,lucas,False,0,,40.0,,0.0,5,10
10,22,90,RandomSampler,exact,False,0,,40.0,,0.0,5,10
10,24,91,RandomSampler,lucas,False,0,,46.0,,0.0,5,10
10,24,91,RandomSampler,exact,False,0,,46.0,,0.0,5,10
10,23,92,RandomSampler,lucas,False,0,,43.0,,0.0,5,10
10,23,92,RandomSampler,exact,False,0,,43.0,,0.0,5,10
10,27,93,RandomSampler,lucas,False,0,,58.000000000000014,,0.0,5,10
10,27,93,RandomSampler,exact,False,0,,58.000000000000014,,0.0,5,10
10,25,94,RandomSampler,lucas,False,0,,50.000000000000014,,0.0,5,10
10,25,94,RandomSampler,exact,False,0,,50.000000000000014,,0.0,5,10
10,26,95,RandomSampler,lucas,False,0,,54.000000000000014,,0.0,5,10
10,26,95,RandomSampler,exact,False,0,,54.000000000000014,,0.0,5,10
10,24,96,RandomSampler,lucas,False,0,,46.0,,0.0,5,10
10,24,96,RandomSampler,exact,False,0,,46.0,,0.0,5,10
10,25,97,RandomSampler,lucas,False,0,,50.000000000000014,,0.0,5,10
10,25,97,RandomSampler,exact,False,0,,50.000000000000014,,0.0,5,10
10,21,98,RandomSampler,lucas,False,0,,37.619145031507024,,0.0,5,10
10,21,98,RandomSampler,exact,False,0,,37.619145031507024,,0.001,5,10
10,25,99,RandomSampler,lucas,False,0,,50.000000000000014,,0.001,5,10
10,25,99,RandomSampler,exact,False,0,,50.000000000000014,,0.001,5,10
15,52,0,RandomSampler,lucas,False,0,,130.0,,0.001,5,10
15,52,0,RandomSampler,exact,False,0,,130.0,,0.001,5,10
15,57,1,RandomSampler,lucas,False,0,,158.44971975379113,,0.001,5,10
15,57,1,RandomSampler,exact,False,0,,158.44971975379113,,0.002,5,10
15,48,2,RandomSampler,lucas,False,0,,117.12997260862763,,0.001,5,10
15,48,2,RandomSampler,exact,False,0,,117.12997260862763,,0.0,5,10
15,52,3,RandomSampler,lucas,False,0,,130.0,,0.001,5,10
15,52,3,RandomSampler,exact,False,0,,130.0,,0.001,5,10
15,53,4,RandomSampler,lucas,False,0,,135.0,,0.0,5,10
15,53,4,RandomSampler,exact,False,0,,135.0,,0.001,5,10
15,51,5,RandomSampler,lucas,False,0,,125.0,,0.0,5,10
15,51,5,RandomSampler,exact,False,0,,125.0,,0.0,5,10
15,51,6,RandomSampler,lucas,False,0,,125.0,,0.002,5,10
15,51,6,RandomSampler,exact,False,0,,125.0,,0.0,5,10
15,45,7,RandomSampler,lucas,False,0,,128.3015133988632,,0.0,5,10
15,45,7,RandomSampler,exact,False,0,,128.3015133988632,,0.0,5,10
15,44,8,RandomSampler,lucas,False,0,,120.09240222499979,,0.001,5,10
15,44,8,RandomSampler,exact,False,0,,120.09240222499979,,0.001,5,10
15,55,9,RandomSampler,lucas,False,0,,145.0,,0.001,5,10
15,55,9,RandomSampler,exact,False,0,,145.0,,0.001,5,10
15,50,10,RandomSampler,lucas,False,0,,120.00000000000006,,0.001,5,10
15,50,10,RandomSampler,exact,False,0,,120.00000000000006,,0.001,5,10
15,54,11,RandomSampler,lucas,False,0,,146.03235648319463,,0.001,5,10
15,54,11,RandomSampler,exact,False,0,,146.03235648319463,,0.001,5,10
15,54,12,RandomSampler,lucas,False,0,,140.0,,0.001,5,10
15,54,12,RandomSampler,exact,False,0,,140.0,,0.0,5,10
15,55,13,RandomSampler,lucas,False,0,,149.06043865626646,,0.001,5,10
15,55,13,RandomSampler,exact,False,0,,149.06043865626646,,0.0,5,10
15,46,14,RandomSampler,lucas,False,0,,104.00000000000006,,0.001,5,10
15,46,14,RandomSampler,exact,False,0,,104.00000000000006,,0.0,5,10
15,53,15,RandomSampler,lucas,False,0,,135.0,,0.001,5,10
15,53,15,RandomSampler,exact,False,0,,135.0,,0.0,5,10
15,46,16,RandomSampler,lucas,False,0,,104.00000000000006,,0.002,5,10
15,46,16,RandomSampler,exact,False,0,,104.00000000000006,,0.002,5,10
15,50,17,RandomSampler,lucas,False,0,,120.00000000000006,,0.0,5,10
15,50,17,RandomSampler,exact,False,0,,120.00000000000006,,0.002,5,10
15,50,18,RandomSampler,lucas,False,0,,120.38148166294452,,0.0,5,10
15,50,18,RandomSampler,exact,False,0,,120.38148166294452,,0.001,5,10
15,50,19,RandomSampler,lucas,False,0,,120.00000000000006,,0.001,5,10
15,50,19,RandomSampler,exact,False,0,,120.00000000000006,,0.002,5,10
15,50,20,RandomSampler,lucas,False,0,,120.00000000000006,,0.0,5,10
15,50,20,RandomSampler,exact,False,0,,120.00000000000006,,0.002,5,10
15,60,21,RandomSampler,lucas,False,0,,170.0,,0.0,5,10
15,60,21,RandomSampler,exact,False,0,,170.0,,0.001,5,10
15,54,22,RandomSampler,lucas,False,0,,140.0,,0.002,5,10
15,54,22,RandomSampler,exact,False,0,,140.0,,0.001,5,10
15,50,23,RandomSampler,lucas,False,0,,131.60900488769335,,0.001,5,10
15,50,23,RandomSampler,exact,False,0,,131.60900488769335,,0.0,5,10
15,57,24,RandomSampler,lucas,False,0,,155.0,,0.0,5,10
15,57,24,RandomSampler,exact,False,0,,155.0,,0.001,5,10
15,48,25,RandomSampler,lucas,False,0,,115.97929363272009,,0.0,5,10
15,48,25,RandomSampler,exact,False,0,,115.97929363272009,,0.001,5,10
15,58,26,RandomSampler,lucas,False,0,,165.2615534362208,,0.0,5,10
