n,m,graph_id,solver,feasible,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds
25,151,0,SimulatedAnnealingSampler,False,,592.0,,0.03,1
25,145,1,SimulatedAnnealingSampler,False,,609.8111292774846,,0.029,1
25,142,2,SimulatedAnnealingSampler,False,,701.5688950163258,,0.029,1
25,146,3,SimulatedAnnealingSampler,False,,563.6333291687371,,0.029,1
25,150,4,SimulatedAnnealingSampler,False,,711.048229585088,,0.029,1
25,140,5,SimulatedAnnealingSampler,False,,553.4435756161688,,0.03,1
25,142,6,SimulatedAnnealingSampler,False,,668.6599275677748,,0.029,1
25,154,7,SimulatedAnnealingSampler,False,,807.2195211951461,,0.029,1
25,150,8,SimulatedAnnealingSampler,False,,717.1738115659674,,0.03,1
25,151,9,SimulatedAnnealingSampler,False,,699.8250868900317,,0.029,1
25,145,10,SimulatedAnnealingSampler,False,,565.4669722776791,,0.029,1
25,154,11,SimulatedAnnealingSampler,False,,616.0,,0.03,1
25,133,12,SimulatedAnnealingSampler,False,,586.4258923744279,,0.028,1
25,153,13,SimulatedAnnealingSampler,False,,696.2501417799416,,0.029,1
25,168,14,SimulatedAnnealingSampler,False,,797.788939118228,,0.03,1
25,152,15,SimulatedAnnealingSampler,False,,738.0806632367788,,0.029,1
25,141,16,SimulatedAnnealingSampler,False,,554.838045185386,,0.029,1
25,155,17,SimulatedAnnealingSampler,False,,739.5567126889756,,0.03,1
25,145,18,SimulatedAnnealingSampler,False,,703.3126483442484,,0.029,1
25,156,19,SimulatedAnnealingSampler,False,,759.923769448823,,0.03,1
25,160,20,SimulatedAnnealingSampler,False,,770.7523579280778,,0.029,1
25,140,21,SimulatedAnnealingSampler,False,,553.3498378436965,,0.029,1
25,153,22,SimulatedAnnealingSampler,False,,679.4623408298115,,0.029,1
25,155,23,SimulatedAnnealingSampler,False,,632.9097909112214,,0.029,1
25,157,24,SimulatedAnnealingSampler,False,,725.4401110633015,,0.029,1
25,159,25,SimulatedAnnealingSampler,False,,695.9884759360484,,0.029,1
25,144,26,SimulatedAnnealingSampler,False,,699.2172077945055,,0.03,1
25,132,27,SimulatedAnnealingSampler,False,,526.8833231193452,,0.029,1
25,151,28,SimulatedAnnealingSampler,False,,592.0,,0.029,1
25,143,29,SimulatedAnnealingSampler,False,,611.0135911928622,,0.029,1
25,153,30,SimulatedAnnealingSampler,False,,705.9970271819006,,0.029,1
25,161,31,SimulatedAnnealingSampler,False,,795.8987617230354,,0.029,1
25,159,32,SimulatedAnnealingSampler,False,,685.6920837099187,,0.029,1
25,151,33,SimulatedAnnealingSampler,False,,677.2293056355468,,0.029,1
25,150,34,SimulatedAnnealingSampler,False,,727.9467547315744,,0.029,1
25,153,35,SimulatedAnnealingSampler,False,,661.0123706731238,,0.029,1
25,156,36,SimulatedAnnealingSampler,False,,674.2481679042454,,0.029,1
25,159,37,SimulatedAnnealingSampler,False,,722.7858618142717,,0.029,1
25,159,38,SimulatedAnnealingSampler,False,,739.7319853078588,,0.03,1
25,143,39,SimulatedAnnealingSampler,False,,623.486167896258,,0.03,1
