n,m,graph_id,solver,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps
25,151,0,SimulatedAnnealingSampler,False,0,,592.0,,0.278,5,10,1000
25,145,1,SimulatedAnnealingSampler,False,0,,609.8111292774846,,0.281,5,10,1000
25,142,2,SimulatedAnnealingSampler,True,4,977.75,701.5688950163258,1.3936621291872517,0.278,5,10,1000
25,146,3,SimulatedAnnealingSampler,True,1,1012.0,563.6333291687371,1.7954935374253456,0.281,5,10,1000
25,150,4,SimulatedAnnealingSampler,False,0,,711.048229585088,,0.277,5,10,1000
25,140,5,SimulatedAnnealingSampler,True,1,910.0,553.4435756161688,1.644250724180625,0.279,5,10,1000
25,142,6,SimulatedAnnealingSampler,True,3,967.6666666666666,668.6599275677748,1.4471731096351437,0.28,5,10,1000
25,154,7,SimulatedAnnealingSampler,True,1,1088.0,807.2195211951461,1.3478365815399738,0.279,5,10,1000
25,150,8,SimulatedAnnealingSampler,False,0,,717.1738115659674,,0.28,5,10,1000
25,151,9,SimulatedAnnealingSampler,True,2,1029.5,699.8250868900317,1.4710818735793225,0.28,5,10,1000
25,145,10,SimulatedAnnealingSampler,False,0,,565.4669722776791,,0.279,5,10,1000
25,154,11,SimulatedAnnealingSampler,True,1,1047.0,616.0,1.6996753246753247,0.276,5,10,1000
25,133,12,SimulatedAnnealingSampler,True,1,886.0,586.4258923744279,1.5108473406803404,0.281,5,10,1000
25,153,13,SimulatedAnnealingSampler,False,0,,696.2501417799416,,0.281,5,10,1000
25,168,14,SimulatedAnnealingSampler,True,4,1165.25,797.788939118228,1.4605993425879227,0.28,5,10,1000
25,152,15,SimulatedAnnealingSampler,True,1,1040.0,738.0806632367788,1.4090600821855759,0.279,5,10,1000
25,141,16,SimulatedAnnealingSampler,False,0,,554.838045185386,,0.28,5,10,1000
25,155,17,SimulatedAnnealingSampler,True,1,1066.0,739.5567126889756,1.4414039947309785,0.283,5,10,1000
