n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps,beta_schedule_type,beta_min,beta_max
10,21,0,SimulatedAnnealingSampler,lucas,True,5,55.0,37.0,1.4864864864864864,0.063,5,10,1000,linear,0.1,0.5
10,21,0,SimulatedAnnealingSampler,exact,True,5,67.2,37.0,1.8162162162162163,0.054,5,10,1000,geometric,0.01,0.1
10,25,1,SimulatedAnnealingSampler,lucas,True,5,71.8,50.000000000000014,1.4359999999999995,0.055,5,10,1000,linear,0.1,0.5
10,25,1,SimulatedAnnealingSampler,exact,True,5,74.8,50.000000000000014,1.4959999999999996,0.054,5,10,1000,geometric,0.01,0.1
10,19,2,SimulatedAnnealingSampler,lucas,True,5,53.0,32.0,1.65625,0.058,5,10,1000,linear,0.1,0.5
10,19,2,SimulatedAnnealingSampler,exact,True,5,59.0,32.0,1.84375,0.054,5,10,1000,geometric,0.01,0.1
10,27,3,SimulatedAnnealingSampler,lucas,True,5,81.6,60.58877549200334,1.3467841087293433,0.061,5,10,1000,linear,0.1,0.5
10,27,3,SimulatedAnnealingSampler,exact,True,5,86.6,60.58877549200334,1.4293076448034452,0.049,5,10,1000,geometric,0.01,0.1
10,23,4,SimulatedAnnealingSampler,lucas,True,5,61.6,43.0,1.4325581395348836,0.054,5,10,1000,linear,0.1,0.5
10,23,4,SimulatedAnnealingSampler,exact,True,5,67.4,43.0,1.5674418604651164,0.052,5,10,1000,geometric,0.01,0.1
10,20,5,SimulatedAnnealingSampler,lucas,True,5,43.4,34.0,1.276470588235294,0.058,5,10,1000,linear,0.1,0.5
10,20,5,SimulatedAnnealingSampler,exact,True,5,58.2,34.0,1.711764705882353,0.051,5,10,1000,geometric,0.01,0.1
10,22,6,SimulatedAnnealingSampler,lucas,True,4,59.25,40.0,1.48125,0.06,5,10,1000,linear,0.1,0.5
10,22,6,SimulatedAnnealingSampler,exact,True,5,68.2,40.0,1.705,0.049,5,10,1000,geometric,0.01,0.1
10,20,7,SimulatedAnnealingSampler,lucas,True,5,43.6,35.0,1.2457142857142858,0.056,5,10,1000,linear,0.1,0.5
10,20,7,SimulatedAnnealingSampler,exact,True,5,60.8,35.0,1.737142857142857,0.055,5,10,1000,geometric,0.01,0.1
10,23,8,SimulatedAnnealingSampler,lucas,True,5,62.2,43.0,1.4465116279069767,0.054,5,10,1000,linear,0.1,0.5
10,23,8,SimulatedAnnealingSampler,exact,True,5,73.0,43.0,1.697674418604651,0.048,5,10,1000,geometric,0.01,0.1
10,20,9,SimulatedAnnealingSampler,lucas,True,3,51.0,34.5,1.4782608695652173,0.054,5,10,1000,linear,0.1,0.5
10,20,9,SimulatedAnnealingSampler,exact,True,5,60.2,34.5,1.7449275362318841,0.052,5,10,1000,geometric,0.01,0.1
10,24,10,SimulatedAnnealingSampler,lucas,True,5,61.2,46.0,1.3304347826086957,0.054,5,10,1000,linear,0.1,0.5
10,24,10,SimulatedAnnealingSampler,exact,True,5,71.6,46.0,1.5565217391304347,0.05,5,10,1000,geometric,0.01,0.1
10,25,11,SimulatedAnnealingSampler,lucas,True,5,66.0,50.000000000000014,1.3199999999999996,0.055,5,10,1000,linear,0.1,0.5
10,25,11,SimulatedAnnealingSampler,exact,True,5,77.8,50.000000000000014,1.5559999999999996,0.049,5,10,1000,geometric,0.01,0.1
