solver,penalty,n,num_graphs,num_feasible,feasibility_rate,mean_approx_ratio_ub,std_approx_ratio_ub,avg_time_s
PathIntegralAnnealingSampler,exact,5,21,21,1.0,1.100045470402613,0.07342757056745888,0.6708571428571429
PathIntegralAnnealingSampler,exact,10,100,100,1.0,1.6553982829375504,0.11375117338537298,3.9641699999999997
PathIntegralAnnealingSampler,exact,15,100,100,1.0,1.9068112577048886,0.14568813576772344,11.01319
PathIntegralAnnealingSampler,exact,20,100,100,1.0,2.0085006481702936,0.17412226294126576,23.452359999999995
PathIntegralAnnealingSampler,exact,25,100,73,0.73,1.9207330432456118,0.18230610535637437,43.881580000000014
PathIntegralAnnealingSampler,lucas,5,21,21,1.0,1.0562724312724312,0.07272463180662367,0.7364761904761906
PathIntegralAnnealingSampler,lucas,10,100,100,1.0,1.29125237544529,0.08165073027683485,4.065099999999999
PathIntegralAnnealingSampler,lucas,15,100,100,1.0,1.4643613859705729,0.07395755850191346,11.45719
PathIntegralAnnealingSampler,lucas,20,100,92,0.92,1.5106455594212942,0.0984390717906677,24.12832
PathIntegralAnnealingSampler,lucas,25,100,79,0.79,1.4718384617525273,0.1087021705003732,43.41682
SimulatedAnnealingSampler,exact,5,21,21,1.0,1.3353621708978853,0.28850979494659673,0.023000000000000003
SimulatedAnnealingSampler,exact,10,100,100,1.0,1.6566964869088536,0.11896821736026025,0.05096
SimulatedAnnealingSampler,exact,15,100,97,0.97,2.0463474724820925,0.15837325923373724,0.07835999999999999
SimulatedAnnealingSampler,exact,20,100,0,0.0,,,0.08489999999999999
SimulatedAnnealingSampler,exact,25,100,0,0.0,,,0.06168000000000001
SimulatedAnnealingSampler,lucas,5,21,21,1.0,1.1721281364138507,0.12755174694676785,0.02023809523809524
SimulatedAnnealingSampler,lucas,10,100,97,0.97,1.420337154278847,0.1128931043040581,0.05692000000000001
SimulatedAnnealingSampler,lucas,15,100,99,0.99,1.513787477618755,0.09258739231449706,0.11400000000000005
SimulatedAnnealingSampler,lucas,20,100,97,0.97,1.5427970350261502,0.10596656037591948,0.1905
SimulatedAnnealingSampler,lucas,25,100,88,0.88,1.4999048918730735,0.11164492440951025,0.28333
RandomSampler,exact,5,21,0,0.0,,,0.0010000000000000002
RandomSampler,exact,10,100,0,0.0,,,0.00047
RandomSampler,exact,15,100,0,0.0,,,0.00066
RandomSampler,exact,20,100,0,0.0,,,0.0009100000000000001
RandomSampler,exact,25,100,0,0.0,,,0.0016600000000000005
RandomSampler,lucas,5,21,0,0.0,,,0.000904761904761905
RandomSampler,lucas,10,100,0,0.0,,,0.0005300000000000001
RandomSampler,lucas,15,100,0,0.0,,,0.00055
RandomSampler,lucas,20,100,0,0.0,,,0.0008500000000000002
RandomSampler,lucas,25,100,0,0.0,,,0.00192
