schedule,n_vertices,m_edges,energy,feasible,time_s,best_seed
Linear,30,227,1882.0,False,7.02,999
Geometric,30,227,2137.0,False,6.312,123
Power (1/3),30,227,1962.0,False,6.99,456
Power (1/2),30,227,1907.0,False,7.095,789
Power (2),30,227,1935.0,False,6.951,42
Power (3),30,227,1941.0,False,6.901,42
Trigonometric,30,227,1881.0,False,7.407,456
Sigmoid,30,227,1914.0,False,7.313,42
Logarithmic,30,227,2329.0,False,6.285,456
"Fixed Hd, Linear Hp",30,227,1848.0,False,7.836,42
"Fixed Hd, Geometric Hp",30,227,2023.0,False,9.228,123
"Fixed Hd, Power Hp (1/2)",30,227,1918.0,False,7.374,456
"Fixed Hd, Power Hp (2)",30,227,1838.0,False,8.289,456
"Fixed Hd, Trigonometric Hp",30,227,1890.0,False,8.062,456
"Fixed Hd, Sigmoid Hp",30,227,1883.0,False,8.163,42
"Fixed Hd, Logarithmic Hp",30,227,2061.0,False,7.553,999
