schedule,n_graphs,n_vertices,feasible_count,total_runs,feasible_percentage,avg_energy,avg_time_s
Linear,5,25,6,25,24.0,948.48,4.137
Geometric,5,25,0,25,0.0,1092.88,3.72
Power (1/3),5,25,4,25,16.0,973.36,4.153
Power (1/2),5,25,2,25,8.0,955.48,4.131
Power (2),5,25,1,25,4.0,985.0,4.032
Power (3),5,25,0,25,0.0,1000.4,3.95
Trigonometric,5,25,1,25,4.0,967.96,4.212
Sigmoid,5,25,1,25,4.0,988.0,4.346
Logarithmic,5,25,0,25,0.0,1145.08,3.73
"Fixed Hd, Linear Hp",5,25,5,25,20.0,937.96,4.594
"Fixed Hd, Geometric Hp",5,25,0,25,0.0,1021.24,5.422
"Fixed Hd, Power Hp (1/2)",5,25,3,25,12.0,952.2,4.373
"Fixed Hd, Power Hp (2)",5,25,7,25,28.0,932.04,4.84
"Fixed Hd, Trigonometric Hp",5,25,5,25,20.0,950.04,4.696
"Fixed Hd, Sigmoid Hp",5,25,2,25,8.0,966.6,4.767
"Fixed Hd, Logarithmic Hp",5,25,0,25,0.0,1017.56,4.38
Power (1/4),5,25,1,25,4.0,1000.12,4.276
Power (4),5,25,2,25,8.0,1010.04,3.953
Power (5),5,25,0,25,0.0,1027.16,3.926
Exponential,5,25,3,25,12.0,951.76,4.552
Cosine,5,25,0,25,0.0,24539.76,4.341
Hyperbolic,5,25,3,25,12.0,958.08,18.561
Piecewise (Fast-Slow),5,25,2,25,8.0,974.96,4.065
"Fixed Hd, Exponential Hp",5,25,6,25,24.0,934.4,4.906
"Fixed Hd, Cosine Hp",5,25,0,25,0.0,24393.68,4.822
