schedule,n_graphs,n_vertices,feasible_instances,total_instances,feasible_percentage,avg_feasible_energy,avg_time_s
Linear,5,25,3,5,60.0,1007.5,5.964
Geometric,5,25,0,5,0.0,0.0,5.49
Power (1/3),5,25,2,5,40.0,1024.0,6.464
Power (1/4),5,25,2,5,40.0,1055.3333,6.012
Power (1/2),5,25,4,5,80.0,986.9167,6.132
Power (2),5,25,1,5,20.0,1048.0,6.066
Power (3),5,25,1,5,20.0,1073.0,5.92
Power (4),5,25,0,5,0.0,0.0,5.854
Power (5),5,25,0,5,0.0,0.0,5.837
Trigonometric,5,25,1,5,20.0,1120.0,6.206
Sigmoid,5,25,1,5,20.0,1000.0,6.32
Logarithmic,5,25,0,5,0.0,0.0,5.666
Exponential,5,25,4,5,80.0,997.2917,6.435
Cosine,5,25,0,5,0.0,0.0,6.23
Hyperbolic,5,25,4,5,80.0,990.5,6.147
Piecewise (Fast-Slow),5,25,2,5,40.0,1111.5,6.001
"Fixed Hd, Linear Hp",5,25,4,5,80.0,963.3333,6.544
"Fixed Hd, Geometric Hp",5,25,0,5,0.0,0.0,7.584
"Fixed Hd, Power Hp (1/2)",5,25,4,5,80.0,1020.0,6.344
"Fixed Hd, Power Hp (2)",5,25,2,5,40.0,1011.3333,6.881
"Fixed Hd, Trigonometric Hp",5,25,2,5,40.0,935.0,6.675
"Fixed Hd, Sigmoid Hp",5,25,2,5,40.0,1012.5,6.757
"Fixed Hd, Logarithmic Hp",5,25,1,5,20.0,1102.0,6.245
"Fixed Hd, Exponential Hp",5,25,2,5,40.0,1054.75,6.828
"Fixed Hd, Cosine Hp",5,25,0,5,0.0,0.0,6.697
"Fixed Hp, Linear Hd",5,25,0,5,0.0,0.0,5.876
"Fixed Hp, Geometric Hd",5,25,0,5,0.0,0.0,5.616
"Fixed Hp, Power Hd (1/2)",5,25,0,5,0.0,0.0,6.037
"Fixed Hp, Power Hd (2)",5,25,0,5,0.0,0.0,5.755
"Fixed Hp, Trigonometric Hd",5,25,0,5,0.0,0.0,5.82
"Fixed Hp, Sigmoid Hd",5,25,0,5,0.0,0.0,5.928
"Fixed Hp, Logarithmic Hd",5,25,0,5,0.0,0.0,5.682
"Fixed Hp, Exponential Hd",5,25,0,5,0.0,0.0,5.948
"Fixed Hp, Cosine Hd",5,25,0,5,0.0,0.0,5.937
