graph_idx,n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,feasibility_count,time_s
0,25,151,1e-09,1,False,linear,default,42,,False,,0,7.906
0,25,151,1e-09,1,False,linear,default,123,,False,,0,7.876
0,25,151,1e-09,1,False,linear,default,456,,False,,0,8.028
0,25,151,1e-09,1,False,linear,default,789,,False,,0,8.121
0,25,151,1e-09,1,False,linear,default,999,,False,,0,8.197
0,25,151,1e-09,1,False,power (1/2),default,42,,False,,0,8.052
0,25,151,1e-09,1,False,power (1/2),default,123,,False,,0,7.562
0,25,151,1e-09,1,False,power (1/2),default,456,,False,,0,7.7
0,25,151,1e-09,1,False,power (1/2),default,789,,False,,0,7.643
0,25,151,1e-09,1,False,power (1/2),default,999,,False,,0,12.363
0,25,151,1e-09,1,False,power (2),default,42,,False,,0,19.483
0,25,151,1e-09,1,False,power (2),default,123,,False,,0,11.285
0,25,151,1e-09,1,False,power (2),default,456,,False,,0,8.932
0,25,151,1e-09,1,False,power (2),default,789,,False,,0,8.886
0,25,151,1e-09,1,False,power (2),default,999,,False,,0,8.84
0,25,151,1e-09,1,False,geometric,default,42,,False,,0,10.794
0,25,151,1e-09,1,False,geometric,default,123,,False,,0,10.727
0,25,151,1e-09,1,False,geometric,default,456,,False,,0,10.592
0,25,151,1e-09,1,False,geometric,default,789,,False,,0,10.522
0,25,151,1e-09,1,False,geometric,default,999,,False,,0,10.828
1,25,145,1e-09,1,False,linear,default,42,,False,,0,8.715
1,25,145,1e-09,1,False,linear,default,123,963.0,True,976.0,1,10.385
1,25,145,1e-09,1,False,linear,default,456,,False,,0,8.917
1,25,145,1e-09,1,False,linear,default,789,,False,,0,8.08
1,25,145,1e-09,1,False,linear,default,999,,False,,0,8.068
1,25,145,1e-09,1,False,power (1/2),default,42,,False,,0,7.383
1,25,145,1e-09,1,False,power (1/2),default,123,,False,,0,7.453
1,25,145,1e-09,1,False,power (1/2),default,456,,False,,0,7.682
1,25,145,1e-09,1,False,power (1/2),default,789,,False,,0,7.46
1,25,145,1e-09,1,False,power (1/2),default,999,,False,,0,7.672
1,25,145,1e-09,1,False,power (2),default,42,,False,,0,9.076
1,25,145,1e-09,1,False,power (2),default,123,,False,,0,8.827
1,25,145,1e-09,1,False,power (2),default,456,,False,,0,8.868
1,25,145,1e-09,1,False,power (2),default,789,,False,,0,8.887
1,25,145,1e-09,1,False,power (2),default,999,,False,,0,8.95
1,25,145,1e-09,1,False,geometric,default,42,,False,,0,10.514
1,25,145,1e-09,1,False,geometric,default,123,,False,,0,11.224
1,25,145,1e-09,1,False,geometric,default,456,,False,,0,10.697
1,25,145,1e-09,1,False,geometric,default,789,,False,,0,10.743
1,25,145,1e-09,1,False,geometric,default,999,,False,,0,10.611
2,25,142,1e-09,1,False,linear,default,42,984.0,True,951.0,3,10.74
2,25,142,1e-09,1,False,linear,default,123,1022.0,True,962.0,1,8.548
