n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
25,151,1e-09,1e-09,True,linear,default,42,29.56711003627882,False,,,,0.145
25,151,1e-09,1e-08,True,linear,default,42,29.56711003627882,False,,,,0.17
25,151,1e-09,1e-07,True,linear,default,42,29.56711003627882,False,,,,0.184
25,151,1e-09,1e-06,True,linear,default,42,29.56711003627882,False,,,,0.169
25,151,1e-09,1e-05,True,linear,default,42,29.56711003627882,False,,,,0.166
25,151,1e-09,0.0001,True,linear,default,42,29.07134220072864,False,,,,0.159
25,151,1e-09,0.001,True,linear,default,42,29.194679564694777,False,,,,0.152
25,151,1e-09,0.01,True,linear,default,42,29.51632406288098,False,,,,0.143
25,151,1e-09,0.1,True,linear,default,42,32.47037484885439,False,,,,0.15
25,151,1e-09,1.0,True,linear,default,42,19.860943168080368,False,,,,0.183
25,151,1e-09,10.0,True,linear,default,42,6.025392986703,False,,,,0.156
25,151,1e-08,1e-08,True,linear,default,42,29.56711003627882,False,,,,0.142
25,151,1e-08,1e-07,True,linear,default,42,29.56711003627882,False,,,,0.164
25,151,1e-08,1e-06,True,linear,default,42,29.56711003627882,False,,,,0.154
25,151,1e-08,1e-05,True,linear,default,42,29.56711003627882,False,,,,0.15
25,151,1e-08,0.0001,True,linear,default,42,29.07134220072864,False,,,,0.149
25,151,1e-08,0.001,True,linear,default,42,29.194679564694777,False,,,,0.152
25,151,1e-08,0.01,True,linear,default,42,29.51632406288098,False,,,,0.158
25,151,1e-08,0.1,True,linear,default,42,32.47037484885439,False,,,,0.161
25,151,1e-08,1.0,True,linear,default,42,19.860943168080368,False,,,,0.164
25,151,1e-08,10.0,True,linear,default,42,6.025392986703,False,,,,0.143
25,151,1e-07,1e-07,True,linear,default,42,29.56711003627882,False,,,,0.15
25,151,1e-07,1e-06,True,linear,default,42,29.56711003627882,False,,,,0.148
25,151,1e-07,1e-05,True,linear,default,42,29.56711003627882,False,,,,0.149
25,151,1e-07,0.0001,True,linear,default,42,29.07134220072864,False,,,,0.154
25,151,1e-07,0.001,True,linear,default,42,29.194679564694777,False,,,,0.152
25,151,1e-07,0.01,True,linear,default,42,29.51632406288098,False,,,,0.15
25,151,1e-07,0.1,True,linear,default,42,32.47037484885439,False,,,,0.153
25,151,1e-07,1.0,True,linear,default,42,19.860943168080368,False,,,,0.152
25,151,1e-07,10.0,True,linear,default,42,6.025392986703,False,,,,0.143
25,151,1e-06,1e-06,True,linear,default,42,29.56711003627882,False,,,,0.151
25,151,1e-06,1e-05,True,linear,default,42,29.56711003627882,False,,,,0.153
25,151,1e-06,0.0001,True,linear,default,42,29.07134220072864,False,,,,0.152
25,151,1e-06,0.001,True,linear,default,42,29.194679564694777,False,,,,0.155
25,151,1e-06,0.01,True,linear,default,42,29.51632406288098,False,,,,0.16
25,151,1e-06,0.1,True,linear,default,42,32.47037484885439,False,,,,0.149
25,151,1e-06,1.0,True,linear,default,42,19.860943168080368,False,,,,0.156
25,151,1e-06,10.0,True,linear,default,42,6.025392986703,False,,,,0.147
25,151,1e-05,1e-05,True,linear,default,42,29.56711003627882,False,,,,0.159
25,151,1e-05,0.0001,True,linear,default,42,29.68077388150253,False,,,,0.148
25,151,1e-05,0.001,True,linear,default,42,29.61789600967663,False,,,,0.152
25,151,1e-05,0.01,True,linear,default,42,30.816203143896693,False,,,,0.153
