n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,time_s
25,151,1e-06,1e-06,False,linear,default,42,23848.0,False,,0.154
25,151,1e-06,1e-06,False,linear,default,123,26390.0,False,,0.152
25,151,1e-06,1e-06,False,linear,default,456,25121.0,False,,0.153
25,151,1e-06,1e-06,False,linear,default,789,25201.0,False,,0.157
25,151,1e-06,1e-06,False,linear,default,999,23564.0,False,,0.153
25,151,1e-06,1e-05,False,linear,default,42,24276.0,False,,0.155
25,151,1e-06,1e-05,False,linear,default,123,27015.0,False,,0.156
25,151,1e-06,1e-05,False,linear,default,456,27938.0,False,,0.153
25,151,1e-06,1e-05,False,linear,default,789,25097.0,False,,0.157
25,151,1e-06,1e-05,False,linear,default,999,25603.0,False,,0.151
25,151,1e-06,0.0001,False,linear,default,42,21919.0,False,,0.159
25,151,1e-06,0.0001,False,linear,default,123,22729.0,False,,0.154
25,151,1e-06,0.0001,False,linear,default,456,22715.0,False,,0.147
25,151,1e-06,0.0001,False,linear,default,789,25685.0,False,,0.161
25,151,1e-06,0.0001,False,linear,default,999,23464.0,False,,0.167
25,151,1e-06,0.001,False,linear,default,42,19059.0,False,,0.167
25,151,1e-06,0.001,False,linear,default,123,17953.0,False,,0.163
25,151,1e-06,0.001,False,linear,default,456,18892.0,False,,0.151
25,151,1e-06,0.001,False,linear,default,789,17313.0,False,,0.159
25,151,1e-06,0.001,False,linear,default,999,18732.0,False,,0.16
25,151,1e-06,0.01,False,linear,default,42,4938.0,False,,0.147
25,151,1e-06,0.01,False,linear,default,123,6091.0,False,,0.141
25,151,1e-06,0.01,False,linear,default,456,5764.0,False,,0.144
25,151,1e-06,0.01,False,linear,default,789,5738.0,False,,0.148
25,151,1e-06,0.01,False,linear,default,999,5460.0,False,,0.15
25,151,1e-06,0.1,False,linear,default,42,2057.0,False,,0.113
25,151,1e-06,0.1,False,linear,default,123,2105.0,False,,0.113
25,151,1e-06,0.1,False,linear,default,456,2201.0,False,,0.112
25,151,1e-06,0.1,False,linear,default,789,2149.0,False,,0.109
25,151,1e-06,0.1,False,linear,default,999,2007.0,False,,0.112
25,151,1e-06,1.0,False,linear,default,42,989.0,False,,0.061
25,151,1e-06,1.0,False,linear,default,123,984.0,False,,0.058
