n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,time_s
25,151,1e-06,1e-06,False,geometric,default,42,25191.0,False,,5.72
25,151,1e-06,1e-06,False,geometric,default,123,26037.0,False,,5.714
25,151,1e-06,1e-06,False,geometric,default,456,24582.0,False,,5.746
25,151,1e-06,1e-06,False,geometric,default,789,25297.0,False,,5.697
25,151,1e-06,1e-06,False,geometric,default,999,23046.0,False,,5.695
25,151,1e-06,1e-05,False,geometric,default,42,23824.0,False,,5.694
25,151,1e-06,1e-05,False,geometric,default,123,25363.0,False,,5.687
25,151,1e-06,1e-05,False,geometric,default,456,23814.0,False,,5.681
25,151,1e-06,1e-05,False,geometric,default,789,23498.0,False,,5.662
25,151,1e-06,1e-05,False,geometric,default,999,23241.0,False,,5.687
25,151,1e-06,0.0001,False,geometric,default,42,23774.0,False,,5.699
25,151,1e-06,0.0001,False,geometric,default,123,26220.0,False,,5.688
25,151,1e-06,0.0001,False,geometric,default,456,23174.0,False,,5.686
25,151,1e-06,0.0001,False,geometric,default,789,24605.0,False,,5.664
25,151,1e-06,0.0001,False,geometric,default,999,23108.0,False,,5.669
25,151,1e-06,0.001,False,geometric,default,42,18836.0,False,,5.691
25,151,1e-06,0.001,False,geometric,default,123,20359.0,False,,5.668
25,151,1e-06,0.001,False,geometric,default,456,19233.0,False,,5.648
25,151,1e-06,0.001,False,geometric,default,789,18925.0,False,,5.682
25,151,1e-06,0.001,False,geometric,default,999,21203.0,False,,5.697
25,151,1e-06,0.01,False,geometric,default,42,5309.0,False,,5.438
25,151,1e-06,0.01,False,geometric,default,123,5384.0,False,,5.679
25,151,1e-06,0.01,False,geometric,default,456,5846.0,False,,5.423
25,151,1e-06,0.01,False,geometric,default,789,5791.0,False,,5.669
25,151,1e-06,0.01,False,geometric,default,999,5521.0,False,,5.699
25,151,1e-06,0.1,False,geometric,default,42,2145.0,False,,5.452
25,151,1e-06,0.1,False,geometric,default,123,2158.0,False,,5.464
25,151,1e-06,0.1,False,geometric,default,456,2067.0,False,,5.492
25,151,1e-06,0.1,False,geometric,default,789,2166.0,False,,5.425
25,151,1e-06,0.1,False,geometric,default,999,2069.0,False,,5.609
25,151,1e-06,1.0,False,geometric,default,42,1086.0,False,,8.122
25,151,1e-06,1.0,False,geometric,default,123,1073.0,False,,7.609
25,151,1e-06,1.0,False,geometric,default,456,1082.0,False,,7.617
25,151,1e-06,1.0,False,geometric,default,789,1086.0,False,,7.628
25,151,1e-06,1.0,False,geometric,default,999,1063.0,False,,7.622
25,151,1e-06,10.0,False,geometric,default,42,1008.0,False,,35.118
25,151,1e-06,10.0,False,geometric,default,123,995.0,False,,35.46
25,151,1e-06,10.0,False,geometric,default,456,985.0,False,,35.324
25,151,1e-06,10.0,False,geometric,default,789,996.0,False,,35.69
25,151,1e-06,10.0,False,geometric,default,999,1007.0,False,,35.607
25,151,1e-05,1e-05,False,geometric,default,42,23845.0,False,,5.735
25,151,1e-05,1e-05,False,geometric,default,123,25326.0,False,,5.715
25,151,1e-05,1e-05,False,geometric,default,456,24622.0,False,,5.708
25,151,1e-05,1e-05,False,geometric,default,789,23476.0,False,,5.68
25,151,1e-05,1e-05,False,geometric,default,999,23046.0,False,,5.71
25,151,1e-05,0.0001,False,geometric,default,42,23774.0,False,,5.682
25,151,1e-05,0.0001,False,geometric,default,123,25153.0,False,,5.698
25,151,1e-05,0.0001,False,geometric,default,456,24890.0,False,,5.687
25,151,1e-05,0.0001,False,geometric,default,789,24605.0,False,,5.688
25,151,1e-05,0.0001,False,geometric,default,999,22173.0,False,,5.683
25,151,1e-05,0.001,False,geometric,default,42,19394.0,False,,5.716
25,151,1e-05,0.001,False,geometric,default,123,18086.0,False,,5.72
25,151,1e-05,0.001,False,geometric,default,456,16969.0,False,,5.651
25,151,1e-05,0.001,False,geometric,default,789,16803.0,False,,5.672
25,151,1e-05,0.001,False,geometric,default,999,20100.0,False,,5.711
25,151,1e-05,0.01,False,geometric,default,42,5673.0,False,,5.69
25,151,1e-05,0.01,False,geometric,default,123,5383.0,False,,5.44
25,151,1e-05,0.01,False,geometric,default,456,5355.0,False,,5.444
25,151,1e-05,0.01,False,geometric,default,789,5970.0,False,,5.459
25,151,1e-05,0.01,False,geometric,default,999,5690.0,False,,5.679
25,151,1e-05,0.1,False,geometric,default,42,2083.0,False,,5.486
25,151,1e-05,0.1,False,geometric,default,123,2139.0,False,,5.746
25,151,1e-05,0.1,False,geometric,default,456,1940.0,False,,6.195
25,151,1e-05,0.1,False,geometric,default,789,2100.0,False,,5.433
25,151,1e-05,0.1,False,geometric,default,999,2002.0,False,,5.449
25,151,1e-05,1.0,False,geometric,default,42,1090.0,False,,7.54
25,151,1e-05,1.0,False,geometric,default,123,1024.0,False,,7.573
25,151,1e-05,1.0,False,geometric,default,456,1016.0,False,,7.514
25,151,1e-05,1.0,False,geometric,default,789,1060.0,False,,7.656
25,151,1e-05,1.0,False,geometric,default,999,1068.0,False,,7.558
25,151,1e-05,10.0,False,geometric,default,42,1012.0,False,,34.348
25,151,1e-05,10.0,False,geometric,default,123,1033.0,False,,34.938
25,151,1e-05,10.0,False,geometric,default,456,991.0,False,,34.889
25,151,1e-05,10.0,False,geometric,default,789,989.0,False,,34.77
25,151,1e-05,10.0,False,geometric,default,999,1012.0,False,,34.888
25,151,0.0001,0.0001,False,geometric,default,42,24403.0,False,,5.722
25,151,0.0001,0.0001,False,geometric,default,123,20666.0,False,,5.759
25,151,0.0001,0.0001,False,geometric,default,456,25670.0,False,,5.707
25,151,0.0001,0.0001,False,geometric,default,789,24699.0,False,,5.689
25,151,0.0001,0.0001,False,geometric,default,999,22577.0,False,,5.713
25,151,0.0001,0.001,False,geometric,default,42,18545.0,False,,5.682
25,151,0.0001,0.001,False,geometric,default,123,18800.0,False,,5.723
25,151,0.0001,0.001,False,geometric,default,456,15033.0,False,,5.678
25,151,0.0001,0.001,False,geometric,default,789,18487.0,False,,5.703
25,151,0.0001,0.001,False,geometric,default,999,15840.0,False,,5.69
25,151,0.0001,0.01,False,geometric,default,42,5830.0,False,,5.918
25,151,0.0001,0.01,False,geometric,default,123,5161.0,False,,5.521
25,151,0.0001,0.01,False,geometric,default,456,5676.0,False,,5.481
25,151,0.0001,0.01,False,geometric,default,789,4857.0,False,,5.482
25,151,0.0001,0.01,False,geometric,default,999,5459.0,False,,5.64
25,151,0.0001,0.1,False,geometric,default,42,1931.0,False,,5.487
25,151,0.0001,0.1,False,geometric,default,123,2029.0,False,,5.477
25,151,0.0001,0.1,False,geometric,default,456,2093.0,False,,5.47
25,151,0.0001,0.1,False,geometric,default,789,2095.0,False,,5.55
25,151,0.0001,0.1,False,geometric,default,999,2196.0,False,,5.48
25,151,0.0001,1.0,False,geometric,default,42,1010.0,False,,7.505
25,151,0.0001,1.0,False,geometric,default,123,1068.0,False,,7.458
25,151,0.0001,1.0,False,geometric,default,456,1055.0,False,,7.461
25,151,0.0001,1.0,False,geometric,default,789,1019.0,False,,7.44
25,151,0.0001,1.0,False,geometric,default,999,1033.0,False,,7.487
25,151,0.0001,10.0,False,geometric,default,42,1000.0,False,,33.88
25,151,0.0001,10.0,False,geometric,default,123,986.0,False,,33.518
25,151,0.0001,10.0,False,geometric,default,456,997.0,False,,33.784
25,151,0.0001,10.0,False,geometric,default,789,1005.0,False,,33.842
25,151,0.0001,10.0,False,geometric,default,999,1009.0,False,,33.73
25,151,0.001,0.001,False,geometric,default,42,16140.0,False,,5.741
25,151,0.001,0.001,False,geometric,default,123,18109.0,False,,5.712
25,151,0.001,0.001,False,geometric,default,456,18137.0,False,,5.72
25,151,0.001,0.001,False,geometric,default,789,18129.0,False,,5.705
25,151,0.001,0.001,False,geometric,default,999,17841.0,False,,5.706
25,151,0.001,0.01,False,geometric,default,42,5560.0,False,,5.675
25,151,0.001,0.01,False,geometric,default,123,5581.0,False,,5.491
25,151,0.001,0.01,False,geometric,default,456,5086.0,False,,5.472
25,151,0.001,0.01,False,geometric,default,789,5045.0,False,,5.616
25,151,0.001,0.01,False,geometric,default,999,5291.0,False,,5.582
25,151,0.001,0.1,False,geometric,default,42,2148.0,False,,5.463
25,151,0.001,0.1,False,geometric,default,123,2038.0,False,,5.483
25,151,0.001,0.1,False,geometric,default,456,2012.0,False,,5.467
25,151,0.001,0.1,False,geometric,default,789,2100.0,False,,5.541
25,151,0.001,0.1,False,geometric,default,999,1947.0,False,,5.46
25,151,0.001,1.0,False,geometric,default,42,1037.0,False,,7.304
25,151,0.001,1.0,False,geometric,default,123,1024.0,False,,7.306
25,151,0.001,1.0,False,geometric,default,456,1041.0,False,,7.304
25,151,0.001,1.0,False,geometric,default,789,1037.0,False,,7.302
25,151,0.001,1.0,False,geometric,default,999,1011.0,False,,7.302
25,151,0.001,10.0,False,geometric,default,42,996.0,False,,31.931
25,151,0.001,10.0,False,geometric,default,123,993.0,False,,31.78
25,151,0.001,10.0,False,geometric,default,456,1011.0,False,,32.015
25,151,0.001,10.0,False,geometric,default,789,987.0,False,,31.92
25,151,0.001,10.0,False,geometric,default,999,1004.0,False,,31.9
25,151,0.01,0.01,False,geometric,default,42,5567.0,False,,5.706
25,151,0.01,0.01,False,geometric,default,123,5594.0,False,,5.535
25,151,0.01,0.01,False,geometric,default,456,5064.0,False,,5.517
25,151,0.01,0.01,False,geometric,default,789,5112.0,False,,5.666
25,151,0.01,0.01,False,geometric,default,999,5643.0,False,,5.523
25,151,0.01,0.1,False,geometric,default,42,2113.0,False,,5.707
25,151,0.01,0.1,False,geometric,default,123,1994.0,False,,5.71
25,151,0.01,0.1,False,geometric,default,456,2030.0,False,,6.29
25,151,0.01,0.1,False,geometric,default,789,2030.0,False,,5.506
25,151,0.01,0.1,False,geometric,default,999,2059.0,False,,5.511
25,151,0.01,1.0,False,geometric,default,42,999.0,False,,7.043
25,151,0.01,1.0,False,geometric,default,123,1021.0,False,,7.128
25,151,0.01,1.0,False,geometric,default,456,1018.0,False,,7.089
25,151,0.01,1.0,False,geometric,default,789,1014.0,False,,7.037
25,151,0.01,1.0,False,geometric,default,999,1000.0,False,,7.018
25,151,0.01,10.0,False,geometric,default,42,1000.0,False,,29.625
25,151,0.01,10.0,False,geometric,default,123,987.0,False,,29.468
25,151,0.01,10.0,False,geometric,default,456,1002.0,False,,29.189
25,151,0.01,10.0,False,geometric,default,789,989.0,False,,29.325
25,151,0.01,10.0,False,geometric,default,999,984.0,False,,29.21
25,151,0.1,0.1,False,geometric,default,42,2047.0,False,,5.556
25,151,0.1,0.1,False,geometric,default,123,2157.0,False,,5.56
25,151,0.1,0.1,False,geometric,default,456,2177.0,False,,5.576
25,151,0.1,0.1,False,geometric,default,789,2051.0,False,,5.517
25,151,0.1,0.1,False,geometric,default,999,2072.0,False,,5.527
25,151,0.1,1.0,False,geometric,default,42,1008.0,False,,6.513
25,151,0.1,1.0,False,geometric,default,123,1012.0,False,,6.499
25,151,0.1,1.0,False,geometric,default,456,973.0,True,973.0,6.522
25,151,0.1,1.0,False,geometric,default,789,990.0,False,,6.468
25,151,0.1,1.0,False,geometric,default,999,979.0,False,,6.497
25,151,0.1,10.0,False,geometric,default,42,981.0,False,,25.058
25,151,0.1,10.0,False,geometric,default,123,984.0,False,,24.928
25,151,0.1,10.0,False,geometric,default,456,974.0,False,,24.933
25,151,0.1,10.0,False,geometric,default,789,971.0,False,,24.932
25,151,0.1,10.0,False,geometric,default,999,980.0,False,,25.17
25,151,1.0,1.0,False,geometric,default,42,1147.0,False,,6.295
25,151,1.0,1.0,False,geometric,default,123,1208.0,False,,6.249
25,151,1.0,1.0,False,geometric,default,456,1141.0,False,,6.19
25,151,1.0,1.0,False,geometric,default,789,1171.0,False,,6.243
25,151,1.0,1.0,False,geometric,default,999,1142.0,False,,6.164
25,151,1.0,10.0,False,geometric,default,42,968.0,False,,16.795
25,151,1.0,10.0,False,geometric,default,123,975.0,False,,16.885
25,151,1.0,10.0,False,geometric,default,456,967.0,False,,16.9
25,151,1.0,10.0,False,geometric,default,789,975.0,False,,16.832
25,151,1.0,10.0,False,geometric,default,999,970.0,False,,16.704
25,151,10.0,10.0,False,geometric,default,42,1054.0,False,,15.196
25,151,10.0,10.0,False,geometric,default,123,1077.0,False,,14.99
25,151,10.0,10.0,False,geometric,default,456,1049.0,False,,15.075
25,151,10.0,10.0,False,geometric,default,789,1066.0,False,,15.033
25,151,10.0,10.0,False,geometric,default,999,1039.0,False,,15.174
25,151,1e-06,1e-06,False,geometric,fixed_Hp,42,25191.0,False,,5.691
25,151,1e-06,1e-06,False,geometric,fixed_Hp,123,26037.0,False,,5.699
25,151,1e-06,1e-06,False,geometric,fixed_Hp,456,24582.0,False,,5.717
