solver,num_sweeps,beta_min,beta_max,beta_schedule_type,qubits_per_chain,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
PathIntegralAnnealingSampler,1000,0.1,1.0,geometric,2,1.0,1.4111796327001978,1.65475,20
PathIntegralAnnealingSampler,1000,1e-09,0.5,linear,2,1.0,1.4369784080407457,1.6562999999999999,20
PathIntegralAnnealingSampler,1000,1e-09,1.0,linear,2,0.95,1.4046276715266972,1.6510500000000001,20
PathIntegralAnnealingSampler,1000,0.1,1.0,linear,2,0.95,1.4081605452110326,1.6565999999999999,20
PathIntegralAnnealingSampler,500,0.1,0.5,linear,2,0.95,1.439503897319292,0.8267,20
SimulatedAnnealingSampler,1000,0.1,0.5,linear,1,1.0,1.4123817681710233,0.029120000000000004,25
SimulatedAnnealingSampler,1000,1e-09,0.5,linear,1,1.0,1.4274067760387248,0.03404,25
SimulatedAnnealingSampler,1000,0.01,0.5,linear,1,0.96,1.4305238282255353,0.03324,25
SimulatedAnnealingSampler,1000,0.1,1.0,geometric,1,0.92,1.4010061669239602,0.028840000000000005,25
SimulatedAnnealingSampler,1000,0.1,0.5,geometric,1,0.92,1.4374526058315629,0.031200000000000002,25
