solver,penalty,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,0.1,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,0.1,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,0.1,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,0.1,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,0.1,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,0.1,geometric,False,,54.000000000000014,,0.004
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,0.3,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,0.3,linear,False,,54.000000000000014,,0.001
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,0.3,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,0.3,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,0.3,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,0.3,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,0.3,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,0.5,linear,True,70.0,54.000000000000014,1.296296296296296,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,0.5,linear,True,67.0,54.000000000000014,1.2407407407407405,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,0.5,linear,True,93.0,54.000000000000014,1.722222222222222,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,0.5,linear,True,78.0,54.000000000000014,1.444444444444444,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,0.5,linear,True,78.0,54.000000000000014,1.444444444444444,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,0.5,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,0.5,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,0.5,geometric,True,74.0,54.000000000000014,1.37037037037037,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,0.5,geometric,True,79.0,54.000000000000014,1.4629629629629626,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,0.5,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,1.0,linear,True,65.0,54.000000000000014,1.2037037037037033,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,1.0,linear,True,70.0,54.000000000000014,1.296296296296296,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,1.0,linear,True,65.0,54.000000000000014,1.2037037037037033,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,1.0,linear,True,66.0,54.000000000000014,1.222222222222222,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,1.0,linear,True,68.0,54.000000000000014,1.2592592592592589,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,1.0,geometric,True,76.0,54.000000000000014,1.407407407407407,0.003
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,1.0,geometric,True,85.0,54.000000000000014,1.5740740740740735,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,1.0,geometric,True,79.0,54.000000000000014,1.4629629629629626,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,1.0,geometric,True,84.0,54.000000000000014,1.5555555555555551,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,1.0,geometric,False,,54.000000000000014,,0.002
