solver,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,10,26,100,42,100,1e-09,1,linear,True,72.0,54.000000000000014,1.333333333333333,0.002
SimulatedAnnealingSampler,10,26,100,123,100,1e-09,1,linear,True,68.0,54.000000000000014,1.2592592592592589,0.002
SimulatedAnnealingSampler,10,26,100,456,100,1e-09,1,linear,True,65.0,54.000000000000014,1.2037037037037033,0.002
SimulatedAnnealingSampler,10,26,100,789,100,1e-09,1,linear,True,66.0,54.000000000000014,1.222222222222222,0.002
SimulatedAnnealingSampler,10,26,100,999,100,1e-09,1,linear,True,70.0,54.000000000000014,1.296296296296296,0.002
SimulatedAnnealingSampler,10,26,100,42,100,1e-09,1,geometric,True,95.0,54.000000000000014,1.7592592592592589,0.003
SimulatedAnnealingSampler,10,26,100,123,100,1e-09,1,geometric,True,74.0,54.000000000000014,1.37037037037037,0.003
SimulatedAnnealingSampler,10,26,100,456,100,1e-09,1,geometric,True,80.0,54.000000000000014,1.4814814814814812,0.003
SimulatedAnnealingSampler,10,26,100,789,100,1e-09,1,geometric,True,73.0,54.000000000000014,1.3518518518518514,0.003
SimulatedAnnealingSampler,10,26,100,999,100,1e-09,1,geometric,True,82.0,54.000000000000014,1.5185185185185182,0.003
SimulatedAnnealingSampler,10,26,100,42,100,1e-09,10,linear,True,77.0,54.000000000000014,1.4259259259259256,0.001
SimulatedAnnealingSampler,10,26,100,123,100,1e-09,10,linear,True,82.0,54.000000000000014,1.5185185185185182,0.001
SimulatedAnnealingSampler,10,26,100,456,100,1e-09,10,linear,True,69.0,54.000000000000014,1.2777777777777777,0.001
SimulatedAnnealingSampler,10,26,100,789,100,1e-09,10,linear,True,89.0,54.000000000000014,1.6481481481481477,0.001
SimulatedAnnealingSampler,10,26,100,999,100,1e-09,10,linear,True,91.0,54.000000000000014,1.685185185185185,0.001
SimulatedAnnealingSampler,10,26,100,42,100,1e-09,10,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,10,26,100,123,100,1e-09,10,geometric,True,78.0,54.000000000000014,1.444444444444444,0.002
SimulatedAnnealingSampler,10,26,100,456,100,1e-09,10,geometric,True,83.0,54.000000000000014,1.5370370370370363,0.002
SimulatedAnnealingSampler,10,26,100,789,100,1e-09,10,geometric,True,72.0,54.000000000000014,1.333333333333333,0.003
SimulatedAnnealingSampler,10,26,100,999,100,1e-09,10,geometric,True,83.0,54.000000000000014,1.5370370370370363,0.003
SimulatedAnnealingSampler,10,26,100,42,100,0.01,1,linear,True,66.0,54.000000000000014,1.222222222222222,0.002
SimulatedAnnealingSampler,10,26,100,123,100,0.01,1,linear,True,64.0,54.000000000000014,1.185185185185185,0.002
SimulatedAnnealingSampler,10,26,100,456,100,0.01,1,linear,True,71.0,54.000000000000014,1.3148148148148144,0.002
SimulatedAnnealingSampler,10,26,100,789,100,0.01,1,linear,True,67.0,54.000000000000014,1.2407407407407405,0.002
SimulatedAnnealingSampler,10,26,100,999,100,0.01,1,linear,True,65.0,54.000000000000014,1.2037037037037033,0.002
SimulatedAnnealingSampler,10,26,100,42,100,0.01,1,geometric,True,73.0,54.000000000000014,1.3518518518518514,0.003
SimulatedAnnealingSampler,10,26,100,123,100,0.01,1,geometric,True,68.0,54.000000000000014,1.2592592592592589,0.003
SimulatedAnnealingSampler,10,26,100,456,100,0.01,1,geometric,True,70.0,54.000000000000014,1.296296296296296,0.003
SimulatedAnnealingSampler,10,26,100,789,100,0.01,1,geometric,True,64.0,54.000000000000014,1.185185185185185,0.003
SimulatedAnnealingSampler,10,26,100,999,100,0.01,1,geometric,True,72.0,54.000000000000014,1.333333333333333,0.003
SimulatedAnnealingSampler,10,26,100,42,500,1e-09,1,linear,True,66.0,54.000000000000014,1.222222222222222,0.005
