solver,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,trotters,feasible,minla_cost,lower_bound,approx_ratio,time_s,gamma
OpenJijSA,10,26,100,42,100,1e-09,0.1,1,False,,54.000000000000014,,0.011,0.0
OpenJijSA,10,26,100,123,100,1e-09,0.1,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,1e-09,0.1,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,1e-09,0.1,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,999,100,1e-09,0.1,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,42,100,1e-09,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,123,100,1e-09,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,1e-09,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,1e-09,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,999,100,1e-09,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,42,100,1e-09,0.5,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,123,100,1e-09,0.5,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,456,100,1e-09,0.5,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,1e-09,0.5,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,999,100,1e-09,0.5,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,42,100,1e-09,1.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,123,100,1e-09,1.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,1e-09,1.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,1e-09,1.0,1,True,86.0,54.000000000000014,1.592592592592592,0.009,0.0
OpenJijSA,10,26,100,999,100,1e-09,1.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,42,100,1e-09,5.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,123,100,1e-09,5.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,1e-09,5.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,1e-09,5.0,1,True,83.0,54.000000000000014,1.5370370370370363,0.009,0.0
OpenJijSA,10,26,100,999,100,1e-09,5.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,42,100,1e-09,10.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,123,100,1e-09,10.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,1e-09,10.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,1e-09,10.0,1,True,89.0,54.000000000000014,1.6481481481481477,0.009,0.0
OpenJijSA,10,26,100,999,100,1e-09,10.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,42,100,0.01,0.1,1,False,,54.000000000000014,,0.01,0.0
OpenJijSA,10,26,100,123,100,0.01,0.1,1,False,,54.000000000000014,,0.01,0.0
OpenJijSA,10,26,100,456,100,0.01,0.1,1,False,,54.000000000000014,,0.013,0.0
OpenJijSA,10,26,100,789,100,0.01,0.1,1,False,,54.000000000000014,,0.014,0.0
OpenJijSA,10,26,100,999,100,0.01,0.1,1,False,,54.000000000000014,,0.012,0.0
OpenJijSA,10,26,100,42,100,0.01,0.3,1,False,,54.000000000000014,,0.012,0.0
OpenJijSA,10,26,100,123,100,0.01,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,0.01,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,0.01,0.3,1,False,,54.000000000000014,,0.01,0.0
OpenJijSA,10,26,100,999,100,0.01,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,42,100,0.01,0.5,1,True,94.0,54.000000000000014,1.7407407407407405,0.009,0.0
OpenJijSA,10,26,100,123,100,0.01,0.5,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,0.01,0.5,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,0.01,0.5,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,999,100,0.01,0.5,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,42,100,0.01,1.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,123,100,0.01,1.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,0.01,1.0,1,True,85.0,54.000000000000014,1.5740740740740735,0.009,0.0
OpenJijSA,10,26,100,789,100,0.01,1.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,999,100,0.01,1.0,1,True,66.0,54.000000000000014,1.222222222222222,0.009,0.0
OpenJijSA,10,26,100,42,100,0.01,5.0,1,True,74.0,54.000000000000014,1.37037037037037,0.009,0.0
OpenJijSA,10,26,100,123,100,0.01,5.0,1,True,77.0,54.000000000000014,1.4259259259259256,0.008,0.0
OpenJijSA,10,26,100,456,100,0.01,5.0,1,True,67.0,54.000000000000014,1.2407407407407405,0.009,0.0
OpenJijSA,10,26,100,789,100,0.01,5.0,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,999,100,0.01,5.0,1,True,81.0,54.000000000000014,1.4999999999999996,0.008,0.0
OpenJijSA,10,26,100,42,100,0.01,10.0,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,123,100,0.01,10.0,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,456,100,0.01,10.0,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,0.01,10.0,1,True,73.0,54.000000000000014,1.3518518518518514,0.008,0.0
OpenJijSA,10,26,100,999,100,0.01,10.0,1,True,69.0,54.000000000000014,1.2777777777777777,0.008,0.0
OpenJijSA,10,26,100,42,100,0.1,0.1,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,123,100,0.1,0.1,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,0.1,0.1,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,789,100,0.1,0.1,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,999,100,0.1,0.1,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,42,100,0.1,0.3,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,123,100,0.1,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,456,100,0.1,0.3,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,789,100,0.1,0.3,1,False,,54.000000000000014,,0.009,0.0
OpenJijSA,10,26,100,999,100,0.1,0.3,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,42,100,0.1,0.5,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,123,100,0.1,0.5,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,456,100,0.1,0.5,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,789,100,0.1,0.5,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,999,100,0.1,0.5,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,42,100,0.1,1.0,1,True,77.0,54.000000000000014,1.4259259259259256,0.008,0.0
OpenJijSA,10,26,100,123,100,0.1,1.0,1,True,77.0,54.000000000000014,1.4259259259259256,0.008,0.0
OpenJijSA,10,26,100,456,100,0.1,1.0,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,789,100,0.1,1.0,1,False,,54.000000000000014,,0.008,0.0
