solver,num_sweeps,beta_min,beta_max,trotters,gamma,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
OpenJijSA,100,1e-09,0.1,1,0.0,0.0,,0.038919999999999996,25
OpenJijSA,100,1e-09,0.3,1,0.0,0.0,,0.037759999999999995,25
OpenJijSA,100,1e-09,0.5,1,0.0,0.0,,0.0384,25
OpenJijSA,100,1e-09,1.0,1,0.0,0.04,1.592592592592592,0.037239999999999995,25
OpenJijSA,100,1e-09,5.0,1,0.0,0.08,1.543518518518518,0.03724,25
OpenJijSA,100,1e-09,10.0,1,0.0,0.04,1.6481481481481477,0.03736,25
OpenJijSA,100,0.01,0.1,1,0.0,0.0,,0.03728,25
OpenJijSA,100,0.01,0.3,1,0.0,0.0,,0.03556,25
OpenJijSA,100,0.01,0.5,1,0.0,0.04,1.7407407407407405,0.03488,25
OpenJijSA,100,0.01,1.0,1,0.0,0.12,1.3987654320987655,0.0344,25
OpenJijSA,100,0.01,5.0,1,0.0,0.28,1.4838624338624338,0.035,25
OpenJijSA,100,0.01,10.0,1,0.0,0.16,1.3886574074074072,0.03304,25
OpenJijSA,100,0.1,0.1,1,0.0,0.0,,0.03396,25
OpenJijSA,100,0.1,0.3,1,0.0,0.0,,0.033159999999999995,25
OpenJijSA,100,0.1,0.5,1,0.0,0.04,1.425,0.032,25
OpenJijSA,100,0.1,1.0,1,0.0,0.28,1.493121693121693,0.03224,25
OpenJijSA,100,0.1,5.0,1,0.0,0.32,1.455671296296296,0.032159999999999994,25
OpenJijSA,100,0.1,10.0,1,0.0,0.24,1.638117283950617,0.031479999999999994,25
OpenJijSA,100,0.5,0.5,1,0.0,0.24,1.532193732193732,0.03136,25
OpenJijSA,100,0.5,1.0,1,0.0,0.24,1.4302469135802467,0.03136,25
OpenJijSA,100,0.5,5.0,1,0.0,0.12,1.5626543209876538,0.031439999999999996,25
OpenJijSA,100,0.5,10.0,1,0.0,0.08,1.407407407407407,0.031639999999999995,25
OpenJijSA,500,1e-09,1e-09,1,0.0,0.0,,0.07432,25
OpenJijSA,500,1e-09,1e-08,1,0.0,0.0,,0.07224,25
OpenJijSA,500,1e-09,1e-07,1,0.0,0.0,,0.0726,25
OpenJijSA,500,1e-09,1e-06,1,0.0,0.0,,0.07316,25
OpenJijSA,500,1e-09,1e-05,1,0.0,0.0,,0.07383999999999999,25
OpenJijSA,500,1e-09,0.0001,1,0.0,0.0,,0.07256,25
OpenJijSA,500,1e-09,0.001,1,0.0,0.0,,0.07296,25
OpenJijSA,500,1e-09,0.01,1,0.0,0.0,,0.07419999999999999,25
OpenJijSA,500,1e-09,0.1,1,0.0,0.0,,0.07279999999999999,25
OpenJijSA,500,1e-09,0.3,1,0.0,0.0,,0.07067999999999999,25
OpenJijSA,500,1e-09,0.5,1,0.0,0.04,1.407407407407407,0.071,25
