solver,penalty,num_sweeps,beta_min,beta_max,beta_schedule_type,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
PathIntegralAnnealingSampler,exact,100,1e-09,0.1,geometric,0.28,1.8421957671957672,0.22163999999999998,25
PathIntegralAnnealingSampler,exact,100,1e-09,0.1,linear,0.4,1.6925925925925924,0.22455999999999998,25
PathIntegralAnnealingSampler,exact,100,1e-09,0.3,geometric,0.2,1.7514814814814812,0.2364,25
PathIntegralAnnealingSampler,exact,100,1e-09,0.3,linear,0.28,1.7675925925925922,0.23031999999999997,25
PathIntegralAnnealingSampler,exact,100,1e-09,0.5,geometric,0.28,1.777380952380952,0.22460000000000002,25
PathIntegralAnnealingSampler,exact,100,1e-09,0.5,linear,0.36,1.898662551440329,0.23284,25
PathIntegralAnnealingSampler,exact,100,1e-09,1.0,geometric,0.28,1.8361111111111108,0.22655999999999998,25
PathIntegralAnnealingSampler,exact,100,1e-09,1.0,linear,0.32,1.8224537037037036,0.23928000000000002,25
PathIntegralAnnealingSampler,exact,100,1e-09,5.0,geometric,0.36,1.7969135802469134,0.25132,25
PathIntegralAnnealingSampler,exact,100,1e-09,5.0,linear,0.32,1.7722222222222221,0.40452000000000005,25
PathIntegralAnnealingSampler,exact,100,1e-09,10.0,geometric,0.28,1.8560846560846558,0.2832,25
PathIntegralAnnealingSampler,exact,100,1e-09,10.0,linear,0.24,1.7354938271604938,0.63164,25
PathIntegralAnnealingSampler,exact,100,0.01,0.1,geometric,0.4,1.7229629629629628,0.22572,25
PathIntegralAnnealingSampler,exact,100,0.01,0.1,linear,0.36,1.7397119341563783,0.2262,25
PathIntegralAnnealingSampler,exact,100,0.01,0.3,geometric,0.4,1.6825925925925926,0.22591999999999998,25
PathIntegralAnnealingSampler,exact,100,0.01,0.3,linear,0.32,1.789583333333333,0.2314,25
PathIntegralAnnealingSampler,exact,100,0.01,0.5,geometric,0.4,1.7162037037037035,0.22836,25
PathIntegralAnnealingSampler,exact,100,0.01,0.5,linear,0.32,1.9243055555555555,0.23348,25
PathIntegralAnnealingSampler,exact,100,0.01,1.0,geometric,0.4,1.6545370370370367,0.23044,25
PathIntegralAnnealingSampler,exact,100,0.01,1.0,linear,0.2,1.9466666666666665,0.24248,25
PathIntegralAnnealingSampler,exact,100,0.01,5.0,geometric,0.48,1.8646842355175686,0.29235999999999995,25
PathIntegralAnnealingSampler,exact,100,0.01,5.0,linear,0.4,1.7823148148148147,0.36364,25
PathIntegralAnnealingSampler,exact,100,0.01,10.0,geometric,0.4,1.7349999999999999,0.38144000000000006,25
PathIntegralAnnealingSampler,exact,100,0.01,10.0,linear,0.32,1.7116898148148147,0.56312,25
PathIntegralAnnealingSampler,exact,100,0.1,0.1,geometric,0.28,1.8101851851851851,0.22255999999999998,25
PathIntegralAnnealingSampler,exact,100,0.1,0.1,linear,0.28,1.8101851851851851,0.2234,25
PathIntegralAnnealingSampler,exact,100,0.1,0.3,geometric,0.36,1.8118312757201644,0.22835999999999998,25
PathIntegralAnnealingSampler,exact,100,0.1,0.3,linear,0.24,1.7804012345679008,0.23156,25
PathIntegralAnnealingSampler,exact,100,0.1,0.5,geometric,0.16,1.8567129629629626,0.23431999999999997,25
