solver,num_sweeps,beta_min,beta_max,beta_schedule_type,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
PathIntegralAnnealingSampler,100,1e-09,1,geometric,0.08,1.6958333333333333,0.27348,25
PathIntegralAnnealingSampler,100,1e-09,1,linear,0.44,1.4501554001553998,0.27892000000000006,25
PathIntegralAnnealingSampler,100,1e-09,10,geometric,0.32,1.7335648148148146,0.27519999999999994,25
PathIntegralAnnealingSampler,100,1e-09,10,linear,0.32,1.6457175925925924,0.27384,25
PathIntegralAnnealingSampler,100,1e-09,100,geometric,0.24,1.5759259259259257,0.27715999999999996,25
PathIntegralAnnealingSampler,100,1e-09,100,linear,0.16,1.7344907407407404,0.27648,25
PathIntegralAnnealingSampler,100,0.01,1,geometric,0.44,1.456934731934732,0.27676,25
PathIntegralAnnealingSampler,100,0.01,1,linear,0.52,1.5194225290379133,0.2778,25
PathIntegralAnnealingSampler,100,0.01,10,geometric,0.44,1.4933760683760682,0.27959999999999996,25
PathIntegralAnnealingSampler,100,0.01,10,linear,0.32,1.636574074074074,0.27628,25
PathIntegralAnnealingSampler,100,0.01,100,geometric,0.4,1.490648148148148,0.27703999999999995,25
PathIntegralAnnealingSampler,100,0.01,100,linear,0.2,1.779259259259259,0.27643999999999996,25
PathIntegralAnnealingSampler,100,0.1,1,geometric,0.52,1.5245342976112206,0.27884000000000003,25
PathIntegralAnnealingSampler,100,0.1,1,linear,0.52,1.4901435459127763,0.2786,25
PathIntegralAnnealingSampler,100,0.1,10,geometric,0.48,1.5077991452991448,0.27712,25
PathIntegralAnnealingSampler,100,0.1,10,linear,0.36,1.6187242798353907,0.27716,25
PathIntegralAnnealingSampler,100,0.1,100,geometric,0.4,1.4320370370370368,0.27635999999999994,25
PathIntegralAnnealingSampler,100,0.1,100,linear,0.16,1.9224537037037037,0.27608,25
PathIntegralAnnealingSampler,500,1e-09,1,geometric,0.4,1.422685185185185,1.3744,25
PathIntegralAnnealingSampler,500,1e-09,1,linear,0.6,1.4179487179487176,1.36616,25
PathIntegralAnnealingSampler,500,1e-09,10,geometric,0.4,1.5000925925925925,1.38244,25
PathIntegralAnnealingSampler,500,1e-09,10,linear,0.4,1.4364814814814815,1.3754400000000002,25
PathIntegralAnnealingSampler,500,1e-09,100,geometric,0.4,1.4209259259259257,1.37896,25
PathIntegralAnnealingSampler,500,1e-09,100,linear,0.2,1.7499999999999996,1.3782400000000001,25
PathIntegralAnnealingSampler,500,0.01,1,geometric,0.6,1.4363342830009491,1.3658000000000001,25
PathIntegralAnnealingSampler,500,0.01,1,linear,0.64,1.4183819857155182,1.36824,25
PathIntegralAnnealingSampler,500,0.01,10,geometric,0.52,1.4305391190006571,9.09212,25
PathIntegralAnnealingSampler,500,0.01,10,linear,0.4,1.4482407407407405,7.6482399999999995,25
PathIntegralAnnealingSampler,500,0.01,100,geometric,0.56,1.497970085470085,233.08244,25
PathIntegralAnnealingSampler,500,0.01,100,linear,0.2,1.7875925925925924,2.24716,25
PathIntegralAnnealingSampler,500,0.1,1,geometric,0.64,1.4322683496621575,1.3744399999999999,25
PathIntegralAnnealingSampler,500,0.1,1,linear,0.68,1.4051633223002942,1.87816,25
PathIntegralAnnealingSampler,500,0.1,10,geometric,0.68,1.4821767690839378,42.44216,25
PathIntegralAnnealingSampler,500,0.1,10,linear,0.36,1.4103909465020574,40.5346,25
PathIntegralAnnealingSampler,500,0.1,100,geometric,0.56,1.464396388403444,1.80984,25
PathIntegralAnnealingSampler,500,0.1,100,linear,0.24,1.6891975308641973,2.37092,25
PathIntegralAnnealingSampler,1000,1e-09,1,geometric,0.44,1.4394198394198392,2.7631600000000005,25
PathIntegralAnnealingSampler,1000,1e-09,1,linear,0.8,1.4093607775663144,2.7382800000000005,25
PathIntegralAnnealingSampler,1000,1e-09,10,geometric,0.48,1.4043730009838182,2.73428,25
PathIntegralAnnealingSampler,1000,1e-09,10,linear,0.52,1.4610124917817227,2.71652,25
PathIntegralAnnealingSampler,1000,1e-09,100,geometric,0.48,1.5056980056980056,43.155680000000004,25
PathIntegralAnnealingSampler,1000,1e-09,100,linear,0.24,1.743364197530864,36.381280000000004,25
PathIntegralAnnealingSampler,1000,0.01,1,geometric,0.76,1.4676302305776818,2.7294799999999997,25
PathIntegralAnnealingSampler,1000,0.01,1,linear,0.72,1.4235082182438072,2.7329200000000005,25
PathIntegralAnnealingSampler,1000,0.01,10,geometric,0.56,1.4276353276353275,60.52923999999999,25
PathIntegralAnnealingSampler,1000,0.01,10,linear,0.56,1.5230056980056976,6.74084,25
PathIntegralAnnealingSampler,1000,0.01,100,geometric,0.6,1.4457075023741683,46.72404,25
PathIntegralAnnealingSampler,1000,0.01,100,linear,0.24,1.7814814814814814,41.756800000000005,25
PathIntegralAnnealingSampler,1000,0.1,1,geometric,0.84,1.4131505889432763,5.521,25
PathIntegralAnnealingSampler,1000,0.1,1,linear,0.76,1.4081605452110326,7.7579199999999995,25
PathIntegralAnnealingSampler,1000,0.1,10,geometric,0.72,1.4223844493994204,2.73676,25
PathIntegralAnnealingSampler,1000,0.1,10,linear,0.52,1.5269997808459341,2.73256,25
PathIntegralAnnealingSampler,1000,0.1,100,geometric,0.64,1.444765155502021,2.7477199999999997,25
PathIntegralAnnealingSampler,1000,0.1,100,linear,0.32,1.683796296296296,2.7332799999999997,25
SimulatedAnnealingSampler,100,1e-09,1,geometric,0.4,1.505648148148148,0.011080000000000001,25
SimulatedAnnealingSampler,100,1e-09,1,linear,0.52,1.43442362480824,0.00464,25
SimulatedAnnealingSampler,100,1e-09,10,geometric,0.32,1.5158564814814812,0.0102,25
SimulatedAnnealingSampler,100,1e-09,10,linear,0.36,1.5950617283950619,0.0027600000000000003,25
