n,m,beta_min,beta_max,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
10,26,1e-06,1e-06,5.73154362416118,False,,67,,0.292
10,26,1e-06,5e-05,5.060402684563867,False,,67,,0.286
10,26,1e-06,1e-05,4.577181208053799,False,,67,,0.288
10,26,1e-06,0.0005,6.765100671141045,False,,67,,0.287
10,26,1e-06,0.0001,4.8993288590605095,False,,67,,0.287
10,26,1e-06,0.005,5.120805369127626,False,,67,,0.286
10,26,1e-06,0.001,5.308724832214873,False,,67,,0.289
10,26,1e-06,0.05,5.10067114093971,False,,67,,0.311
10,26,1e-06,0.01,4.8053691275168875,False,,67,,0.282
10,26,1e-06,0.5,5.738255033557156,False,,67,,0.288
10,26,1e-06,1.0,3.7449664429531264,False,,67,,0.285
10,26,1e-06,5.0,1.906040268456489,False,,67,,0.285
10,26,1e-06,10.0,1.328859060402796,False,,67,,0.287
10,26,1e-06,50.0,0.6979865771813607,False,,67,,0.297
10,26,1e-06,100.0,0.5033557046981425,True,75.0,67,0.11940298507462686,0.288
10,26,1e-06,500.0,0.46979865771828244,True,70.0,67,0.04477611940298507,0.295
10,26,1e-06,1000.0,0.496644295302171,True,74.0,67,0.1044776119402985,0.292
10,26,1e-06,5000.0,0.4765100671142424,True,71.0,67,0.05970149253731343,0.298
10,26,1e-06,10000.0,0.5100671140941184,True,76.0,67,0.13432835820895522,0.294
10,26,1e-06,50000.0,0.510067114094106,True,76.0,67,0.13432835820895522,0.294
10,26,1e-06,100000.0,0.5302013422820337,True,79.0,67,0.1791044776119403,0.285
10,26,1e-06,500000.0,0.4697986577182638,True,70.0,67,0.04477611940298507,0.288
10,26,1e-06,1000000.0,0.5100671140941149,True,76.0,67,0.13432835820895522,0.287
10,26,5e-05,5e-05,5.08724832214776,False,,67,,0.283
10,26,5e-05,0.0005,5.362416107382662,False,,67,,0.284
10,26,5e-05,0.0001,5.563758389261854,False,,67,,0.286
10,26,5e-05,0.005,6.684563758389369,False,,67,,0.285
10,26,5e-05,0.001,5.436241610738367,False,,67,,0.288
10,26,5e-05,0.05,5.2751677852350065,False,,67,,0.284
10,26,5e-05,0.01,6.651006711409503,False,,67,,0.287
10,26,5e-05,0.5,5.389261744966553,False,,67,,0.285
10,26,5e-05,1.0,4.751677852349104,False,,67,,0.29
10,26,5e-05,5.0,2.463087248322255,False,,67,,0.291
10,26,5e-05,10.0,1.7046979865772958,False,,67,,0.292
