n,m,beta_min,beta_max,beta_schedule_type,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
25,146,1e-06,1e-06,oj,22325.0,False,,924,,1.505
25,146,1e-06,5e-05,oj,14055.0,False,,924,,1.371
25,146,1e-06,1e-05,oj,19452.0,False,,924,,1.501
25,146,1e-06,0.0005,oj,11544.0,False,,924,,1.091
25,146,1e-06,0.0001,oj,12263.0,False,,924,,1.264
25,146,1e-06,0.005,oj,10971.0,False,,924,,0.977
25,146,1e-06,0.001,oj,12564.0,False,,924,,1.033
25,146,1e-06,0.05,oj,11685.0,False,,924,,0.928
25,146,1e-06,0.01,oj,12775.0,False,,924,,0.963
25,146,1e-06,0.5,oj,1714.0,False,,924,,0.904
25,146,1e-06,1.0,oj,1406.0,False,,924,,0.896
25,146,1e-06,5.0,oj,983.0,True,983.0,924,0.06385281385281386,0.89
25,146,1e-06,10.0,oj,956.0,True,956.0,924,0.03463203463203463,0.914
25,146,1e-06,50.0,oj,1189.0,False,,924,,0.951
25,146,1e-06,100.0,oj,1409.0,False,,924,,0.939
25,146,1e-06,500.0,oj,1549.0,False,,924,,0.914
25,146,1e-06,1000.0,oj,1849.0,False,,924,,0.912
25,146,1e-06,5000.0,oj,2173.0,False,,924,,0.895
25,146,1e-06,10000.0,oj,2210.0,False,,924,,0.891
25,146,1e-06,50000.0,oj,1855.0,False,,924,,0.887
25,146,1e-06,100000.0,oj,1928.0,False,,924,,0.885
25,146,1e-06,500000.0,oj,1795.0,False,,924,,0.879
25,146,1e-06,1000000.0,oj,1689.0,False,,924,,0.881
25,146,5e-05,5e-05,oj,12330.0,False,,924,,1.179
25,146,5e-05,0.0005,oj,10736.0,False,,924,,1.086
25,146,5e-05,0.0001,oj,12764.0,False,,924,,1.178
25,146,5e-05,0.005,oj,9453.0,False,,924,,0.977
25,146,5e-05,0.001,oj,13853.0,False,,924,,1.029
25,146,5e-05,0.05,oj,11289.0,False,,924,,0.923
25,146,5e-05,0.01,oj,14186.0,False,,924,,0.974
25,146,5e-05,0.5,oj,1660.0,False,,924,,0.899
25,146,5e-05,1.0,oj,1365.0,False,,924,,0.901
25,146,5e-05,5.0,oj,985.0,False,,924,,0.902
25,146,5e-05,10.0,oj,945.0,True,945.0,924,0.022727272727272728,0.913
25,146,5e-05,50.0,oj,1158.0,False,,924,,0.95
25,146,5e-05,100.0,oj,1372.0,False,,924,,0.942
25,146,5e-05,500.0,oj,1481.0,False,,924,,0.917
25,146,5e-05,1000.0,oj,1781.0,False,,924,,0.907
25,146,5e-05,5000.0,oj,1696.0,False,,924,,0.893
25,146,5e-05,10000.0,oj,2132.0,False,,924,,0.891
25,146,5e-05,50000.0,oj,2065.0,False,,924,,0.887
25,146,5e-05,100000.0,oj,2026.0,False,,924,,0.886
25,146,5e-05,500000.0,oj,1807.0,False,,924,,0.885
25,146,5e-05,1000000.0,oj,1739.0,False,,924,,0.875
25,146,1e-05,5e-05,oj,12187.0,False,,924,,1.289
25,146,1e-05,1e-05,oj,18607.0,False,,924,,1.482
25,146,1e-05,0.0005,oj,11929.0,False,,924,,1.076
25,146,1e-05,0.0001,oj,13311.0,False,,924,,1.245
