n,m,beta_min,beta_max,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
25,146,1e-06,1e-06,24612.0,False,,924,,6.975
25,146,1e-06,5e-05,17981.0,False,,924,,6.977
25,146,1e-06,1e-05,25154.0,False,,924,,6.955
25,146,1e-06,0.0005,22651.0,False,,924,,6.994
25,146,1e-06,0.0001,23437.0,False,,924,,7.011
25,146,1e-06,0.005,8279.0,False,,924,,7.013
25,146,1e-06,0.001,18645.0,False,,924,,7.003
25,146,1e-06,0.05,2705.0,False,,924,,6.994
25,146,1e-06,0.01,5659.0,False,,924,,6.931
25,146,1e-06,0.5,1117.0,False,,924,,6.971
25,146,1e-06,1.0,1150.0,False,,924,,6.895
25,146,1e-06,5.0,1127.0,False,,924,,6.96
25,146,1e-06,10.0,1127.0,False,,924,,6.974
25,146,1e-06,50.0,1172.0,False,,924,,7.059
25,146,1e-06,100.0,1134.0,False,,924,,6.934
25,146,1e-06,500.0,1174.0,False,,924,,6.973
25,146,1e-06,1000.0,1150.0,False,,924,,7.041
25,146,1e-06,5000.0,1137.0,False,,924,,6.931
25,146,1e-06,10000.0,1202.0,False,,924,,6.973
25,146,1e-06,50000.0,1150.0,False,,924,,6.93
25,146,1e-06,100000.0,1158.0,False,,924,,6.965
25,146,1e-06,500000.0,1195.0,False,,924,,6.934
25,146,1e-06,1000000.0,1212.0,False,,924,,6.918
25,146,5e-05,5e-05,23845.0,False,,924,,6.946
25,146,5e-05,0.0005,23329.0,False,,924,,6.954
25,146,5e-05,0.0001,21129.0,False,,924,,6.886
25,146,5e-05,0.005,9420.0,False,,924,,7.075
25,146,5e-05,0.001,18673.0,False,,924,,6.963
25,146,5e-05,0.05,2610.0,False,,924,,6.999
25,146,5e-05,0.01,5378.0,False,,924,,6.963
25,146,5e-05,0.5,1082.0,False,,924,,6.984
25,146,5e-05,1.0,1071.0,False,,924,,6.943
25,146,5e-05,5.0,1139.0,False,,924,,7.09
25,146,5e-05,10.0,1101.0,False,,924,,7.043
25,146,5e-05,50.0,1155.0,False,,924,,6.943
25,146,5e-05,100.0,1100.0,False,,924,,6.936
25,146,5e-05,500.0,1178.0,False,,924,,6.997
25,146,5e-05,1000.0,1169.0,False,,924,,6.939
25,146,5e-05,5000.0,1173.0,False,,924,,6.977
25,146,5e-05,10000.0,1163.0,False,,924,,7.029
25,146,5e-05,50000.0,1183.0,False,,924,,6.993
25,146,5e-05,100000.0,1175.0,False,,924,,7.044
25,146,5e-05,500000.0,1166.0,False,,924,,7.01
25,146,5e-05,1000000.0,1206.0,False,,924,,7.034
25,146,1e-05,5e-05,22982.0,False,,924,,6.924
25,146,1e-05,1e-05,22390.0,False,,924,,6.988
25,146,1e-05,0.0005,21531.0,False,,924,,6.926
25,146,1e-05,0.0001,22135.0,False,,924,,7.003
25,146,1e-05,0.005,9064.0,False,,924,,6.962
25,146,1e-05,0.001,18995.0,False,,924,,6.978
25,146,1e-05,0.05,2679.0,False,,924,,6.986
25,146,1e-05,0.01,5359.0,False,,924,,6.915
25,146,1e-05,0.5,1141.0,False,,924,,6.944
25,146,1e-05,1.0,1010.0,False,,924,,6.975
25,146,1e-05,5.0,1146.0,False,,924,,7.011
25,146,1e-05,10.0,1097.0,False,,924,,6.967
25,146,1e-05,50.0,1103.0,False,,924,,7.1
25,146,1e-05,100.0,1179.0,False,,924,,7.028
25,146,1e-05,500.0,1140.0,False,,924,,6.973
25,146,1e-05,1000.0,1126.0,False,,924,,7.062
25,146,1e-05,5000.0,1166.0,False,,924,,6.97
25,146,1e-05,10000.0,1075.0,False,,924,,7.097
25,146,1e-05,50000.0,1185.0,False,,924,,6.926
25,146,1e-05,100000.0,1184.0,False,,924,,6.991
25,146,1e-05,500000.0,1209.0,False,,924,,6.962
25,146,1e-05,1000000.0,1173.0,False,,924,,6.919
25,146,0.0005,0.0005,20641.0,False,,924,,7.032
25,146,0.0005,0.005,9025.0,False,,924,,6.915
25,146,0.0005,0.001,18945.0,False,,924,,7.088
25,146,0.0005,0.05,2722.0,False,,924,,6.954
25,146,0.0005,0.01,4669.0,False,,924,,7.14
25,146,0.0005,0.5,1085.0,False,,924,,7.093
25,146,0.0005,1.0,1042.0,False,,924,,7.025
25,146,0.0005,5.0,1066.0,False,,924,,6.972
25,146,0.0005,10.0,1093.0,False,,924,,7.033
25,146,0.0005,50.0,1103.0,False,,924,,7.0
25,146,0.0005,100.0,1099.0,False,,924,,7.018
25,146,0.0005,500.0,1154.0,False,,924,,7.0
25,146,0.0005,1000.0,1142.0,False,,924,,6.97
25,146,0.0005,5000.0,1138.0,False,,924,,6.968
25,146,0.0005,10000.0,1129.0,False,,924,,6.95
25,146,0.0005,50000.0,1198.0,False,,924,,7.047
25,146,0.0005,100000.0,1116.0,False,,924,,6.989
25,146,0.0005,500000.0,1165.0,False,,924,,6.951
25,146,0.0005,1000000.0,1163.0,False,,924,,6.97
25,146,0.0001,0.0005,20983.0,False,,924,,6.982
25,146,0.0001,0.0001,25738.0,False,,924,,6.929
25,146,0.0001,0.005,7759.0,False,,924,,7.021
25,146,0.0001,0.001,15197.0,False,,924,,6.908
25,146,0.0001,0.05,2829.0,False,,924,,6.997
25,146,0.0001,0.01,5109.0,False,,924,,7.106
25,146,0.0001,0.5,1084.0,False,,924,,6.893
25,146,0.0001,1.0,1047.0,False,,924,,6.936
25,146,0.0001,5.0,1100.0,False,,924,,6.922
25,146,0.0001,10.0,1091.0,False,,924,,7.006
25,146,0.0001,50.0,1145.0,False,,924,,7.053
25,146,0.0001,100.0,1159.0,False,,924,,6.984
25,146,0.0001,500.0,1115.0,False,,924,,6.99
25,146,0.0001,1000.0,1203.0,False,,924,,6.979
25,146,0.0001,5000.0,1163.0,False,,924,,6.923
25,146,0.0001,10000.0,1135.0,False,,924,,7.022
25,146,0.0001,50000.0,1186.0,False,,924,,6.91
25,146,0.0001,100000.0,1147.0,False,,924,,6.981
25,146,0.0001,500000.0,1201.0,False,,924,,7.053
25,146,0.0001,1000000.0,1154.0,False,,924,,6.888
25,146,0.005,0.005,9711.0,False,,924,,7.006
25,146,0.005,0.05,2667.0,False,,924,,7.125
25,146,0.005,0.01,5776.0,False,,924,,7.03
25,146,0.005,0.5,1024.0,False,,924,,7.148
25,146,0.005,1.0,992.0,False,,924,,7.079
25,146,0.005,5.0,1013.0,False,,924,,7.127
25,146,0.005,10.0,1001.0,False,,924,,7.066
25,146,0.005,50.0,1024.0,False,,924,,7.025
25,146,0.005,100.0,1143.0,False,,924,,6.95
25,146,0.005,500.0,1117.0,False,,924,,7.0
25,146,0.005,1000.0,1143.0,False,,924,,7.129
25,146,0.005,5000.0,1102.0,False,,924,,7.058
25,146,0.005,10000.0,1113.0,False,,924,,7.128
25,146,0.005,50000.0,1153.0,False,,924,,7.132
25,146,0.005,100000.0,1095.0,False,,924,,6.989
25,146,0.005,500000.0,1155.0,False,,924,,6.975
25,146,0.005,1000000.0,1179.0,False,,924,,7.092
25,146,0.001,0.005,9024.0,False,,924,,7.155
25,146,0.001,0.001,17773.0,False,,924,,7.215
25,146,0.001,0.05,2802.0,False,,924,,7.028
25,146,0.001,0.01,4555.0,False,,924,,7.073
25,146,0.001,0.5,1092.0,False,,924,,7.096
25,146,0.001,1.0,1076.0,False,,924,,7.065
25,146,0.001,5.0,1049.0,False,,924,,7.088
25,146,0.001,10.0,1077.0,False,,924,,7.056
25,146,0.001,50.0,1114.0,False,,924,,7.115
25,146,0.001,100.0,1121.0,False,,924,,7.029
25,146,0.001,500.0,1114.0,False,,924,,7.056
25,146,0.001,1000.0,1061.0,False,,924,,7.098
25,146,0.001,5000.0,1099.0,False,,924,,7.083
