beta_min,beta_max,graphs_feasible,graphs_total,mean_approx_ratio,time_s
1e-09,0.2,0,5,10.0,0.466
1e-09,0.4,0,5,10.0,0.461
1e-09,0.6,0,5,10.0,0.463
1e-09,0.8,0,5,10.0,0.469
1e-09,1.0,0,5,10.0,0.485
1e-09,2.0,0,5,10.0,0.55
1e-09,4.0,0,5,10.0,0.666
0.2,0.4,0,5,10.0,0.485
0.2,0.6,0,5,10.0,0.494
0.2,0.8,0,5,10.0,0.506
0.2,1.0,0,5,10.0,0.52
0.2,2.0,0,5,10.0,0.634
0.2,4.0,0,5,10.0,0.809
0.4,0.6,0,5,10.0,0.51
0.4,0.8,0,5,10.0,0.538
0.4,1.0,0,5,10.0,0.56
0.4,2.0,0,5,10.0,0.665
0.4,4.0,0,5,10.0,0.865
0.6,0.8,0,5,10.0,0.555
0.6,1.0,0,5,10.0,0.564
0.6,2.0,0,5,10.0,0.704
0.6,4.0,0,5,10.0,0.951
0.8,1.0,0,5,10.0,0.602
0.8,2.0,0,5,10.0,0.74
0.8,4.0,0,5,10.0,0.977
1.0,2.0,0,5,10.0,0.761
1.0,4.0,0,5,10.0,0.992
2.0,4.0,0,5,10.0,1.148
