number,values_0,values_1,datetime_start,datetime_complete,duration,params_beta_scale_multiplier,params_beta_schedule_type,params_hd_scale_multiplier,user_attrs_graphs_feasible,user_attrs_time_s,state,solver
0,0.0,10.0,2026-07-24 17:52:38.891372,2026-07-24 17:54:18.073433,0 days 00:01:39.182061,1,geometric,1,0,99.181,COMPLETE,PA
1,0.0,10.0,2026-07-24 17:52:38.892754,2026-07-24 17:55:52.475803,0 days 00:03:13.583049,1,linear,1,0,193.583,COMPLETE,PA
2,0.0,10.0,2026-07-24 17:52:38.893456,2026-07-24 17:55:52.678563,0 days 00:03:13.785107,1,linear,1,0,193.785,COMPLETE,PA
3,0.0,10.0,2026-07-24 17:52:38.894206,2026-07-24 17:54:17.931237,0 days 00:01:39.037031,1,geometric,1,0,99.037,COMPLETE,PA
4,0.0,10.0,2026-07-24 17:52:38.894660,2026-07-24 17:54:17.816277,0 days 00:01:38.921617,1,geometric,1,0,98.921,COMPLETE,PA
5,0.0,10.0,2026-07-24 17:52:38.895530,2026-07-24 17:55:52.471054,0 days 00:03:13.575524,1,linear,1,0,193.575,COMPLETE,PA
6,0.0,10.0,2026-07-24 17:52:38.898209,2026-07-24 17:54:18.028839,0 days 00:01:39.130630,1,geometric,1,0,99.13,COMPLETE,PA
7,0.0,10.0,2026-07-24 17:52:38.899201,2026-07-24 17:54:18.012444,0 days 00:01:39.113243,1,geometric,1,0,99.113,COMPLETE,PA
8,0.0,10.0,2026-07-24 17:52:38.901986,2026-07-24 17:54:18.178617,0 days 00:01:39.276631,1,geometric,1,0,99.276,COMPLETE,PA
9,0.0,10.0,2026-07-24 17:52:38.903085,2026-07-24 17:54:17.963996,0 days 00:01:39.060911,1,geometric,1,0,99.06,COMPLETE,PA
