number,values_0,values_1,datetime_start,datetime_complete,duration,params_beta_range_idx,params_beta_schedule_type,params_gamma,user_attrs_beta_max,user_attrs_beta_min,user_attrs_graphs_feasible,user_attrs_time_s,state,solver
0,0.0,10.0,2026-07-24 00:16:20.021518,2026-07-24 00:16:29.255766,0 days 00:00:09.234248,3,geometric,1000.0,0.1,0.1,0,9.233,COMPLETE,PA
1,0.0,10.0,2026-07-24 00:16:20.023523,2026-07-24 00:16:29.167852,0 days 00:00:09.144329,3,geometric,0.01,0.1,0.1,0,9.143,COMPLETE,PA
2,0.0,10.0,2026-07-24 00:16:20.025518,2026-07-24 00:16:30.369594,0 days 00:00:10.344076,2,linear,0.1,1.0,0.01,0,10.344,COMPLETE,PA
3,0.0,10.0,2026-07-24 00:16:20.025518,2026-07-24 00:16:32.089830,0 days 00:00:12.064312,5,geometric,0.0001,1.0,1.0,0,12.063,COMPLETE,PA
4,0.0,10.0,2026-07-24 00:16:20.028679,2026-07-24 00:16:30.405201,0 days 00:00:10.376522,2,linear,10000.0,1.0,0.01,0,10.376,COMPLETE,PA
5,0.0,10.0,2026-07-24 00:16:20.032197,2026-07-24 00:16:29.003225,0 days 00:00:08.971028,0,linear,0.0001,0.01,0.01,0,8.971,COMPLETE,PA
6,0.0,10.0,2026-07-24 00:16:20.033201,2026-07-24 00:16:30.143576,0 days 00:00:10.110375,2,linear,10.0,1.0,0.01,0,10.109,COMPLETE,PA
7,0.0,10.0,2026-07-24 00:16:20.035198,2026-07-24 00:16:29.046938,0 days 00:00:09.011740,3,geometric,0.001,0.1,0.1,0,9.01,COMPLETE,PA
8,0.0,10.0,2026-07-24 00:16:29.003225,2026-07-24 00:16:37.749048,0 days 00:00:08.745823,0,linear,0.1,0.01,0.01,0,8.743,COMPLETE,PA
9,0.0,10.0,2026-07-24 00:16:29.046938,2026-07-24 00:16:38.281360,0 days 00:00:09.234422,2,geometric,0.001,1.0,0.01,0,9.23,COMPLETE,PA
